category,eu5_modifier,eu5_desc,eu4_modifier,eu4_desc
administrative,global_peasant_enfranchisment,This determines how much of the wealth_share of a location belongs to the Peasants Estate. The rest is transferred to the Nobles Estate.,estate_interaction_cooldown_modifier,Estate Interaction Cooldown Modifier
administrative,global_peasants_estate_power,This impacts the estate_power of the Peasants Estate in the entire country.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,global_pop_assimilation_speed_modifier,This impacts how quickly pops assimilate in all locations of the country.,culture_conversion_cost,Culture Conversion Cost
administrative,global_trades_per_burgher,This impacts how much trade per population the Burghers Estate in the country can do on their own.,global_own_trade_power,Domestic Trade Power
administrative,global_war_score_efficiency,This impacts how much war_score it will cost for this country to take territory.,province_warscore_cost,Province Warscore Cost
administrative,government_reform_slots,This impacts how many government_reforms a country can have.,yearly_government_power,Yearly Government Power
administrative,government_size,This impacts how many characters that can be in cabinet at the same time.,yearly_government_power,Yearly Government Power
administrative,grant_privilege_cost_modifier,This impacts how much it costs to grant an estate_privilege.,estate_interaction_cooldown_modifier,Estate Interaction Cooldown Modifier
administrative,harmony_stability,"This nudges harmony back toward balance each month, helping the country hold the optimal equilibrium.",,
administrative,has_stability_investment,This allows stability_investment for a country.,stability_cost_modifier,Stability Cost Modifier
administrative,ignore_zone_of_control,This impacts if an army can ignore a hostile zone_of_control.,,
administrative,monthly_legitimacy,This impacts how much legitimacy a country gets each month.,legitimacy,Legitimacy
administrative,monthly_peasants_estate_rebel_growth,This impacts how quickly Peasants Estate rebels progress to a civil_war.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,monthly_prestige,This impacts how much prestige we will get each month.,prestige,Prestige
administrative,monthly_republican_tradition,This impacts how much republican_tradition a country gets each month.,republican_tradition,Republican Tradition
administrative,monthly_self_control,This impacts how much self_control a country gets each month.,global_autonomy,Global Autonomy
administrative,nobles_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the Nobles Estate has.,nobles_loyalty_modifier,Nobles Loyalty Modifier
administrative,nobles_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the Nobles Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,nobles_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the Nobles Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,parliament_base_support,This impacts how much support there is for issues when a parliament is called.,,
administrative,parliament_duration_modifier,This impacts how long a parliament is in session for.,,
administrative,peasants_estate_agenda_impact,This modifies the support that the parliament_agendas that proposes from the Peasants Estate has.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,peasants_estate_max_tax,This impacts the maximum_tax that can be collected from the Peasants Estate.,,
administrative,peasants_estate_satisfaction_recovery,This impacts how quickly the estate_satisfaction recovers to the estate_satisfaction_equilibrium for the Peasants Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,peasants_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the Peasants Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,prestige_decay,"This impacts the decay towards 0 prestige, where the decay is a percentage of the current prestige.",prestige_decay,Prestige Decay
administrative,prestige_from_land_battle,This impacts the amount of prestige a country get from their armies participating in a battle.,prestige_from_land,Prestige From Land
administrative,rank_empire_upgrade_cost_modifier,This impacts how much it costs to change country_rank to Rank Empire.,,
administrative,revoke_privilege_cost_modifier,This impacts how much it costs to revoke an estate_privilege.,all_estate_possible_privileges,All Estate Possible Privileges
administrative,stability_cost_efficiency,This impacts the efficiency of stability_investment.,stability_cost_modifier,Stability Cost Modifier
administrative,stability_decay,"This impacts the decay towards 0 stability, where the decay is a percentage of the current stability.",stability_cost_modifier,Stability Cost Modifier
administrative,stability_investment,This will either give a bonus or penalty to the stability_investment we get from budget.,stability_cost_modifier,Stability Cost Modifier
administrative,trade_company_headquarters_level,This modifies how many levels a Trade Company Headquarters can have.,trade_company_governing_cost,Trade Company Governing Cost
administrative,tribes_estate_target_satisfaction,This impacts the estate_satisfaction_equilibrium of the Tribes Estate in this country.,all_estate_loyalty_equilibrium,All Estate Loyalty Equilibrium
administrative,war_no_cb_cost_modifier,This impacts how much it costs to declare a war without a casus_belli.,stability_cost_to_declare_war,Stability Cost To Declare War
economic,,,can_transfer_vassal_wargoal,Can Transfer Vassal Wargoal
economic,,,curia_powers_cost,Curia Powers Cost
economic,global_monthly_development,This impacts how much development changes monthly in all locations in a country.,development_cost_in_primary_culture,Development Cost In Primary Culture
economic,global_monthly_prosperity,This impacts how much prosperity changes monthly in all locations in a country.,development_cost_in_primary_culture,Development Cost In Primary Culture
economic,,,embargo_efficiency,Embargo Efficiency
economic,,,embracement_cost,Institution Embracement Cost
economic,,,enforce_religion_cost,Cost of enforcing religion through war
economic,,,expand_infrastructure_cost_modifier,Expand Infrastructure Cost Modifier
economic,,,fabricate_claims_cost,Fabricate Claims Cost
economic,,,flagship_cost,Flagship Cost
economic,,,global_allowed_num_of_buildings,Global Allowed Num Of Buildings
economic,,,global_foreign_trade_power,Trade Power Abroad
economic,,,global_naval_barrage_cost,Global Naval Barrage Cost
economic,,,global_regiment_cost,Global Regiment Cost
economic,,,global_ship_cost,Global Ship Cost
economic,,,gold_depletion_chance_modifier,Gold Depletion Chance Modifier
economic,,,great_project_upgrade_cost,Great Project Upgrade Cost
economic,,,harsh_treatment_cost,Harsh Treatment Cost
economic,,,institution_spread_from_true_faith,Institution Spread In True Faith Provinces
economic,,,justify_trade_conflict_cost,Justify Trade Conflict Cost
economic,,,leader_cost,Leader Cost
economic,,,liberty_desire_from_subject_development,Liberty Desire from Subjects Development
economic,,,mercantilism_cost,Mercantilism Cost
economic,,,migration_cost,Migration Cost
economic,,,missionary_maintenance_cost,Missionary Maintenance Cost
economic,,,reelection_cost,Reelection Cost
economic,,,reinforce_cost_modifier,Reinforce Cost Modifier
economic,,,rival_border_fort_maintenance,Fort Maintenance on border with rival
economic,,,rival_change_cost,Change Rival Cost
economic,,,sailor_maintenance_modifer,Sailor Maintenance Modifer
economic,,,special_unit_cost_modifier,Special Unit Cost Modifier
economic,,,state_maintenance_modifier,State Maintenance Modifier
economic,,,trade_company_investment_cost,Trade Company Investment Cost
economic,,,transport_cost,Transport Cost
economic,,,treasure_fleet_income,Treasure Fleet Income
economic,,,tribal_development_growth,Tribal Development Growth
economic,,,vassal_income,Vassal Income
economic,,,war_exhaustion_cost,War Exhaustion Cost
economic,,,war_taxes_cost_modifier,War Taxes Cost
economic,accepted_culture_maintenance_cost_modifier,This impacts the ongoing Cultural Capacity cost of each accepted_culture.,num_accepted_cultures,Num Accepted Cultures
economic,activate_avatar_cost_modifier,This impacts the costs of Activate Avatar.,,
economic,allow_extensive_conscription_cabinet_action,This allows us to use the Byz Extensive Conscription cabinet_action.,,
economic,allow_female_cabinet,This allows all female characters to work in the cabinet.,,
economic,antagonism_development_impact,This impacts how much the development of a location contributes to the antagonism generated when taking it.,ae_impact,AE Impact
economic,army_artillery_build_cost_modifier,This impacts how much it costs to recruit a Army Artillery.,artillery_cost,Artillery Cost
economic,army_auxiliary_build_cost_modifier,This impacts how much it costs to recruit a Army Auxiliary.,infantry_cost,Infantry Cost
economic,army_heavy_cavalry_build_cost_modifier,This impacts how much it costs to recruit a Army Heavy Cavalry.,cavalry_cost,Cavalry Cost
economic,army_heavy_infantry_build_cost_modifier,This impacts how much it costs to recruit a Army Heavy Infantry.,infantry_cost,Infantry Cost
economic,army_light_cavalry_build_cost_modifier,This impacts how much it costs to recruit a Army Light Cavalry.,cavalry_cost,Cavalry Cost
economic,army_light_infantry_maintenance_cost_modifier,This impacts how much it costs to maintain a Army Light Infantry.,infantry_cost,Infantry Cost
economic,army_logistics_distance,This impacts how far an army can trace for a food_source.,,
economic,army_logistics_distance_modifier,This impacts how far an army can trace for a food_source.,,
economic,artist_salary_modifier,This impacts the amount of gold that artists require.,,
economic,bank_interest,This impacts the interest for loans taken from the national bank.,interest,Interest
economic,build_gravel_road_cost_modifier,This impacts the cost of building a Gravel Road in this country.,build_cost,Build Cost
economic,build_modern_road_cost_modifier,This impacts the cost of building a Modern Road in this country.,build_cost,Build Cost
economic,build_paved_road_cost_modifier,This impacts the cost of building a Paved Road in this country.,build_cost,Build Cost
economic,build_railroad_cost_modifier,This impacts the cost of building a Railroad in this country.,build_cost,Build Cost
economic,building_upkeep_efficiency,"This impacts how efficiently we maintain our buildings, reducing their monthly gold upkeep.",,
economic,can_build_cities,This allows us to build towns_or_cities.,,
economic,can_extract_alum,This allows the extraction of Alum by allowing an rgo in a location.,,
economic,can_extract_coal,This allows the extraction of Coal by allowing an rgo in a location.,,
economic,can_extract_copper,This allows the extraction of Copper by allowing an rgo in a location.,,
economic,can_extract_goods_gold,This allows the extraction of Goods Gold by allowing an rgo in a location.,,
economic,can_extract_iron,This allows the extraction of Iron by allowing an rgo in a location.,,
economic,can_extract_lead,This allows the extraction of Lead by allowing an rgo in a location.,,
economic,can_extract_legumes,This allows the extraction of Legumes by allowing an rgo in a location.,,
economic,can_extract_maize,This allows the extraction of Maize by allowing an rgo in a location.,,
economic,can_extract_marble,This allows the extraction of Marble by allowing an rgo in a location.,,
economic,can_extract_mercury,This allows the extraction of Mercury by allowing an rgo in a location.,,
economic,can_extract_millet,This Farm the extraction of Millet by allowing an rgo in a location.,,
economic,can_extract_potato,This allows the extraction of Potato by allowing an rgo in a location.,,
economic,can_extract_rice,This allows the extraction of Rice by allowing an rgo in a location.,,
economic,can_extract_saltpeter,This allows the extraction of Saltpeter by allowing an rgo in a location.,,
economic,can_extract_silver,This allows the extraction of Silver by allowing an rgo in a location.,,
economic,can_extract_stone,This allows the extraction of Stone by allowing an rgo in a location.,,
economic,can_extract_tin,This allows the extraction of Tin by allowing an rgo in a location.,,
economic,can_extract_wheat,This allows the extraction of Wheat by allowing an rgo in a location.,,
economic,can_sell_bonds,This country has the financial infrastructure to issue government_bonds.,interest,Interest
economic,cardinal_price_cost_modifier,This impacts how much it costs to get a Seat Of Cardinal.,,
economic,change_liturgical_language_cost_modifier,This impacts how much it costs to change liturgical_language.,,
economic,change_policy_cost_modifier,This impacts how much it costs to change a policy in a law.,,
economic,city_upgrade_cost_modifier,This impacts the costs of creating a City.,,
economic,cleansing_ritual_purity_cost_modifier,This impacts the costs of Cleansing Ritual Purity.,,
economic,colonial_maintenance_efficiency,"This impacts how efficiently we maintain our colonial_charters, reducing their monthly gold upkeep.",,
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,adm_advisor_cost,Administrative Advisor Cost
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,advisor_cost,Advisor Cost
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,advisor_pool,Possible Advisors
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,dip_advisor_cost,Diplomatic Advisor Cost
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,female_advisor_chance,Female Advisor Chance
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,mil_advisor_cost,Military Advisor Cost
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,same_culture_advisor_cost,Same Culture Advisor Cost
economic,country_cabinet_efficiency,This impacts the cabinet_efficiency of all characters in the cabinet of a country.,same_religion_advisor_cost,Same Religion Advisor Cost
economic,court_spending_efficiency,This impacts the efficiency of court_maintenance spending.,,
economic,create_autocephalous_patriarchate_cost_modifier,This impacts the costs of Create Autocephalous Patriarchate.,,
economic,cultures_capacity,This impacts how many accepted_cultures and tolerated_cultures a country can have. Some cultures cost less.,num_accepted_cultures,Num Accepted Cultures
economic,cultures_capacity_modifier,This impacts how many accepted_cultures and tolerated_cultures a country can have. Some cultures cost less.,promote_culture_cost,Promote Culture Cost
economic,deactivate_avatar_cost_modifier,This impacts the costs of Deactivate Avatar.,,
economic,diplomatic_spending_cost,This impacts how much of the tax_base that is expected to be diplomatic_maintenance.,,
economic,dismiss_religious_figure_cost_modifier,This impacts how much it costs to dismiss invited_religious_figures.,,
economic,embrace_institution_cost_modifier,This impacts how much it costs to embrace an institution.,global_institution_spread,Institution Spread
economic,estate_building_destruction_satisfaction_impact,This impacts the estate_satisfaction of the estate that build a building when a country destroys it.,,
economic,expand_rgo_farming_cost_modifier,This impacts how much it costs to increase the number of pops working with raw_materials that requires farms. Raw Goods using Farming : GetListOfGoodsUsingMethod('farming').,,
economic,expand_rgo_mining_cost_modifier,This impacts how much it costs to increase the number of pops working with raw_materials that requires mines. Raw Goods using Mining : GetListOfGoodsUsingMethod('mining').,,
economic,exploration_maintenance_efficiency,"This impacts how efficiently we fund explorations, reducing their monthly gold cost.",,
economic,food_consumption_modifier,This impacts how much food a unit consumes each month.,,
economic,food_purchase_efficiency,This impacts the cost in gold for when provinces need to buy food.,,
economic,fort_limit,"A soft limit on the number of forts a country can manage. Having more forts than the limit will result in decreased ShowModifierTypeName('fort_maintenance_efficiency'). A Fort without zone_of_control, for example Stockade, will only cost half Fort Limit.",fort_maintenance_modifier,Fort Maintenance Modifier
economic,fort_limit_modifier,"A soft limit on the number of forts a country can manage. Having more forts than the limit will result in decreased ShowModifierTypeName('fort_maintenance_efficiency'). A Fort without zone_of_control, for example Stockade, will only cost half Fort Limit.",fort_maintenance_modifier,Fort Maintenance Modifier
economic,fort_maintenance_efficiency,"This impacts how efficiently we maintain our fortifications, reducing their monthly gold upkeep.",fort_maintenance_modifier,Fort Maintenance Modifier
economic,global_build_buildings_efficiency,"This impacts how efficiently we can construct buildings across all locations in a country, reducing their gold cost.",build_cost,Build Cost
economic,global_clergy_food_consumption,This impacts how much food that Clergy pops will consume in the entire country.,,
economic,global_clergy_rural_desired_pop,Impacts how many Clergy can live in rural_locations in this country.,,
economic,global_construction_speed,"This impacts how quickly buildings, rgo or roads are built in this country.",build_cost,Build Cost
economic,global_devastation_recovery,This impacts how fast prosperity recovers monthly in all locations in a country.,,
economic,global_food_capacity,This impacts how much food can be stored in all provinces in a country.,,
economic,global_food_decay,This impacts how much stored food is lost every month.,,
economic,global_foreign_build_buildings_efficiency,"This impacts how efficiently we can construct buildings in locations owned by another country, reducing their gold cost.",build_cost,Build Cost
economic,global_fort_build_buildings_efficiency,"This impacts how efficiently we can construct forts across all locations in a country, reducing their gold cost.",fort_maintenance_modifier,Fort Maintenance Modifier
economic,global_institution_growth_modifier,This impacts how quickly institutions spread into all locations of this country.,global_institution_spread,Institution Spread
economic,global_max_rgo_size_modifier_in_non_rural,This impacts the maximum size of rgo in towns_and_cities in a country.,,
economic,global_max_rgo_size_modifier_in_rural,This impacts the maximum size of rgo in rural_locations in a country.,,
economic,global_may_build_paik_units,"Allows the recruitment of A Early Paik Infantry, A Paik Infantry, and A Late Paik Infantry, depending on the age.",infantry_cost,Infantry Cost
economic,global_mercenaries_modifier,This impacts how large the recruitable mercenary companies from locations a country owns can be.,mercenary_cost,Mercenary Cost
economic,global_merchant_capacity_modifier,This impacts how much merchant_capacity a country gets from its locations and buildings.,trade_range_modifier,Trade Range Modifier
economic,global_mills_build_buildings_efficiency,"This impacts how efficiently we can construct mill buildings across all locations in a country, reducing their gold cost.",build_cost,Build Cost
economic,global_monthly_development,This impacts how much development changes monthly in all locations in a country.,development_cost,Development Cost
economic,global_monthly_food_modifier,This impacts how much food is produced in all locations in a country.,production_efficiency,Production Efficiency
economic,global_monthly_prosperity,This impacts how much prosperity changes monthly in all locations in a country.,development_cost,Development Cost
economic,global_pop_food_consumption,This impacts how much food that pops will consume in the entire country.,,
economic,global_population_capacity_modifier,This impacts how many pops can live in all locations in this country.,,
economic,global_population_growth,This impacts the population_growth of all locations in a country.,global_prosperity_growth,Global Prosperity Growth
economic,global_port_build_buildings_efficiency,"This impacts how efficiently we can construct port related buildings across all locations in a country, reducing their gold cost.",build_cost,Build Cost
economic,global_production_efficiency,This impacts the production_efficiency in the entire country.,production_efficiency,Production Efficiency
economic,global_rgo_build_time,This impacts how much time it takes to expand the number of pops gathering raw_materials in all locations in a country.,build_time,Build Time
economic,global_road_building_time,This impacts how much time it will take to build roads in a country.,build_time,Build Time
economic,global_rural_build_buildings_efficiency,"This impacts how efficiently we can construct buildings in all rural_location in a country, reducing their gold cost.",build_cost,Build Cost
economic,global_urban_build_buildings_efficiency,"This impacts how efficiently we can construct buildings in all urban_location in a country, reducing their gold cost.",build_cost,Build Cost
economic,goods_gold_impacts_inflation,This determines how the production of Goods Gold impacts inflation in the country.,,
economic,has_cultural_maintenance,This allows a country to use cultural_maintenance.,,
economic,has_road_building,Allowing a country to build roads.,,
economic,head_of_cabinet_promotion_cost_modifier,This modifies the cost of the ShowCharacterInteractionName('promote_to_head_of_cabinet') character_interaction.,,
economic,hills_proximity_impact,This impacts the proximity cost when going through ShowTopographyName('hills').,,
economic,hire_advisor_cost_modifier,This impacts how much it costs to hire a new character to enter our court.,,
economic,hire_artist_cost_modifier,This impacts how much it costs to hire a new artist to enter our court.,,
economic,hire_mercenary_premium_cost_modifier,This impacts how much it costs to hire a mercenary.,,
economic,hire_privateer_cost_modifier,This impacts how much it costs to hire privateers.,privateer_efficiency,Privateer Efficiency
economic,invite_artist_cost_modifier,This impacts how much it costs to invite an artist,,
economic,invite_religious_figure_different_school_cost_modifier,This impacts how much it costs to invite_religious_figures.,,
economic,invite_religious_figure_same_school_cost_modifier,This impacts how much it costs to invite_religious_figures.,,
economic,land_cost_on_distance_from_capital_speed_propagation,This impacts the speed that proximity moves through locations when going through a normal location.,,
economic,max_bonds,Increases the maximum number of government_bonds this country can have outstanding at one time.,interest,Interest
economic,max_bonds_modifier,Increases the maximum number of government_bonds by a percentage of the flat maximum.,interest,Interest
economic,megalopolis_upgrade_cost_modifier,This impacts the costs of creating a Megalopolis.,,
economic,mercenary_maintenance_efficiency,This impacts how much gold is paid for any mercenaries.,merc_maintenance_modifier,Merc Maintenance Modifier
economic,merchant_maintenance_efficiency,This impacts how much our merchants cost when doing trades.,merchants,Merchants
economic,miaphysite_monastery_building_cost_modifier,This impacts how much it costs to build a Miaphysite Monastery.,,
economic,minting_income_factor,This impacts how much gold that a country will get from minting.,,
economic,minting_inflation_threshold,This impacts how much minting can be done for a country before they get inflation.,inflation_reduction,Inflation Reduction
economic,monthly_inflation,This impacts how much inflation we will get each month.,monthly_gold_inflation_modifier,Monthly Gold Inflation Modifier
economic,monthly_loan_capacity_investment,This impacts the monthly increase of the loan_capacity of a country.,inflation_reduction,Inflation Reduction
economic,mountains_proximity_impact,This impacts the proximity cost when going through ShowTopographyName('mountains').,,
economic,movement_speed_if_no_road,This impacts how fast an army can move between locations where there is not a road.,,
economic,national_church_power_cost_modifier,This impacts the costs for Church Power actions.,church_power_modifier,Church Power Modifier
economic,naval_range_modifier,This impacts the naval_range of a country.,naval_maintenance_modifier,Naval Maintenance Modifier
economic,navy_galley_build_cost_modifier,This impacts how much it costs to recruit a Navy Galley.,galley_cost,Galley Cost
economic,navy_heavy_ship_build_cost_modifier,This impacts how much it costs to recruit a Navy Heavy Ship.,heavy_ship_cost,Heavy Ship Cost
economic,navy_light_ship_build_cost_modifier,This impacts how much it costs to recruit a Navy Light Ship.,light_ship_cost,Light Ship Cost
economic,nobles_estate_allowed_to_build_roads,This allows the Nobles Estate to being construction of roads.,,
economic,non_rural_migration_attraction,This impacts if pops want migrate to or away from towns_and_cities in a country.,,
economic,num_local_governors,This determines how many Local Governor a country can build.,,
economic,num_naval_governors,This determines how many Naval Governor a country can build.,,
economic,orthodox_monastery_building_cost_modifier,This impacts how much it costs to build a Orthodox Monastery.,,
economic,orthodox_synod_cost_modifier,This impacts the costs of Orthodox Synod.,,
economic,perform_tantric_ritual_cost_modifier,This impacts the costs of Perform Tantric Ritual.,,
economic,pilgrimage_action_cost_modifier,This impacts the costs of Pilgrimage Action.,spy_action_cost_modifier,Spy Action Cost Modifier
economic,plateau_proximity_impact,This impacts the proximity cost when going through ShowTopographyName('plateau').,,
economic,port_cost_distance_from_capital,This impacts the proximity cost between locations when going from a port to a seazone or reverse.,,
economic,privateer_maintenance_cost_modifier,This impacts how much it costs to maintain privateers.,privateer_efficiency,Privateer Efficiency
economic,raw_material_in_province_impact,This impacts the production_efficiency for a building if the required raw_material are made in the same province.,production_efficiency,Production Efficiency
economic,recruit_explorer_cost_modifier,This impacts how much it costs to recruit an explorer.,,
economic,replace_cabinet_member_cost_modifier,This impacts how much it costs to replace a cabinet_member.,,
economic,research_speed_modifier,This impacts the generation of research_progress of a country.,adm_tech_cost_modifier,Adm Tech Cost Modifier
economic,research_speed_modifier,This impacts the generation of research_progress of a country.,dip_tech_cost_modifier,Dip Tech Cost Modifier
economic,research_speed_modifier,This impacts the generation of research_progress of a country.,idea_cost,Idea Cost
economic,research_speed_modifier,This impacts the generation of research_progress of a country.,mil_tech_cost_modifier,Mil Tech Cost Modifier
economic,research_speed_modifier,This impacts the generation of research_progress of a country.,technology_cost,Technology Cost
economic,road_cost_on_distance_from_capital,This impacts the proximity cost between locations when going through a road.,,
economic,rural_disease_resistance,This impacts the disease_resistance in all rural_locations in a country.,,
economic,rural_migration_attraction,This impacts if pops want migrate to or away from rural_locations in a country.,,
economic,sea_cost_on_distance_from_capital,This impacts the proximity cost between locations when going through a seazone that is not adjacent to any land.,,
economic,sea_cost_on_distance_from_capital_when_maritime,This impacts the proximity cost between locations when going through a seazone with maritime_presence.,,
economic,select_expensive_child_education_cost_modifier,This impacts how much it costs to start an expensive child_education.,,
economic,select_omen_god_cost_modifier,This impacts the costs of Select Omen God.,,
economic,set_cabinet_member_cost_modifier,This impacts how much it costs to assign a cabinet_member to an empty position.,,
economic,ship_build_speed,This impacts how quickly a ship can be built in a country.,,
economic,spy_network_construction,This impacts how good a country is at building up spy_networks.,spy_offence,Spy Offence
economic,subject_income_modifier,This increases how much the subjects will pay to a country each month.,,
economic,subject_pays_colonial_cost_modifier,This impacts how much a Colonial Nation gives to its overlord each month.,,
economic,supply_depot_capacity,This impacts how much food a supply_depot can store.,,
economic,tax_income_efficiency,This impacts the tax_efficiency of a country.,global_tax_modifier,Global Tax Modifier
