modifier_key,modifier_name
may_perform_slave_raid_on_same_religion,May Raid Coasts of Same Religion
may_recruit_female_generals,May Recruit Female Generals
merc_independent_from_trade_range,Merc Independent from Trade Range
merc_leader_army_tradition,Merc Leader Army Tradition
merc_maintenance_modifier,Mercenary Maintenance
mercantilism_cost,Mercantilism Cost
mercenary_cost,Mercenary Cost
mercenary_discipline,Mercenary Discipline
mercenary_manpower,Mercenary Manpower
merchants,Merchants
meritocracy,Meritocracy
migration_cost,Migration Cost
mil_advisor_cost,Mil Advisor Cost
mil_tech_cost_modifier,Military Technology Cost
military_tactics,Military Tactics
min_autonomy_in_territories,Min Autonomy in Territories
missionaries,Missionaries
missionary_maintenance_cost,Missionary Maintenance Cost
monarch_admin_power,Monarch Admin Power
monarch_diplomatic_power,Monarch Diplomatic Power
monarch_military_power,Monarch Military Power
monarch_power_tribute,Monarch Power Tribute
monthly_cultural_unity,Monthly Cultural Unity
monthly_favor_modifier,Monthly Favor Modifier
monthly_fervor_increase,Monthly Fervor
monthly_gold_inflation_modifier,Monthly Gold Inflation Modifier
monthly_persian_influence,Monthly Persian Influence
monthly_piety,Monthly Piety
monthly_piety_accelerator,Monthly Piety Accelerator
monthly_reform_progress,Monthly Reform Progress
monthly_reform_progress_modifier,Monthly Reform Progress Modifier
monthly_splendor,Monthly Splendor
morale_damage,Morale Damage
morale_damage_received,Morale Damage Received
movement_speed,Movement Speed
movement_speed_in_fleet_modifier,Movement Speed in Fleet Modifier
native_assimilation,Native Assimilation
native_uprising_chance,Native Uprising Chance
naval_attrition,Naval Attrition
naval_forcelimit_modifier,Naval Force Limit Modifier
naval_maintenance_modifier,Naval Maintenance Modifier
naval_morale,Morale of Navies
naval_tradition_from_battle,Naval Tradition from Battle
naval_tradition_from_trade,Naval Tradition from Trade
navy_tradition,Navy Tradition
navy_tradition_decay,Navy Tradition Decay
no_religion_penalty,Heretic and Heathen provinces do not give any penalties.
nobles_influence_modifier,Nobles Influence Modifier
nobles_loyalty_modifier,Nobles Loyalty Modifier
nomadic_tribes_loyalty_modifier,Nomadic Tribes Loyalty Modifier
num_accepted_cultures,Num Accepted Cultures
num_of_parliament_issues,Num of Parliament Issues
num_of_pronoiars,Num of Pronoiars
overextension_impact_modifier,Overextension Impact Modifier
own_coast_naval_combat_bonus,Own Coast Naval Combat Bonus
papal_influence,Papal Influence
placed_merchant_power,Placed Merchant Power
possible_condottieri,Possible Condottieri
possible_dip_policy,Possible Dip Policy
possible_mil_policy,Possible Mil Policy
possible_policy,Possible Policy
power_projection_from_insults,Power Projection from Insults
pr_captains_influence,Pr Captains Influence
prestige,Prestige
prestige_decay,Prestige Decay
prestige_from_land,Prestige from Land battles
prestige_from_naval,Prestige from Naval battles
prestige_per_development_from_conversion,Prestige per Development from Conversion
privateer_efficiency,Privateer Efficiency
production_efficiency,Production Efficiency
promote_culture_cost,Promote Culture Cost
province_warscore_cost,Province Warscore Cost
qizilbash_loyalty_modifier,Qizilbash Loyalty Modifier
qizilbash_privilege_slots,Qizilbash Privilege Slots
rajput_loyalty_modifier,Rajput Loyalty Modifier
range,Range
rebel_support_efficiency,Rebel Support Efficiency
recover_army_morale_speed,Recover Army Morale Speed
recover_navy_morale_speed,Recover Navy Morale Speed
reduced_liberty_desire,Reduced Liberty Desire
reduced_liberty_desire_on_other_continent,Reduced Liberty Desire on Other Continent
reduced_liberty_desire_on_same_continent,Reduced Liberty Desire on Same Continent
reduced_stab_impacts,Lowered impact on stability from diplomatic actions.
reelection_cost,Reelection Cost
reform_progress_growth,Reform Progress Growth
regiment_manpower_usage,Regiment Manpower Usage
reinforce_cost_modifier,Reinforce Cost Modifier
reinforce_speed,Reinforce Speed
religious_unity,Religious Unity
republican_tradition,Republican Tradition
reverse_relation_with_same_religion,Reverse Relation With Same Religion
rival_border_fort_maintenance,Rival Border Fort Maintenance
rival_change_cost,Rival Change Cost
sailor_maintenance_modifer,Sailor Maintenance Modifer
sailors_recovery_speed,Sailors Recovery Speed
same_culture_advisor_cost,Same Culture Advisor Cost
same_religion_advisor_cost,Same Religion Advisor Cost
sea_repair,Sea Repair
ship_durability,Ship Durability
ship_power_propagation,Ship Power Propagation
shock_damage,Shock Damage
shock_damage_received,Shock Damage Received
siege_ability,Siege Ability
siege_blockade_progress,Siege Blockade Progress
special_unit_cost_modifier,Special Unit Cost Modifier
spy_action_cost_modifier,Spy Action Cost Modifier
spy_offence,Spy Network Construction
stability_cost_modifier,Stability Cost Modifier
stability_cost_to_declare_war,Stability Cost to Declare War
state_governing_cost,State Governing Cost
state_maintenance_modifier,State Maintenance Modifier
sunk_ship_morale_hit_recieved,Sunk Ship Morale Hit Recieved
technology_cost,Technology Cost
tolerance_heathen,Tolerance of the Heathen Beliefs
tolerance_heretic,Tolerance of the Heretical Beliefs
tolerance_of_heathens_capacity,Tolerance of Heathens Capacity
tolerance_of_heretics_capacity,Tolerance of Heretics Capacity
tolerance_own,Tolerance of the True Faith
trade_company_governing_cost,Trade Company Governing Cost
trade_company_investment_cost,Trade Company Investment Cost
trade_efficiency,Trade Efficiency
trade_range_modifier,Trade Range Modifier
trade_steering,Trade Steering
transport_cost,Transport Cost
treasure_fleet_income,Treasure Fleet Income
tribal_development_growth,Tribal Development Growth
unjustified_demands,Unjustified Demands
vaisyas_loyalty_modifier,Vaisyas Loyalty Modifier
vassal_forcelimit_bonus,Vassal Force Limit Contribution
vassal_income,Vassal Income
vassal_naval_forcelimit_bonus,Vassal Naval Forcelimit Bonus
war_exhaustion,War Exhaustion
war_exhaustion_cost,Cost of Reducing War Exhaustion
war_taxes_cost_modifier,War Taxes Cost Modifier
warscore_cost_vs_other_religion,Warscore Cost Vs Other Religion
yearly_absolutism,Yearly Absolutism
yearly_army_professionalism,Yearly Army Professionalism
yearly_authority,Yearly Authority
yearly_corruption,Yearly Corruption
yearly_doom_reduction,Yearly Doom Reduction
yearly_government_power,Yearly Government Power
yearly_harmony,Yearly Harmony
yearly_karma_decay,Yearly Karma Decay
yearly_patriarch_authority,Yearly Patriarch Authority
years_of_nationalism,Years of Separatism
years_to_integrate_personal_union,Years to Integrate Personal Union
