modifier_key,modifier_name
global_iron_output_modifier,$iron$ Output
global_jewelry_output_modifier,$jewelry$ Output
global_laborers_max_literacy,Max Literacy for $laborers$
global_lead_output_modifier,$lead$ Output
global_legumes_output_modifier,$legumes$ Output
global_levy_recruitment_speed_modifier,Levy Recruitment Speed
global_levy_size_modifier,Levy Size
global_life_expectancy,Character Life Expectancy
global_liquor_output_modifier,$liquor$ Output
global_livestock_output_modifier,$livestock$ Output
global_lumber_output_modifier,$lumber$ Output
global_manpower_modifier,Manpower
global_marble_output_modifier,$marble$ Output
global_maritime_presence_decay,Maritime Presence Decay
global_maritime_presence_modifier,Maritime Presence %
global_masonry_output_modifier,$masonry$ Output
global_max_bureaucracy_slots,Max Bureaucracy Slots
global_max_literacy,Max Literacy
global_max_rgo_size_modifier,Maximum RGO Size
global_max_rgo_size_modifier_in_non_rural,Maximum RGO Size in Towns & Cities
global_max_rgo_size_modifier_in_rural,Maximum RGO Size in Rural
global_max_rural_control,Max Rural Control
global_may_build_paik_units,May Build Paik Units
global_medicaments_output_modifier,$medicaments$ Output
global_mercenaries_modifier,Mercenary Size
global_merchant_capacity_modifier,Trade Capacity
global_merchant_power,$game_concept_merchant_power$
global_mercury_output_modifier,$mercury$ Output
global_migration_speed_modifier,Pop Migration Speed
global_millet_output_modifier,$millet$ Output
global_mills_build_buildings_efficiency,Mills Construction Efficiency
global_monthly_art_start_chance,Artist Monthly Start Chance
global_monthly_control,Monthly Control
global_monthly_control_decline,Monthly Control Decline
global_monthly_development,Monthly Development
global_monthly_food_modifier,Food Production %
global_monthly_literacy,Monthly Literacy
global_monthly_prosperity,Monthly Prosperity
global_monthly_urban_control,Monthly Urban Control
global_naval_supplies_output_modifier,$naval_supplies$ Output
global_nobles_estate_power,Nobles Power
global_nobles_max_literacy,Max Literacy for Nobles
global_olives_output_modifier,$olives$ Output
global_paper_output_modifier,$paper$ Output
global_pearls_output_modifier,$pearls$ Output
global_peasant_enfranchisment,Peasant Enfranchisement
global_peasants_estate_power,Peasants Power
global_peasants_max_literacy,Max Literacy for Peasants
global_pepper_output_modifier,$pepper$ Output
global_pirate_spawn_chance,Chance for Pirates
global_pop_assimilation_speed_modifier,Pop Assimilation Speed
global_pop_conversion_speed,Pop Conversion Speed
global_pop_conversion_speed_modifier,Pop Conversion Speed %
global_pop_food_consumption,Pop Food Consumption
global_pop_promotion_speed_modifier,Pop Promotion Speed %
global_population_capacity_modifier,Population Capacity %
global_population_growth,Population Growth
global_porcelain_output_modifier,$porcelain$ Output
global_port_build_buildings_efficiency,Port Construction Efficiency
global_potato_output_modifier,$potato$ Output
global_production_efficiency,Production Efficiency
global_raw_material_output,Raw Materials Output
global_rgo_build_time,Expanding Raw Materials Time
global_rice_output_modifier,$rice$ Output
global_road_building_time,Road Building Time
global_rural_build_buildings_efficiency,Rural Buildings Construction Efficiency
global_sailors_modifier,Sailors
global_salt_output_modifier,$salt$ Output
global_separatism,Separatism
global_silk_output_modifier,$silk$ Output
global_silver_output_modifier,$silver$ Output
global_slaves_goods_output_modifier,$slaves_goods$ Output
global_soldiers_max_literacy,Max Literacy for $soldiers$
global_stone_output_modifier,$stone$ Output
global_sugar_output_modifier,$sugar$ Output
global_supply_limit_modifier,Supply Limit
global_tea_output_modifier,$tea$ Output
global_tin_output_modifier,$tin$ Output
global_tools_output_modifier,$tools$ Output
global_trade_center_power,Market Attraction
global_trade_protection_factor,Market Protection
global_trade_through_owned_territory_efficiency,Trade Efficiency over Owned Land
global_trades_per_burgher,$burghers_estate$ Trade Capacity
global_urban_build_buildings_efficiency,Urban Buildings Construction Efficiency
global_war_score_efficiency,War Score Efficiency
global_weaponry_output_modifier,$weaponry$ Output
global_wheat_output_modifier,$wheat$ Output
global_wild_game_output_modifier,$wild_game$ Output
global_wine_output_modifier,$wine$ Output
global_wool_output_modifier,$wool$ Output
goods_gold_impacts_inflation,Gold Impacts Inflation
government_reform_slots,Possible Government Reforms
government_size,Cabinet Seats
grant_privilege_cost_modifier,Grant Privilege Cost
hanseatic_shipwright_guild_max_level,[ShowBuildingTypeNameWithNoTooltip('hanseatic_shipwright_guild')] Max Level
harmony_stability,Harmony Stability
has_codified_laws,Can Codify Laws
has_cultural_maintenance,Can Invest in Culture
has_road_building,Road-building
has_stability_investment,Can Invest in Stability
head_of_cabinet_promotion_cost_modifier,Head of the Cabinet Promotion Cost Modifier
hills_proximity_impact,Hills Proximity Impact
hire_advisor_cost_modifier,Hire Advisor Cost
hire_artist_cost_modifier,Hire Artist Cost
hire_mercenary_leader_cost_modifier,Hire Mercenary Leader Cost
hire_mercenary_premium_cost_modifier,Hire Mercenary Premium Cost
hire_privateer_cost_modifier,Cost of Hiring Privateers
ignore_zone_of_control,Ignore Zone of Control
import_efficiency,Import Efficiency
improve_relation_impact,Improve Relations
invite_artist_cost_modifier,Invite Artist Cost
invite_religious_figure_different_school_cost_modifier,Invite Religious Figure from New School Cost
invite_religious_figure_same_school_cost_modifier,Invite Religious Figure from Same School Cost
land_cost_on_distance_from_capital_speed_propagation,Proximity Efficiency through Land
land_morale,Army Morale
land_morale_attrition_cost,Army Morale Attrition Cost
land_morale_modifier,Army Morale
land_morale_movement_cost,Army Morale Movement Cost
land_morale_recovery,Army Morale Recovery Speed
land_unit_attrition,Army Attrition
legislative_efficiency,Legislative Efficiency
levy_combat_efficiency_modifier,Levy Combat Efficiency
levy_maintenance_modifier,Levy Maintenance
levy_recovery_modifier,Levy Recovery
max_bonds,Maximum Government Bonds
max_bonds_modifier,Maximum Government Bonds Modifier
max_diplomats,Maximum Diplomats
maximum_religious_influence,Maximum Religious Influence
may_explore,Allows Exploration Missions
megalopolis_upgrade_cost_modifier,Founding Megalopolis Cost
mercenary_maintenance_efficiency,Mercenary Maintenance Efficiency
merchant_maintenance_efficiency,Merchant Maintenance Efficiency
merchant_power_from_maritime,Maritime $game_concept_merchant_power$
merchant_power_from_maritime_modifier,Trade Maritime Advantage
mercury_patio_max_level,Mercury Patio Max Level
miaphysite_monastery_building_cost_modifier,Miaphysite Monastery Building Cost
military_tactics,Military Tactics
minting_income_factor,Income from Minting
minting_inflation_threshold,Minting Threshold
monthly_army_tradition,Monthly Army Tradition
monthly_devotion,Monthly Devotion
monthly_diplomats,Monthly Diplomats
monthly_doom,Monthly Doom
monthly_honor,Monthly Honor
monthly_horde_unity,Monthly Horde Unity
monthly_inflation,Monthly Inflation
monthly_karma_decay,Monthly Karma Decay
monthly_legitimacy,Monthly Legitimacy
monthly_loan_capacity_investment,Loan Capacity Investment
monthly_navy_tradition,Monthly Navy Tradition
monthly_peasants_estate_rebel_growth,Monthly $peasants_estate$ Rebel Growth
monthly_prestige,Monthly Prestige
monthly_purity,Monthly Purity
monthly_rebel_growth,Monthly Rebel Growth
monthly_religious_influence,Monthly Religious Influence
monthly_religious_rebel_growth,Monthly Religious Rebel Growth
monthly_republican_tradition,Monthly Republican Tradition
monthly_righteousness,Monthly Righteousness
monthly_self_control,Monthly Self Control
monthly_towards_jurisprudence,Monthly Progress to Jurisprudence
monthly_towards_mysticism,Monthly Progress to Mysticism
monthly_tribal_cohesion,Monthly Tribal Cohesion
monthly_war_exhaustion,Monthly War Exhaustion
morale_recovery_in_friendly,Morale Recovery in Friendly Territory
mountains_proximity_impact,Mountains Proximity Impact
movement_speed_if_no_road,Movement Speed without Road
movement_speed_when_attached_to_another_unit,Movement Time when Attached to Another Unit
national_church_power_cost_modifier,Costs of Church Power Actions
national_malaria_resistance_modifier,Malaria Resistance
naval_damage_done,Naval Damage Done
naval_damage_taken,Naval Damage Taken
naval_morale,Navy Morale
naval_morale_modifier,Navy Morale
naval_morale_recovery,Navy Morale Recovery Speed
naval_range,Naval Range
naval_range_modifier,Naval Range
naval_unit_attrition,Navy Attrition
navy_galley_build_cost_modifier,$navy_galley$ Build Cost
navy_galley_maintenance_cost_modifier,$navy_galley$ Maintenance Cost
navy_galley_power,$navy_galley$ Power
navy_heavy_ship_build_cost_modifier,$navy_heavy_ship$ Build Cost
navy_heavy_ship_power,$navy_heavy_ship$ Power
navy_initiative,Navy Initiative
navy_light_ship_build_cost_modifier,$navy_light_ship$ Build Cost
navy_light_ship_power,$navy_light_ship$ Power
navy_maintenance_efficiency,Navy Maintenance Efficiency
navy_movement_speed,Navy Movement Speed
navy_repair_efficiency,Navy Repair Efficiency
navy_tradition_decay,Navy Tradition Decay
nobles_estate_agenda_impact,Agenda Impact for $nobles_estate$
nobles_estate_allowed_to_build_roads,$nobles_estate$ Allowed to Build Roads
nobles_estate_levy_size,Nobles Levy Size
nobles_estate_satisfaction_recovery,Noble Estate Satisfaction Recovery
nobles_estate_target_satisfaction,Noble Estate Satisfaction Equilibrium
non_rural_migration_attraction,Towns and Cities Migration Attraction
num_local_governors,Number of Local Governors
num_naval_governors,Number of Naval Governors
num_of_varangian_units,Number of Varangian Units
num_possible_artists,Possible Number of Artists
number_of_allowed_religious_figures,Religious Figures Allowed
omen_strength_modifier,Omen Strength
orthodox_monastery_building_cost_modifier,Orthodox Monastery Building Cost
orthodox_synod_cost_modifier,Orthodox Synod Cost
own_coast_naval_combat_bonus,Combat Outside Own Coasts
papal_relations,Papal Relations
parliament_base_support,Parliament Base Support
parliament_duration_modifier,Parliament Duration
peasants_estate_agenda_impact,Agenda Impact for $peasants_estate$
peasants_estate_levy_size,Peasants Levy Size
peasants_estate_max_tax,Maximum Tax for Peasants Estate
peasants_estate_satisfaction_recovery,Peasant Estate Satisfaction Recovery
peasants_estate_target_satisfaction,Peasant Estate Satisfaction Equilibrium
perform_tantric_ritual_cost_modifier,$perform_tantric_ritual$ Cost
pilgrimage_action_cost_modifier,Cost of $pilgrimage_action$ Religious Action
plateau_proximity_impact,Plateau Proximity Impact
pop_join_rebel_threshold,Pop Join Rebels Threshold
pop_leave_rebels_threshold,Pop Leave Rebels Threshold
port_cost_distance_from_capital,@port!Proximity Cost through Port
possible_frontage_modifier,Possible Frontage
power_projection,Power Projection
prestige_decay,Prestige Decay
prestige_from_land_battle,Prestige from Land Battles
privateer_durability,Privateer Durability
privateer_maintenance_cost_modifier,Privateer Maintenance
rank_empire_upgrade_cost_modifier,$rank_empire_upgrade$
raw_material_in_province_impact,Local Access to Raw Materials
recruit_explorer_cost_modifier,Recruiting Explorers
regiment_recruit_speed,Recruitment Speed
regiment_reinforcement_speed,Reinforcement Speed
religious_icon_power_modifier,Religious Icon Power Modifier
replace_cabinet_member_cost_modifier,Replace Cabinet Member Cost
research_speed_modifier,Monthly Research Progress %
revoke_privilege_cost_modifier,Revoke Privilege Cost
road_cost_on_distance_from_capital,@road! Proximity Cost through Roads
rural_disease_resistance,Rural Disease Resistance
rural_migration_attraction,Rural Migration Attraction
sea_cost_on_distance_from_capital,Proximity Cost without [maritime_presence]
sea_cost_on_distance_from_capital_when_maritime,@maritime_presence! Proximity Cost with [maritime_presence]
select_expensive_child_education_cost_modifier,Selecting Expensive Education
select_omen_god_cost_modifier,Select Omen God Cost
selling_efficiency,Selling Efficiency
set_cabinet_member_cost_modifier,Set Cabinet Member Cost
ship_build_speed,Ship-building Speed
ship_capture_chance,Ship Capture Chance
ship_repair_at_sea,Ship Repair Speed at Sea
ship_repair_at_sea_to_max_strength,Maximum Ship Strength to Repair at Sea
siege_ability,Siege Ability
skill_of_new_artists,Skill of New Artists
slave_market_max_level,$slave_market$ Max Level
slave_raid_efficiency,Slave Raid Efficiency
spy_network_construction,Spy Network Construction
stability_cost_efficiency,Stability Investment Efficiency
stability_decay,Stability Decay
stability_investment,Stability Investment
subject_income_modifier,Subject Income
subject_loyalty,Loyalty of Subjects
subject_opinions,Subject Opinions
subject_pays_colonial_cost_modifier,Income from Colonial Subjects
supply_depot_capacity,Supply Depot Capacity
tax_income_efficiency,Tax Efficiency
tolerance_heathen,Tolerance of Heathen Beliefs
tolerance_heretic,Tolerance of Heretical Beliefs
tolerance_own,Tolerance of the True Faith
tolerated_culture_maintenance_cost_modifier,Tolerated Culture Maintenance Cost
total_loan_capacity_modifier,Total Loan Capacity
town_upgrade_cost_modifier,Founding Town Cost
trade_company_headquarters_level,Max Level of $trade_company_headquarters$
trade_income,Trade Income
trade_land_efficiency,Trade Land Efficiency
trade_range,Trade Range
trade_range_modifier,Trade Range
trade_sea_efficiency,Trade Sea Efficiency
train_admiral_cost_modifier,Train Admiral Cost
train_general_cost_modifier,Train General Cost
tribes_estate_target_satisfaction,$tribes_estate$ Satisfaction Equilibrium
tribute_payment_received_modifier,Middle Kingdom Tribute Received Modifier
unemployed_slave_promotion,Unemployed Slave Promotion
war_no_cb_cost_modifier,War with No Casus Belli Cost
work_of_art_sell_value_modifier,Work of Art Sale Value
wrong_culture_levy_size,Non-Culture Levy Size
