tag(s),,age,advance name,modifier(s)
JNX,,age_1_traditions,envoy_intelligence_bureau,monthly_diplomats=0.10; government_reform_slots=1
JNX,,age_2_renaissance,censorate_counterintrigue,improve_relation_impact=0.20; steal_technology_cost=-25
JNX,,age_2_renaissance,prefectural_rites_registry,diplomatic_reputation=2; spy_network_construction=0.20
JNX,,age_3_discovery,annexation_memorial_office,diplomatic_annexation_efficiency=0.20
JNX,,age_3_discovery,banner_cavalry_cadre,army_heavy_cavalry_power=0.10; army_heavy_infantry_power=0.10
JNX,,age_4_reformation,frontier_envoy_relays,diplomatic_range_modifier=0.30
JNX,,age_4_reformation,tributary_dependency_board,subject_loyalty=5; subject_income_modifier=0.10; subject_opinions=10
JNX,,age_5_absolutism,gentry_pacification_edict,nobles_estate_target_satisfaction=medium_permanent_target_satisfaction; stability_cost_efficiency=0.20
JNX,,age_6_revolutions,sovereign_state_intelligence_codex,court_spending_efficiency=0.20
MNG,,age_1_traditions,nine_garrisons_memorial,global_fort_limit_modifier=0.20; global_garrison_size_modifier=0.20
MNG,,age_2_renaissance,grand_divisions_restored,discipline=0.05
MNG,,age_2_renaissance,inward_perfection,stability_cost_efficiency=0.10
MNG,,age_3_discovery,repair_yellow_river_dykes,global_production_efficiency=medium_production_efficiency_bonus
MNG,,age_3_discovery,restore_salt_monopoly,selling_efficiency=small_trade_efficiency_bonus; export_efficiency=small_trade_efficiency_bonus
MNG,,age_4_reformation,red_cannon_bureau,siege_ability=0.20
MNG,,age_4_reformation,single_whip_secretariat,tax_income_efficiency=large_tax_income_efficiency_bonus
MNG,,age_5_absolutism,reconstructed_grand_secretariat,government_reform_slots=1
MNG,,age_6_revolutions,celestial_recovery_ambition,research_speed_modifier=0.05
WUU,,age_1_traditions,sea_lord_consortium,allow_privateers_slave_raid=yes; can_hire_privateers=yes; auto_slave_raid=yes
WUU,,age_2_renaissance,maritime_prize_shares,can_convert_galleys_to_light=yes; naval_damage_done=0.10
WUU,,age_2_renaissance,raiding_convoy_syndicates,naval_range_modifier=0.20
WUU,,age_3_discovery,blue_water_pilot_books,naval_range_modifier=0.20
WUU,,age_3_discovery,hidden_harbor_networks,global_maritime_presence_modifier=0.20
WUU,,age_4_reformation,crown_letters_of_prize,naval_damage_taken=-0.10
WUU,,age_4_reformation,privateer_office,global_sailors_modifier=0.10
WUU,,age_5_absolutism,blockade_admiralty,blockade_efficiency=0.20
WUU,,age_6_revolutions,oceanic_prize_ministry,army_disembark_speed=0.35
