tag,age,advance name,modifiers
MWR,age_1_traditions,mwr_sisodia_temple_network,monthly_devotion = 0.05; monthly_legitimacy = 0.05; monthly_republican_tradition = 0.05; global_monthly_literacy = 0.01
MWR,age_1_traditions,mwr_kumbha_logistics,damage_done_versus_heathens_modifier = 0.10
MLW,age_4_reformation,mlw_gwalior_border_raids,army_light_cavalry_power = 0.10
MLW,age_4_reformation,mlw_fortress_maintenance_code,monthly_war_exhaustion = -0.03
MLW,age_3_discovery,mlw_manduan_manuscripts,global_monthly_literacy = 0.02
MLW,age_3_discovery,mlw_ghiyasid_citadel_reforms,monthly_army_tradition = 0.1; army_tradition_decay = -0.001
MLW,age_3_discovery,mlw_baz_bahadur_musical_patronage,monthly_prestige = 0.10
MLW,age_2_renaissance,mlw_persianate_court,stability_cost_efficiency = 0.10; monthly_devotion = 0.10; monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10
MLW,age_2_renaissance,mlw_khalji_combat_engineering,siege_ability = 0.20
MLW,age_2_renaissance,mlw_iron_mine_leases,global_iron_output_modifier = 0.10
MLW,age_1_traditions,mlw_road_ambas,global_merchant_power = 0.2
MLW,age_1_traditions,mlw_muslim_rajput_federations,land_morale_movement_cost = -0.0001
MLW,age_1_traditions,mlw_mandu_granary_gardens,global_estate_target_satisfaction = small_permanent_target_satisfaction
MHR,age_6_revolutions,mhr_maratha_confederation_synthesis,global_monthly_literacy = 0.02
MHR,age_6_revolutions,mhr_guerrilla_resilience,land_unit_attrition = -0.10
MHR,age_5_absolutism,mhr_deccan_assemblies,country_cabinet_efficiency = 0.15
MHR,age_5_absolutism,mhr_chattrapati_court_reorganization,global_crown_estate_power = 0.10
MHR,age_4_reformation,mhr_peshwa_host,land_morale_recovery = 0.01
MHR,age_4_reformation,mhr_peshwa_administrative_reforms,global_integration_speed_modifier = 0.10
MHR,age_4_reformation,mhr_deccan_market_reforms,tax_income_efficiency = small_tax_income_efficiency_bonus; global_production_efficiency = small_production_efficiency_bonus
MHR,age_3_discovery,mhr_guerrilla_hill_warfare,possible_frontage_modifier = 0.10
MHR,age_3_discovery,mhr_ashta_pradhan_council,army_morale = 0.10
MAB,age_6_revolutions,mab_tall_administration_reforms,government_size = 1; government_reform_slots = 1
MAB,age_6_revolutions,mab_powder_logistics_corps,global_hostile_attrition = 1; land_unit_attrition = -0.10
MAB,age_5_absolutism,mab_urban_craft_expansion,global_silk_output_modifier = 0.10; global_monthly_control = 0.001
MAB,age_5_absolutism,mab_state_arsenal_contracts,army_light_infantry_power = 0.10
MAB,age_4_reformation,mab_hill_fort_lines,global_garrison_size_modifier = 0.20; global_garrison_growth = 0.01
MAB,age_3_discovery,mab_saltpeter_contracts,global_saltpeter_output_modifier = 0.15
MAB,age_3_discovery,mab_nadu_revenue_surveys,global_monthly_development = 0.001
MAB,age_2_renaissance,mab_iron_foundries,global_iron_output_modifier = 0.15; global_tools_output_modifier = 0.10
MAB,age_2_renaissance,mab_frontier_stockades,global_defensive = 0.20; fort_limit = 0.20
MAB,age_2_renaissance,mab_coastal_war_fleet,own_coast_naval_combat_bonus = 0.10
MAB,age_1_traditions,mab_tamil_weavers_guilds,global_production_efficiency = medium_production_efficiency_bonus
KHS,age_4_reformation,khs_lumbini_pilgrim_routes,global_road_building_time = -0.25
KHS,age_4_reformation,khs_himalayan_patronage,army_heavy_infantry_power = 0.10; army_light_infantry_power = 0.10
KHS,age_3_discovery,khs_manuscript_schools,global_monthly_development = 0.001; cultures_capacity = 1
KHS,age_3_discovery,khs_lane_fortifications,fort_limit = 0.20
KHS,age_3_discovery,khs_commandery_reforms,country_cabinet_efficiency = 0.10; government_reform_slots = 1
KHS,age_2_renaissance,khs_tibetan_caravans,trade_range_modifier = 0.20; global_merchant_power = 0.1020
KHS,age_2_renaissance,khs_stupa_repair,global_monthly_prosperity = 0.001; global_monthly_development = 0.001
KHS,age_2_renaissance,khs_malla_coinage,minting_income_factor = 0.15
KHS,age_1_traditions,khs_monastic_land_registry,land_morale_modifier = 0.10; land_morale_recovery = 0.02
KHS,age_1_traditions,khs_hill_clan_militia,global_hostile_attrition = 1
KHS,age_1_traditions,khs_adaptiveness,global_pop_assimilation_speed_modifier = 0.20
JNP,age_4_reformation,jnp_hussain_shahi_patronage,city_upgrade_cost_modifier = -0.10; town_upgrade_cost_modifier = -0.10
JNP,age_4_reformation,jnp_frontier_scout_network,counter_espionage = 0.25
JNP,age_3_discovery,jnp_wooden_armour_works,military_tactics = 0.10
JNP,age_3_discovery,jnp_delhi_ambassadorial_network,diplomatic_range_modifier = 0.20; monthly_diplomats = 0.10
JNP,age_3_discovery,jnp_citadel_architects,global_levy_size_modifier = 0.20
JNP,age_2_renaissance,jnp_courtly_public_schools,global_max_literacy = 5
JNP,age_2_renaissance,jnp_border_levy_quartermastery,levy_combat_efficiency_modifier = 0.20
JNP,age_2_renaissance,jnp_bazaar_councils,country_cabinet_efficiency = 0.15
JNP,age_1_traditions,jnp_wooden_bridge_engineers,global_integration_speed_modifier = 0.25
JNP,age_1_traditions,jnp_rajput_levies,nobles_estate_levy_size = 0.15
JNP,age_1_traditions,jnp_elephants_farms,global_elephants_output_modifier = 0.20
GJR,age_4_reformation,guj_empire_port_registries,num_naval_governors = 1; global_trade_center_power = 0.05
GJR,age_4_reformation,guj_coastal_watchtowers,navy_maintenance_efficiency = 0.10
GJR,age_3_discovery,guj_portuguese_confrontation,navy_galley_power = 0.15; navy_light_ship_power = 0.10
GJR,age_3_discovery,guj_maritime_mint_reforms,minting_income_factor = 0.15
GJR,age_3_discovery,guj_mahajan_trade_councils,merchant_power_from_maritime_modifier = 0.10; export_efficiency = small_trade_efficiency_bonus
GJR,age_2_renaissance,guj_trade_fleet_flexibility,can_convert_galleys_to_light = yes
GJR,age_2_renaissance,guj_harbour_administrations,text = every_coastal_location_gains_tt; is_coastal = yes; local_monthly_development_modifier = 0.10; local_port_cost_distance_impact = -0.10
GJR,age_2_renaissance,guj_diu_fortified_harbours,navy_maintenance_efficiency = 0.10; own_port_cost_distance_from_capital = -2
GJR,age_2_renaissance,guj_commerce_chapter_houses,trade_range_modifier = 0.05; global_trade_center_power = 0.05
GJR,age_1_traditions,guj_roadways,global_road_building_time = -0.20; build_gravel_road_cost_modifier = -0.10; build_paved_road_cost_modifier = -0.10; build_modern_road_cost_modifier = -0.10
GJR,age_1_traditions,guj_hireling_cohorts,hire_mercenary_leader_cost_modifier = -0.10; hire_mercenary_premium_cost_modifier = -0.10
GJR,age_1_traditions,guj_ahmedabad_textile_guilds,global_cloth_output_modifier = 0.10; global_fine_cloth_output_modifier = 0.10; global_silk_output_modifier = 0.10
DOA,age_6_revolutions,doab_surplus_reinvestment,global_trade_protection_factor = 0.10
DOA,age_6_revolutions,doab_inland_emporium,global_trade_through_owned_territory_efficiency = 0.10
DOA,age_5_absolutism,doab_state_works,global_build_buildings_efficiency = 0.10
DOA,age_5_absolutism,doab_agricultural_surplus,global_merchant_capacity_modifier = 0.10
DOA,age_4_reformation,doab_canal_administration,global_max_rgo_size_modifier = 0.10
DOA,age_4_reformation,doab_administrative_centralisation,city_upgrade_cost_modifier = -0.10; town_upgrade_cost_modifier = -0.10
DOA,age_3_discovery,doab_riverine_commons,global_merchant_power = 0.35
DOA,age_3_discovery,doab_irrigation,global_population_growth = 0.00025
DCN,age_6_revolutions,dcn_plateau_resistance,fort_assault_bonus = 0.15
DCN,age_6_revolutions,dcn_deccani_synthesis,monthly_war_exhaustion = -0.05
DCN,age_5_absolutism,dcn_persianate_administration,global_integration_speed_modifier = 0.10
DCN,age_5_absolutism,dcn_habshi_elites,hire_mercenary_premium_cost_modifier  = -0.10; mercenary_maintenance_efficiency = 0.10
DCN,age_4_reformation,dcn_gunpowder_innovation,artillery_combat_ability = 0.10; siege_ability = 0.10
DCN,age_4_reformation,dcn_diamond_wealth,global_production_efficiency = large_production_efficiency_bonus
DCN,age_3_discovery,dcn_fortress_kingdoms,fort_defense = 0.15; attrition_for_enemies = 0.10
DCN,age_3_discovery,dcn_dakhini_courts,promoted_cultures = 1; global_unrest = -0.05
DBD,age_5_absolutism,dbd_colombo_arsenals,navy_heavy_ship_build_cost_modifier = -0.10; ship_repair_at_sea_to_max_strength = 0.05
DBD,age_5_absolutism,dbd_blue_water_revenue,trade_range_modifier = 0.20
DBD,age_4_reformation,dbd_port_granary_network,global_monthly_food_modifier = 0.10; global_build_buildings_cost = -0.10
DBD,age_4_reformation,dbd_cinnamon_customs,trade_sea_efficiency = 0.10
DBD,age_3_discovery,dbd_steam_harbor_reforms,num_naval_governors = 1
DBD,age_3_discovery,dbd_light_fleet_doctrine,global_maritime_presence_modifier = 0.1
DBD,age_3_discovery,dbd_lanka_shipping_houses,global_merchant_capacity_modifier = 0.10; merchant_power_from_maritime_modifier = 0.10
DBD,age_3_discovery,dbd_indian_ocean_pilotage,sea_cost_on_distance_from_capital_when_maritime = -0.25; port_cost_distance_from_capital = -2.5
DBD,age_2_renaissance,dbd_pepper_trade,global_pepper_output_modifier = 0.20
DBD,age_2_renaissance,dbd_dockyard_ledgering,navy_initiative = 0.10
DBD,age_2_renaissance,dbd_coastal_war_fleet,ship_build_speed = 0.10; navy_maintenance_efficiency = 0.10
DBD,age_1_traditions,dbd_island_harbor_dues,export_efficiency = 0.10; global_sailors_modifier = 0.10
DBD,age_1_traditions,dbd_ceylon_timber_convoys,global_lumber_output_modifier = 0.20
BYR,age_6_revolutions,byr_golden_empire,subject_loyalty = 0.15; trade_efficiency = 0.15
BYR,age_6_revolutions,byr_burmese_resistance,global_defensive = 0.20
BYR,age_5_absolutism,byr_konbaung_might,monthly_army_tradition = 0.10
BYR,age_5_absolutism,byr_court_of_mandalay,pop_join_rebel_threshold = -0.10; diplomatic_reputation = diplomatic_reputation_mild_bonus
BYR,age_4_reformation,byr_synthesis_army,army_heavy_infantry_power = 0.10; army_light_infantry_power = 0.10
BYR,age_4_reformation,byr_imperial_administration,global_max_literacy = 5
BYR,age_3_discovery,byr_burman_unification,diplomatic_annexation_efficiency = 0.20; unlock_subject_type = march
BEN,age_6_revolutions,ben_indian_ocean_emporium,global_merchant_power = 0.20
BEN,age_6_revolutions,ben_delta_resilience,global_trade_protection_factor = 0.05; global_monthly_control = 0.002
BEN,age_5_absolutism,ben_textile_boom,global_fine_cloth_output_modifier = 0.15; global_merchant_capacity_modifier = 0.10
BEN,age_5_absolutism,ben_nawabi_administration,global_production_efficiency = medium_production_efficiency_bonus; global_max_literacy = 5
BEN,age_4_reformation,ben_sufi_syncretism,global_build_buildings_efficiency = 0.05; tolerance_own = 1
BEN,age_4_reformation,ben_riverine_fleets,ship_build_speed = 0.10; navy_maintenance_efficiency = 0.10
BEN,age_3_discovery,ben_delta_agriculture,global_population_capacity_modifier = 0.10; global_cloth_output_modifier = 0.10
BEN,age_3_discovery,ben_bengal_trade,global_trade_center_power = 0.10; global_trade_through_owned_territory_efficiency = 0.10
BAH,age_4_reformation,bahm_nizami_court_revenue,monthly_devotion = 0.10; monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10
BAH,age_4_reformation,bahm_bidar_steel_forges,global_iron_output_modifier = 0.20; global_coal_output_modifier = 0.20
BAH,age_3_discovery,bahm_talaqua_trade_houses,export_efficiency = medium_trade_efficiency_bonus
BAH,age_3_discovery,bahm_gulbarga_scholarly_houses,global_max_literacy = 10
BAH,age_3_discovery,bahm_fortress_tarafdari,land_unit_attrition = -0.10; food_consumption_modifier = -0.10
BAH,age_2_renaissance,bahm_sufi_order_endowments,court_spending_efficiency = 0.10
BAH,age_2_renaissance,bahm_dakhini_court_rituals,government_size = 1
BAH,age_2_renaissance,bahm_bidar_fort_repair,building_upkeep_efficiency = 0.10; global_fort_build_buildings_efficiency = 0.2
BAH,age_2_renaissance,bahm_barnala_mint_reforms,trade_range_modifier = 0.10; trade_sea_efficiency = medium_trade_sea_efficiency_bonus
BAH,age_1_traditions,bahm_tughlaq_refugee_settlements,global_population_growth = 0.0005
BAH,age_1_traditions,bahm_gulbarga_riverine_canals,global_monthly_food_modifier = 0.10; global_rural_build_buildings_efficiency = 0.10
BAH,age_1_traditions,bahm_frontier_ghulam_cohorts,levy_combat_efficiency_modifier = 0.15
ARK,age_6_revolutions,ark_delta_defense,global_hostile_attrition = 1; global_pop_food_consumption = -0.10
ARK,age_6_revolutions,ark_arakan_revival,army_artillery_power = 0.10
ARK,age_5_absolutism,ark_muslim_influence,monthly_war_exhaustion = -0.05; monthly_navy_tradition = 0.1
ARK,age_5_absolutism,ark_arakan_prosperity,global_monthly_prosperity = 0.002
ARK,age_4_reformation,ark_portuguese_alliance,monthly_republican_tradition = 0.1; monthly_legitimacy = 0.1; monthly_devotion = 0.1
ARK,age_4_reformation,ark_independent_coast,global_max_rgo_size_modifier_in_non_rural = 0.20
ARK,age_3_discovery,ark_maritime_networks,trade_sea_efficiency = medium_trade_sea_efficiency_bonus
ARK,age_3_discovery,ark_buddhist_kingdom,tolerance_own_religion = 1; tolerance_heretic = 1
ARK,age_1_traditions,ark_coastal_raiders,global_maritime_presence_modifier = 0.20
ARK,age_1_traditions,ark_arakan_trade,global_pop_promotion_speed_modifier = 0.1
AHM,age_4_reformation,ahm_sufi_madrassa_patronage,global_clergy_desired_pop = 0.02
AHM,age_4_reformation,ahm_ahilya_coastal_patrols,land_unit_attrition = -0.10; army_logistics_distance_modifier = 0.10
AHM,age_3_discovery,ahm_nizam_ambar_administration,government_reform_slots = 1
AHM,age_3_discovery,ahm_deccan_garrison_reforms,army_tradition_decay = -0.001
AHM,age_3_discovery,ahm_ahmednagar_cannon_foundries,global_cannon_output_modifier = 0.10; global_tools_output_modifier = 0.10
AHM,age_2_renaissance,ahm_sugar_cane_estates,global_monthly_prosperity = 0.001
AHM,age_2_renaissance,ahm_maratha_regular_banners,army_light_infantry_power = 0.10
AHM,age_2_renaissance,ahm_maratha_fief_surveys,global_estate_max_tax = 0.1
AHM,age_2_renaissance,ahm_badami_fortifications,global_defensive = 0.10; fort_limit = 0.15
AHM,age_1_traditions,ahm_rainwater_tank_network,global_monthly_food_modifier = 0.20
AHM,age_1_traditions,ahm_deccan_horse_yajna,army_light_cavalry_power = 0.10; land_movement_speed = 0.10
AHM,age_1_traditions,ahm_cotton_bolstered_trade,global_cloth_output_modifier = 0.10; tax_income_efficiency = small_tax_income_efficiency_bonus
ABTML,age_6_revolutions,abtmk_central_works_ministry,country_cabinet_efficiency = 0.10; legislative_efficiency = 0.10
ABTML,age_5_absolutism,abtmk_oceanic_entrepot_state,
ABTML,age_5_absolutism,abtmk_imperial_customs_board,government_reform_slots = 1
ABTML,age_4_reformation,abtmk_pearl_fishery_prosperity,global_monthly_prosperity = 0.001
ABTML,age_4_reformation,abtmk_nadu_council_reforms,government_size = 1
ABTML,age_4_reformation,abtmk_guild_tax_charters,bank_interest = -0.01; total_loan_capacity_modifier = 0.25
ABTML,age_4_reformation,abtmk_blue_water_command,navy_initiative = 0.25
ABTML,age_3_discovery,abtmk_harbor_registry,army_disembark_speed = 0.20
ABTML,age_3_discovery,abtmk_coromandel_marine_reforms,army_light_infantry_power = 0.10
