eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,eu5_notes
local_bubonic_plague_growth_modifier,Bubonic Plague Growth,location,multiplicative,"percent, good",
local_bubonic_plague_impact_modifier,Bubonic Plague Impact,location,multiplicative,"percent, bad",
local_bubonic_plague_resistance_modifier,Bubonic Plague Resistance,location,multiplicative,"percent, good",
local_build_buildings_cost,Buildings Cost,location,,"percent, bad",
local_build_new_buildings_cost,New Buildings Cost,location,,"percent, bad",
local_burghers_assimilation_blocked,Assimilation of Burghers Blocked,location,boolean,bad,
local_burghers_conversion_blocked,Conversion of Burghers Blocked,location,boolean,bad,
local_burghers_desired_pop,Possible Burghers,location,,good,
local_burghers_desired_pop_scaled,"Possible Burghers for each 1,000 population",location,scaled,"percent, good",
local_burghers_estate_power,Local Burghers Power,"location, estate",,"percent, bad",
local_burghers_estate_unrest,Burghers Unrest,"location, estate",,"percent, bad",
local_burghers_food_consumption,Local Burghers Food Consumption,location,,"percent, bad",
local_burghers_max_literacy,Local Max Literacy for Burghers,location,,"raw percent, good",
local_burghers_migration_allowed,Allows Burghers to Migrate,location,boolean,good,
local_burghers_pop_growth,Burghers Growth,location,,"percent, good",
local_cannons_output_modifier,Local Cannon Output,location,multiplicative,"percent, good",
local_chili_output_modifier,Chili Output,location,multiplicative,"percent, good",
local_clay_output_modifier,Local Clay Output,location,multiplicative,"percent, good",
local_clergy_assimilation_blocked,Assimilation of Clerics Blocked,location,boolean,bad,
local_clergy_conversion_blocked,Conversion of Clerics Blocked,location,boolean,bad,
local_clergy_desired_pop,Possible Clerics,location,,good,
local_clergy_desired_pop_scaled,"Possible Clerics for each 1,000 population",location,scaled,"percent, good",
local_clergy_estate_power,Local Clergy Power,"location, estate",,"percent, bad",
local_clergy_estate_unrest,Clergy Unrest,"location, estate",,"percent, bad",
local_clergy_food_consumption,Local Clergy Food Consumption,location,,"percent, bad",
local_clergy_max_literacy,Local Max Literacy for Clergy,location,,"raw percent, good",
local_clergy_migration_allowed,Allows Clerics to Migrate,location,boolean,good,
local_clergy_pop_growth,Clerics Growth,location,,"percent, good",
local_cloth_guild_building_levels,Cloth Guild Building Levels,location,,good,
local_cloth_output_modifier,Local Cloth Output,location,multiplicative,"percent, good",
local_cloves_output_modifier,Cloves Output,location,multiplicative,"percent, good",
local_coal_output_modifier,Local Coal Output,location,multiplicative,"percent, good",
local_cocoa_output_modifier,Local Cocoa Output,location,multiplicative,"percent, good",
local_coffee_output_modifier,Local Coffee Output,location,multiplicative,"percent, good",
local_construction_speed,Construction Speed,location,,"percent, good",
local_copper_output_modifier,Local Copper Output,location,multiplicative,"percent, good",
local_cossacks_estate_power,Cossacks Power,"location, estate",,"percent, bad",
local_cossacks_estate_unrest,Cossacks Unrest,"location, estate",,"percent, bad",
local_cotton_output_modifier,Local Cotton Output,location,multiplicative,"percent, good",
local_crown_estate_power,Local Crown Power,"location, estate",,"percent, good",
local_crown_estate_unrest,Crown Unrest,"location, estate",,"percent, bad",
local_cultural_influence,Local Cultural Influence,location,,good,
local_cultural_tradition,Cultural Tradition,location,,good,
local_defensive,Fort Defense,location,,"percent, good",
local_devastation_recovery,Prosperity Recovery,location,,"percent, good",
local_dhimmi_estate_power,Local Ḏimmī Power,"location, estate",,"percent, bad",
local_dhimmi_estate_unrest,Dhimmi Unrest,"location, estate",,"percent, bad",
local_disease_resistance,Disease Resistance,location,,"percent, good",
local_distance_from_capital_speed_propagation,Local Proximity Speed,location,,"percent, good",
local_dyes_output_modifier,Local Dyes Output,location,multiplicative,"percent, good",
local_elephants_output_modifier,Local Elephants Output,location,multiplicative,"percent, good",
local_fiber_crops_output_modifier,Local Fiber Crops Output,location,multiplicative,"percent, good",
local_fine_cloth_guild_building_levels,Fine Cloth Guild Building Levels,location,,good,
local_fine_cloth_output_modifier,Local Fine Cloth Output,location,multiplicative,"percent, good",
local_firearms_output_modifier,Local Firearms Output,location,multiplicative,"percent, good",
local_fish_output_modifier,Local Fish Output,location,multiplicative,"percent, good",
local_food_capacity,Local Food Capacity,location,,good,
local_food_capacity_modifier,Local Food Capacity,location,multiplicative,"percent, good",
local_food_decay,Food Decay,location,,"percent, bad",
local_food_decay_modifier,Food Decay,location,multiplicative,"percent, bad",
local_forced_attrition,Unavoidable Attrition,location,,bad,
local_fort_maintenance_cost,Fortification Maintenance,location,,"percent, bad",
local_frontage_allowed,Possible Frontage,location,,good,
local_fruit_output_modifier,Local Fruit Output,location,multiplicative,"percent, good",
local_fur_output_modifier,Local Fur Output,location,multiplicative,"percent, good",
local_furniture_output_modifier,Furniture Output,location,multiplicative,"percent, good",
local_garrison_growth,Garrison Growth,location,,"percent, good",
local_garrison_size,Garrison Size,location,,good,
local_gems_output_modifier,Local Gems Output,location,multiplicative,"percent, good",
local_glass_output_modifier,Local Glass Output,location,multiplicative,"percent, good",
local_goods_gold_output_modifier,Local Gold Output,location,multiplicative,"percent, good",
local_great_pestilence_growth_modifier,Great Pestilence Growth,location,multiplicative,"percent, good",
local_great_pestilence_impact_modifier,Great Pestilence Impact,location,multiplicative,"percent, bad",
local_great_pestilence_resistance_modifier,Great Pestilence Resistance,location,multiplicative,"percent, good",
local_heathen_pop_conversion_speed_modifier,Local Heathen Pop Conversion Speed %,location,multiplicative,"percent, good",
local_hellenism_religion_movement_growth_modifier,Local Platonic Revival Movement Growth Modifier,location,multiplicative,"percent, good",
local_hellenism_religion_movement_impact_modifier,Platonic Revival Impact Modifier,location,multiplicative,"percent, good",
local_hellenism_religion_movement_resistance_modifier,Local Platonic Revival Movement Resistance Modifier,location,multiplicative,"percent, good",
local_heretic_pop_conversion_speed_modifier,Local Heretic Pop Conversion Speed %,location,multiplicative,"percent, good",
local_horses_output_modifier,Local Horses Output,location,multiplicative,"percent, good",
local_hostile_attrition,Hostile Attrition,location,,"raw percent, bad",
local_incense_output_modifier,Local Incense Output,location,multiplicative,"percent, good",
local_influenza_growth_modifier,Influenza Growth,location,multiplicative,"percent, good",
local_influenza_impact_modifier,Influenza Impact,location,multiplicative,"percent, bad",
local_influenza_resistance_modifier,Influenza Resistance,location,multiplicative,"percent, good",
local_institution_growth_modifier,Institution Growth,location,multiplicative,"percent, good",
local_integration_speed,Speed of Integration,location,,good,
local_integration_speed_modifier,Speed of Integration,location,multiplicative,"percent, good",
local_iron_output_modifier,Local Iron Output,location,multiplicative,"percent, good",
local_ivory_output_modifier,Local Ivory Output,location,multiplicative,"percent, good",
local_jewelry_guild_building_levels,Jewelry Guild Building Levels,location,,good,
local_jewelry_output_modifier,Local Jewelry Output,location,multiplicative,"percent, good",
local_laborers_assimilation_blocked,Assimilation of Laborers Blocked,location,boolean,bad,
local_laborers_conversion_blocked,Conversion of Laborers Blocked,location,boolean,bad,
local_laborers_desired_pop,Possible Laborers,location,,good,
local_laborers_desired_pop_scaled,"Possible Laborers for each 1,000 population",location,scaled,"percent, good",
local_laborers_food_consumption,Laborers Food Consumption,location,,"percent, bad",
local_laborers_max_literacy,Local Max Literacy for Laborers,location,,"raw percent, good",
local_laborers_migration_allowed,Allows Laborers to Migrate,location,boolean,good,
local_laborers_pop_growth,Laborers Growth,location,,"percent, good",
local_lacquerware_output_modifier,Local Lacquerware Output,location,multiplicative,"percent, good",
local_lead_output_modifier,Local Lead Output,location,multiplicative,"percent, good",
local_leather_output_modifier,Local Leather Output,location,multiplicative,"percent, good",
local_legumes_output_modifier,Local Legumes Output,location,multiplicative,"percent, good",
local_levy_recruitment_speed_modifier,Levy Recruitment Speed,location,multiplicative,"percent, good",
local_levy_size_modifier,Levy Size,location,multiplicative,"percent, good",
local_life_expectancy,Character Life Expectancy,location,,good,
local_liquor_output_modifier,Local Liquor Output,location,multiplicative,"percent, good",
local_livestock_output_modifier,Local Livestock Output,location,multiplicative,"percent, good",
local_lumber_output_modifier,Local Lumber Output,location,multiplicative,"percent, good",
local_maize_output_modifier,Local Maize Output,location,multiplicative,"percent, good",
local_malaria_growth_modifier,Malaria Growth,location,multiplicative,"percent, good",
local_malaria_impact_modifier,Malaria Impact,location,multiplicative,"percent, bad",
local_malaria_resistance_modifier,Malaria Resistance,location,multiplicative,"percent, good",
local_manpower,Monthly Manpower,location,,good,
local_manpower_modifier,Monthly Manpower,location,multiplicative,"percent, good",
local_marble_output_modifier,Marble Output,location,multiplicative,"percent, good",
local_maritime_presence,Local Maritime Presence,location,,good,
local_market_access,Market Access,location,,"percent, good",
local_marketplace_building_levels,Marketplace Building Levels,location,,good,
local_masonry_output_modifier,Masonry Output,location,multiplicative,"percent, good",
local_max_control,Max Control,location,,"percent, good",
local_max_literacy,Local Max Literacy,location,,"raw percent, good",
local_max_rgo_size,Maximum RGO Size,location,,good,
local_max_rgo_size_modifier,Maximum RGO Size,location,multiplicative,"percent, good",
local_max_rural_control,Max Rural Control,location,,"percent, good",
local_max_urban_control,Max Urban Control,location,,"percent, good",
local_may_build_nahuatl_units,May Build Eagle and Jaguar Warriors,location,boolean,good,
local_measles_growth_modifier,Measles Growth,location,multiplicative,"percent, good",
local_measles_impact_modifier,Measles Impact,location,multiplicative,"percent, bad",
local_measles_resistance_modifier,Measles Resistance,location,multiplicative,"percent, good",
local_medicaments_output_modifier,Local Medicaments Output,location,multiplicative,"percent, good",
local_mercenaries_modifier,Mercenary Size,location,multiplicative,"percent, neutral",
local_merchant_capacity,Trade Capacity,location,,good,
local_merchant_capacity_modifier,Trade Capacity,location,multiplicative,"percent, good",
local_merchant_power,Trade Advantage,location,,good,
local_mercury_output_modifier,Mercury Output,location,multiplicative,"percent, good",
local_migration_attraction,Migration Attraction,location,,good,
local_migration_speed,Pop Migration Speed,location,,good,
local_migration_speed_modifier,Pop Migration Speed,location,multiplicative,"percent, good",
local_millet_output_modifier,Local Sturdy Grains Output,location,multiplicative,"percent, good",
local_monthly_control,Monthly Control,location,,"percent, good",
local_monthly_control_decline,Monthly Control Decline,location,,"percent, bad",
local_monthly_development,Local Monthly Development,location,,good,
local_monthly_development_modifier,Local Monthly Development Growth,location,multiplicative,"percent, good",
local_monthly_food,Local Food Production,location,,good,
local_monthly_food_modifier,Local Food Production %,location,multiplicative,"percent, good",
local_monthly_literacy,Local Monthly Literacy,location,,"raw percent, good",
local_monthly_prosperity,Local Monthly Prosperity,location,,"percent, good",
local_monthly_rural_control,Monthly Rural Control,location,,"percent, good",
local_monthly_urban_control,Monthly Urban Control,location,,"percent, good",
local_naval_supplies_output_modifier,Local Naval Supplies Output,location,multiplicative,"percent, good",
local_navy_attrition,Naval Attrition,location,,bad,
local_navy_levy_size_modifier,Navy Levy Size,location,multiplicative,"percent, good",
local_nobles_assimilation_blocked,Assimilation of Nobles Blocked,location,boolean,bad,
local_nobles_conversion_blocked,Conversion of Nobles Blocked,location,boolean,bad,
local_nobles_desired_pop,Possible Nobles,location,,good,
local_nobles_desired_pop_scaled,"Possible Nobles for each 1,000 population",location,scaled,"percent, good",
local_nobles_estate_power,Local Nobles Power,"location, estate",,"percent, bad",
local_nobles_estate_unrest,Nobility Unrest,"location, estate",,"percent, bad",
local_nobles_food_consumption,Local Nobles Food Consumption,location,,"percent, bad",
local_nobles_max_literacy,Local Max Literacy for Nobles,location,,"raw percent, good",
local_nobles_migration_allowed,Allows Nobles to Migrate,location,boolean,good,
local_nobles_pop_growth,Nobles Growth,location,,"percent, good",
local_olives_output_modifier,Local Olives Output,location,multiplicative,"percent, good",
local_paper_output_modifier,Local Paper Output,location,multiplicative,"percent, good",
local_pearls_output_modifier,Local Pearls Output,location,multiplicative,"percent, good",
local_peasant_enfranchisment,Peasant Enfranchisement,location,,"percent, good",
local_peasants_assimilation_blocked,Assimilation of Peasants Blocked,location,boolean,bad,
local_peasants_conversion_blocked,Conversion of Peasants Blocked,location,boolean,bad,
local_peasants_desired_pop,Possible Peasants,location,,good,
local_peasants_desired_pop_scaled,"Possible Peasants for each 1,000 population",location,scaled,"percent, good",
local_peasants_estate_power,Local Peasants Power,"location, estate",,"percent, bad",
local_peasants_estate_unrest,Commoners Unrest,"location, estate",,"percent, bad",
local_peasants_food_consumption,Local Peasants Food Consumption,location,,"percent, bad",
local_peasants_max_literacy,Local Max Literacy for Peasants,location,,"raw percent, good",
local_peasants_migration_allowed,Allows Peasants to Migrate,location,boolean,good,
local_peasants_pop_growth,Peasants Growth,location,,"percent, good",
local_pepper_output_modifier,Pepper Output,location,multiplicative,"percent, good",
local_pirate_spawn_chance,Chance for Pirates,location,,"raw percent, bad",
local_pop_assimilation_speed,Pop Assimilation Speed,location,,good,
local_pop_assimilation_speed_modifier,Pop Assimilation Speed,location,multiplicative,"percent, good",
local_pop_conversion_speed,Local Pop Conversion Speed,location,,good,
local_pop_conversion_speed_modifier,Local Pop Conversion Speed %,location,multiplicative,"percent, good",
local_pop_demotion_speed,Pop Demotion Speed,location,,bad,
local_pop_demotion_speed_modifier,Pop Demotion Speed,location,multiplicative,"percent, bad",
local_pop_food_consumption,Local Pop Food Consumption,location,,"percent, bad",
local_pop_join_rebel_threshold,Pop Join Rebels Threshold,location,,"percent, bad",
local_pop_leave_rebels_threshold,Pop Leave Rebels Threshold,location,,"percent, bad",
local_pop_promotion_speed,Local Pop Promotion Speed,location,,good,
local_pop_promotion_speed_modifier,Local Pop Promotion Speed %,location,multiplicative,"percent, good",
local_pop_promotion_speed_scaled,Local Pop Promotion Speed %,location,scaled,good,
local_population_capacity,Local Population Capacity,location,,good,
local_population_capacity_modifier,Local Population Capacity %,location,multiplicative,"percent, good",
local_population_growth,Population Growth,location,,"percent, good",
local_porcelain_output_modifier,Local Porcelain Output,location,multiplicative,"percent, good",
local_port_build_buildings_cost,Port Buildings Cost,location,,"percent, bad",
local_port_cost_distance_impact,Proximity Impact through Port,location,,"percent, bad",
local_possible_town_rights,Possible Urban Rights,location,,good,
local_potato_output_modifier,Local Potatoes Output,location,multiplicative,"percent, good",
local_pottery_output_modifier,Pottery Output,location,multiplicative,"percent, good",
local_production_efficiency,Production Efficiency,location,,"percent, good",
local_prosperity_decay,Prosperity Decay,location,,"percent, bad",
local_proximity_source,Local Proximity Source,location,,good,
local_raw_material_output,Raw Materials Output,location,,"percent, good",
local_repair_speed,Navy Repair Speed,location,,"percent, good",
local_rgo_build_time,Expanding Raw Materials Time,location,,"percent, bad",
local_rice_output_modifier,Local Rice Output,location,multiplicative,"percent, good",
local_road_building_time,Road Building Time,location,,"percent, bad",
local_roman_culture_movement_growth_modifier,Local Latin Revival Movement Growth Modifier,location,multiplicative,"percent, good",
local_roman_culture_movement_resistance_modifier,Local Latin Revival Movement Resistance Modifier,location,multiplicative,"percent, good",
local_saffron_output_modifier,Saffron Output,location,multiplicative,"percent, good",
local_sailors,Monthly Sailors,location,,good,
local_sailors_modifier,Monthly Sailors,location,multiplicative,"percent, good",
local_salt_output_modifier,Local Salt Output,location,multiplicative,"percent, good",
local_saltpeter_output_modifier,Local Saltpeter Output,location,multiplicative,"percent, good",
local_sand_output_modifier,Local Sand Output,location,multiplicative,"percent, good",
local_separatism,Separatism,location,,"percent, bad",
local_ship_build_speed,Local Ship-building Speed,location,,"percent, good",
local_silk_output_modifier,Local Silk Output,location,multiplicative,"percent, good",
local_silver_output_modifier,Local Silver Output,location,multiplicative,"percent, good",
local_slave_pop_satisfaction,Satisfaction of Slaves,location,,"percent, good",
local_slaves_assimilation_blocked,Assimilation of Slaves Blocked,location,boolean,bad,
local_slaves_conversion_blocked,Conversion of Slaves Blocked,location,boolean,bad,
local_slaves_desired_pop,Possible Slaves,location,,good,
local_slaves_desired_pop_scaled,"Possible Slaves for each 1,000 population",location,scaled,"percent, good",
local_slaves_food_consumption,Local Slaves Food Consumption,location,,"percent, bad",
local_slaves_goods_output_modifier,Local Slaves Output,location,multiplicative,"percent, good",
local_slaves_max_literacy,Local Max Literacy for Slaves,location,,"raw percent, good",
local_slaves_migration_allowed,Allows Slaves to Migrate,location,boolean,good,
local_slaves_pop_growth,Slaves Growth,location,,"percent, good",
local_smallpox_growth_modifier,Smallpox Growth,location,multiplicative,"percent, good",
local_smallpox_impact_modifier,Smallpox Impact,location,multiplicative,"percent, bad",
local_smallpox_resistance_modifier,Smallpox Resistance,location,multiplicative,"percent, good",
local_soldiers_assimilation_blocked,Assimilation of Soldiers Blocked,location,boolean,bad,
local_soldiers_conversion_blocked,Conversion of Soldiers Blocked,location,boolean,bad,
local_soldiers_desired_pop,Possible Soldiers,location,,good,
local_soldiers_desired_pop_scaled,"Possible Soldiers for each 1,000 population",location,scaled,"percent, good",
local_soldiers_food_consumption,Soldiers Food Consumption,location,,"percent, bad",
local_soldiers_max_literacy,Local Max Literacy for Soldiers,location,,"raw percent, good",
local_soldiers_migration_allowed,Allows Soldiers to Migrate,location,boolean,good,
local_soldiers_pop_growth,Soldiers Growth,location,,"percent, good",
local_steel_output_modifier,Local Steel Output,location,multiplicative,"percent, good",
local_stone_output_modifier,Local Stone Output,location,multiplicative,"percent, good",
local_sugar_output_modifier,Local Sugar Output,location,multiplicative,"percent, good",
local_supply_limit_modifier,Supply Limit,location,multiplicative,"percent, good",
local_tar_output_modifier,Local Tar Output,location,multiplicative,"percent, good",
local_tea_output_modifier,Local Tea Output,location,multiplicative,"percent, good",
local_tin_output_modifier,Local Tin Output,location,multiplicative,"percent, good",
local_tobacco_output_modifier,Local Tobacco Output,location,multiplicative,"percent, good",
local_tools_output_modifier,Local Tools Output,location,multiplicative,"percent, good",
local_trade_center_power,Market Attraction,location,,"percent, good",
local_trade_embark_disembark_cost_modifier,Trade Embark-Disembark Cost,location,multiplicative,"percent, bad",
local_trade_protection_factor,Local Market Protection,location,,"percent, good",
local_trades_per_burgher,Burghers Trade Capacity,location,,"percent, good",
local_tribal_promotion,Tribesmen to Peasants,location,,"percent, good",
local_tribes_estate_power,Tribes Power,"location, estate",,"percent, bad",
local_tribes_estate_unrest,Tribes Unrest,"location, estate",,"percent, bad",
local_tribesmen_assimilation_blocked,Assimilation of Tribesmen Blocked,location,boolean,bad,
local_tribesmen_conversion_blocked,Conversion of Tribesmen Blocked,location,boolean,bad,
local_tribesmen_desired_pop,Possible Tribesmen,location,,good,
local_tribesmen_desired_pop_scaled,"Possible Tribesmen for each 1,000 population",location,scaled,"percent, good",
local_tribesmen_food_consumption,Tribesmen Food Consumption,location,,"percent, bad",
local_tribesmen_max_literacy,Local Max Literacy for Tribesmen,location,,"raw percent, good",
local_tribesmen_migration_allowed,Allows Tribesmen to Migrate,location,boolean,good,
local_tribesmen_pop_growth,Tribesmen Growth,location,,"percent, good",
local_typhus_growth_modifier,Typhus Growth,location,multiplicative,"percent, good",
local_typhus_impact_modifier,Typhus Impact,location,multiplicative,"percent, bad",
local_typhus_resistance_modifier,Typhus Resistance,location,multiplicative,"percent, good",
local_unrest,Unrest,location,,"percent, bad",
local_upper_class_capacity_modifier,Upper-Class Population Capacity,location,multiplicative,"percent, good",
local_war_score_efficiency,War Score Efficiency,location,,"percent, good",
local_weaponry_output_modifier,Local Weaponry Output,location,multiplicative,"percent, good",
local_wheat_output_modifier,Local Wheat Output,location,multiplicative,"percent, good",
local_wild_game_output_modifier,Local Wild Game Output,location,multiplicative,"percent, good",
local_wine_output_modifier,Local Wine Output,location,multiplicative,"percent, good",
local_wool_output_modifier,Local Wool Output,location,multiplicative,"percent, good",
manpower_to_building_owner,Manpower to Owner,location,,good,
max_attrition,Maximum Attrition,location,,bad,
max_constructions_at_same_time,Constructions Capacity,location,,good,
max_regiments_trained_at_same_time,Regiment Training Capacity,location,,good,
max_ships_built_at_same_time,Ship-building Capacity,location,,good,
max_siege_memory,Max Siege Progress,location,,good,
maximum_stockpile_capacity,Maximum Stockpile Capacity,location,,good,
may_build_sofa_units,May Build Sofa units,location,boolean,good,
merchant_capacity_from_building,Trade Capacity to Owner,location,,good,
merchant_power_from_building,Trade Advantage to Owner,location,,good,
minimum_fort_level,Minimum Fort Level,location,,good,
movement_cost,Movement Cost,location,,"percent, bad",
natural_harbor_suitability,Natural Harbor Suitability,location,,"percent, good",
occupation_time,Occupation Time,location,,"percent, good",
owner_gets_vision_when_occupied,Owner gets Vision when Occupied,location,boolean,good,
promote_institution_chance,Institution Promotion,location,,good,
propagating_zone_of_control,Allows Zone of Control,location,boolean,good,
road_building_blocked,Road-building Blocked,location,boolean,bad,
sailors_to_building_owner,Sailors to Owner,location,,good,
scaled_gold_to_building_owner,Taxbase to Owner,location,,"percent, good",
scaled_gold_to_building_owner_overlord,Taxbase to Building Overlord,location,,"percent, good",
supply_limit,Supply Limit,location,,good,
total_population_capacity_modifier,Population Capacity,location,multiplicative,"percent, good",
