eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,eu5_notes
organization_parliament_duration_modifier,Organization Parliament Duration,internationalorganization,multiplicative,"percent, neutral",
policy_vote_delay,Policy Vote Delay,internationalorganization,,neutral,
policy_vote_required_vote_ratio,Required Policy Vote Ratio,internationalorganization,,"percent, neutral",
primas_germaniae_agenda_impact,Agenda Impact for Primas Germaniae,internationalorganization,,"percent, good",
primas_germaniae_can_participate_in_parliament,Primas Germaniae in Parliament,internationalorganization,boolean,good,
senior_partner_agenda_impact,Agenda Impact for Senior Partner,internationalorganization,,"percent, good",
senior_partner_can_participate_in_parliament,Senior Partner in Parliament,internationalorganization,boolean,good,
shugo_daimyo_agenda_impact,Agenda Impact for Shugo Daimyō,internationalorganization,,"percent, good",
shugo_daimyo_can_participate_in_parliament,Shugo Daimyō in Parliament,internationalorganization,boolean,good,
tatar_overlord_agenda_impact,Agenda Impact for Tatar-Overlord,internationalorganization,,"percent, good",
tatar_overlord_can_participate_in_parliament,Tatar-Overlord in Parliament,internationalorganization,boolean,good,
tatar_tax_collector_agenda_impact,Tatar Tax Collector Agenda impact,internationalorganization,,"percent, good",
tatar_tax_collector_can_participate_in_parliament,Grand Prince of Vladimir in Parliament,internationalorganization,boolean,good,
union_allowed_enforce_peace,Allow Enforce Union Peace in Union,internationalorganization,boolean,good,
union_integration_level,Union Integration Level,internationalorganization,,good,
union_unlock_rein_in_junior_diplomacy,Unlock Rein in Junior Diplomacy,internationalorganization,boolean,good,
unlock_align_societal_values_member,Unlock Align Societal Values,internationalorganization,boolean,good,
unlock_contribute_to_organization_treasury,Unlock Contribute to Organization Treasury,internationalorganization,boolean,good,
unlock_force_convert_member,Unlock Force Convert Member,internationalorganization,boolean,good,
unlock_hire_artist_from_member,Unlock Hire Artist,internationalorganization,boolean,good,
unlock_hire_cabinet_character_from_member,Unlock Hire Cabinet Member,internationalorganization,boolean,good,
unlock_hire_military_leader_from_member,Unlock Hire Military Leader,internationalorganization,boolean,good,
unlock_improve_relations_member,Unlock Improve Relations,internationalorganization,boolean,good,
unlock_invest_in_members_administration,Unlock Invest in Member's Administration,internationalorganization,boolean,good,
unlock_invest_in_members_economy,Unlock Invest in Member's Economy,internationalorganization,boolean,good,
unlock_invest_in_members_military,Unlock Invest in Member's Military,internationalorganization,boolean,good,
unlock_withdraw_from_organization_treasury,Unlock Withdraw from Organization Treasury,internationalorganization,boolean,good,
uses_parliament_for_law_votes,Uses Parliament for Law Changes,internationalorganization,boolean,good,
years_to_annex_members,Years to Annex Members,internationalorganization,,neutral,
