eu5_modifier,eu5_localization,eu5_category,eu5_type,eu5_format,
antagonism_government_type_influence,Antagonism Government Type Influence,country,,"percent, neutral",
antagonism_language_influence,Antagonism Language Influence,country,,"percent, neutral",
antagonism_monthly_change_modifier,Antagonism Decay,country,multiplicative,good,
antagonism_peace_treaty_demands_giving_modifier,Antagonism Given from Peace Treaty Demands,country,multiplicative,"percent, neutral",
antagonism_received_modifier,Antagonism Received,country,multiplicative,"percent, bad",
antagonism_religion_influence,Antagonism Religion Influence,country,,"percent, neutral",
antagonism_revolution_influence,Antagonism Revolution Influence,country,,"percent, neutral",
antagonism_societal_value_influence,Antagonism Societal Value Influence,country,,"percent, neutral",
antagonism_taking_land_giving_modifier,Antagonism Given from Taking Land Modifier,country,multiplicative,"percent, neutral",
anti_piracy_warfare_modifier,Anti-Piracy Warfare Modifier,unit,multiplicative,"percent, good",
any_pop_can_be_slave,Unrestricted Slavery,country,boolean,good,
appanage_prevented_from_call_to_war,Disallowed from Call Appanage to War,country,boolean,good,
appease_nobles_estate_from_shogun_court_cost_modifier,Cost of Appease the Elites Action,"country, estate",multiplicative,"percent, bad",
appoint_as_heir_price_cost_modifier,Appoint as Heir Cost Modifier,country,multiplicative,"percent, bad",
aqueduct_system_max_level,Aqueduct System Max Level,country,additive,good,
army_artillery_build_cost_modifier,Artillery Build Cost,"country, army",multiplicative,"percent, bad",
army_artillery_maintenance_cost_modifier,Artillery Maintenance Cost,"country, army",multiplicative,"percent, bad",
army_artillery_power,Artillery Power,"unit, army",,"percent, good",
army_artillery_reinforce_cost_modifier,Artillery Reinforcement Cost,"country, army",multiplicative,"percent, bad",
army_auxiliary_build_cost_modifier,Auxiliary Build Cost,"country, army",multiplicative,"percent, bad",
army_auxiliary_maintenance_cost_modifier,Auxiliary Maintenance Cost,"country, army",multiplicative,"percent, bad",
army_auxiliary_power,Auxiliary Power,"unit, army",,"percent, good",
army_auxiliary_reinforce_cost_modifier,Auxiliary Reinforcement Cost,"country, army",multiplicative,"percent, bad",
army_disembark_speed,Army Disembark Speed,"unit, army",,"percent, good",
army_food_gathering,Army Food Gathering,"unit, army",,good,
army_food_gathering_modifier,Army Food Gathering Modifier,"unit, army",multiplicative,"percent, good",
army_heavy_cavalry_build_cost_modifier,Heavy Cavalry Build Cost,"country, army",multiplicative,"percent, bad",
army_heavy_cavalry_maintenance_cost_modifier,Heavy Cavalry Maintenance Cost,"country, army",multiplicative,"percent, bad",
army_heavy_cavalry_power,Heavy Cavalry Power,"unit, army",,"percent, good",
army_heavy_cavalry_reinforce_cost_modifier,Heavy Cavalry Reinforcement Cost,"country, army",multiplicative,"percent, bad",
army_heavy_infantry_build_cost_modifier,Heavy Infantry Build Cost,"country, army",multiplicative,"percent, bad",
army_heavy_infantry_maintenance_cost_modifier,Heavy Infantry Maintenance Cost,"country, army",multiplicative,"percent, bad",
army_heavy_infantry_power,Heavy Infantry Power,"unit, army",,"percent, good",
army_heavy_infantry_reinforce_cost_modifier,Heavy Infantry Reinforcement Cost,"country, army",multiplicative,"percent, bad",
army_initiative,Army Initiative,"unit, army",,"percent, good",
army_light_cavalry_build_cost_modifier,Light Cavalry Build Cost,"country, army",multiplicative,"percent, bad",
army_light_cavalry_maintenance_cost_modifier,Light Cavalry Maintenance Cost,"country, army",multiplicative,"percent, bad",
army_light_cavalry_power,Light Cavalry Power,"unit, army",,"percent, good",
army_light_cavalry_reinforce_cost_modifier,Light Cavalry Reinforcement Cost,"country, army",multiplicative,"percent, bad",
army_light_infantry_build_cost_modifier,Light Infantry Build Cost,"country, army",multiplicative,"percent, bad",
army_light_infantry_maintenance_cost_modifier,Light Infantry Maintenance Cost,"country, army",multiplicative,"percent, bad",
army_light_infantry_power,Light Infantry Power,"unit, army",,"percent, good",
army_light_infantry_reinforce_cost_modifier,Light Infantry Reinforcement Cost,"country, army",multiplicative,"percent, bad",
army_logistics_distance,Logistics Distance,"unit, army",,good,
army_logistics_distance_modifier,Logistics Distance,"unit, army",multiplicative,"percent, good",
army_losses_in_war_cost_modifier,Cost of Army Losses in Battle,"country, army",multiplicative,"percent, bad",
army_maintenance_efficiency,Army Maintenance Efficiency,"unit, army",,"percent, good",
army_movement_speed,Army Movement Speed,"unit, army",,"percent, good",
army_reinforce_cost,Army Reinforcement Cost,"unit, army",,"percent, bad",
army_tradition_decay,Army Tradition Decay,"country, army",,"percent, bad",
army_tradition_from_battle,Army Tradition from Battles,"country, army",,"percent, good",
army_weight_modifier,Army Weight,"unit, army",multiplicative,"percent, bad",
artillery_bonus_vs_fort,Artillery Bonus vs Fort,country,,good,
artist_salary_modifier,Artist Salary,country,multiplicative,"percent, bad",
assault_ability,Assault Ability,unit,,"percent, good",
assign_despot_price_cost_modifier,Assign as Despótēs Price Cost Modifier,country,multiplicative,"percent, bad",
atoll_proximity_impact,Atoll Proximity Impact,country,,"percent, bad",
attract_condottieri_price_cost_modifier,Attract Condottieri Cost,country,multiplicative,"percent, bad",
auto_conquer_at_war,Auto Conquer when at War,country,boolean,good,
auto_conquer_different_religion_at_war,Auto Conquer Religious Enemies,country,boolean,good,
auto_slave_raid,Raid Enemies for Slaves,country,boolean,good,
auto_slave_raid_different_religion,Raid Religious Enemies for Slaves,country,boolean,good,
bank_interest,Bank Interest,country,,"percent, bad",
baptize_ruler_from_kirishitan_cost_modifier,Cost of Baptize Ruler Action,country,multiplicative,"percent, bad",
become_shogun_from_imperial_court_cost_modifier,Cost of Becoming Shogun from the Imperial Court,country,multiplicative,"percent, good",
blame_the_minorities_cost_modifier,Find the Culprits Cost,country,multiplicative,"percent, bad",
blind_character_price_cost_modifier,Blind Price Cost Modifier,country,multiplicative,"percent, bad",
block_female_cabinet,Block Females from Cabinet,country,boolean,bad,
block_female_leader,Block Females from Command,country,boolean,bad,
block_male_cabinet,Block Males from Cabinet,country,boolean,bad,
block_male_leader,Block Males from Command,country,boolean,bad,
block_tribal_promotion,Block Tribesmen Promotion,country,boolean,good,
blockade_efficiency,Blockade Efficiency,unit,,"percent, good",
blocked_from_changing_heir_selection,Blocked from Changing Heir Selection,country,boolean,bad,
blocked_from_conversion,Blocked from Conversion,country,boolean,bad,
blocked_from_creating_subjects,Blocked from Creating Subjects,country,boolean,bad,
blocked_from_declaring_war,Blocked from Declaring War,country,boolean,bad,
blocked_from_forming_countries,Blocked from Forming Countries,country,boolean,bad,
blocked_from_peace,Blocked From Peace,country,boolean,good,
blocks_country_formation,Blocks Country Formation,country,boolean,neutral,
bribe_units_cost_modifier,Bribe Units Cost,country,multiplicative,"percent, bad",
bribe_voter_for_policy_cost_modifier,Cost of Bribing Voters in International Organizations,country,multiplicative,"percent, bad",
build_gravel_road_cost_modifier,Build Gravel Road Cost,country,multiplicative,"percent, bad",
build_hippodrome_price_cost_modifier,Hippodrome Construction Cost Modifier,country,multiplicative,"percent, bad",
build_modern_road_cost_modifier,Build Modern Road Cost,country,multiplicative,"percent, bad",
build_paved_road_cost_modifier,Build Paved Road Cost,country,multiplicative,"percent, bad",
build_railroad_cost_modifier,Build Railroad Cost,country,multiplicative,"percent, bad",
building_missionary_effort_modifier,Monthly Religious Conversion from Buildings,country,multiplicative,"percent, good",
building_upkeep_costs,Building Upkeep Costs,country,,"percent, bad",
burghers_estate_agenda_impact,Agenda Impact for Burghers,"country, estate",,"percent, good",
burghers_estate_levy_size,Burghers Levy Size,"country, estate",,"percent, good",
burghers_estate_max_tax,Maximum Tax for Burgher Estate,"country, estate",,"percent, good",
burghers_estate_min_tax,Minimum Tax for Burgher Estate,"country, estate",,"percent, good",
burghers_estate_satisfaction_decay,Burgher Estate Satisfaction Decay,"country, estate",,"percent, neutral",
burghers_estate_satisfaction_recovery,Burgher Estate Satisfaction Recovery,"country, estate",,"percent, neutral",
burghers_estate_target_satisfaction,Burgher Estate Satisfaction Equilibrium,"country, estate",,"percent, good",
buy_fleet_basing_rights_cost_modifier,Buy Fleet Basing Rights Cost,country,multiplicative,"percent, bad",
buy_military_access_cost_modifier,Buy Military Access Cost,country,multiplicative,"percent, bad",
call_jihad_cost_modifier,Cost of Call Jihād Religious Action,country,multiplicative,"percent, bad",
can_assign_governors,Can Assign Governorship,country,boolean,good,
can_assume_fort_command,Allow Assume Fort Command,country,boolean,good,
can_banish_characters,Can Banish Characters,country,boolean,good,
can_be_member_of_a_high_kingship,Can Be Member of a High Kingship,country,boolean,good,
can_be_target_of_anti_piracy_cb,Can be Target of Anti-Piracy War Casus Belli,country,boolean,bad,
can_build_cities,Can Build Cities,country,boolean,good,
can_build_kurmina_headquarter,Can Build Kurmina Headquarter,country,boolean,good,
can_build_mamluk_barracks,Can Build Mamlūk Barracks,country,boolean,good,
can_call_rural_parliaments,Rural Parliaments,country,boolean,good,
can_colonize,Can Colonize,country,boolean,good,
can_convert_galleys_to_light,Can Convert Galley to Light Ships,country,boolean,good,
can_create_anti_piracy_cb,Can Create Anti-Piracy War Casus Belli,country,boolean,good,
can_create_red_turban_rebellions_cb,Has Red Turban Rebellions Casus Belli,country,boolean,good,
can_execute_characters,Can Execute Characters,country,boolean,good,
can_grant_town_rights,Can Grant Urban Rights,country,boolean,good,
can_have_monasteries,Monasteries Allowed,country,boolean,good,
can_hire_privateers,Can Hire Privateers,country,boolean,good,
can_host_olympiads,Can Host Olympiads,country,boolean,good,
can_ignore_papal_bulls,Can Ignore Papal Bulls,country,boolean,good,
can_invite_settlers,Can Invite Settlers,country,boolean,good,
can_marry_only_overlord_dynasty_characters,Can Only Marry Overlord Dynasty Members,country,boolean,bad,
can_promote_mamluks,Can Promote Mamālīk,country,boolean,good,
can_reassign_cleric,Can Reassign Cleric,country,boolean,good,
can_recruit_explorer,Can Recruit Explorers,country,boolean,good,
can_revoke_electorship,Can Revoke Electorship,country,boolean,good,
can_send_royal_inspectors,Can Send Secret Royal Inspectors,country,boolean,good,
can_use_aclla_distribution,Can use Aclla Marriage,country,boolean,good,
can_use_council_of_three_lands_modifier,Allows Council of Three Lands,country,boolean,good,
can_use_nustas_marriages,Can use Ñusta Marriage,country,boolean,good,
cannot_be_subjugated,Cannot be Subjugated,country,boolean,good,
cannot_move_capital,Cannot Move Capital,country,boolean,neutral,
canonize_cost_modifier,Canonize Cost,country,multiplicative,"percent, bad",
capital_movement_cost_modifier,Move Capital Cost,country,multiplicative,"percent, bad",
capital_possible_town_rights,Possible Urban Rights,country,,good,
cardinal_price_cost_modifier,Cardinal Price,country,multiplicative,"percent, bad",
care_about_producing_heirs,Royal Marriages,country,boolean,good,
carefulness_modifier,Carefulness,country,multiplicative,"percent, good",
castrate_character_price_cost_modifier,Castrate Price Cost Modifier,country,multiplicative,"percent, bad",
casus_belli_creation_speed,Casus Belli Creation Speed,country,,"raw percent, good",
casus_belli_creation_speed_modifier,Casus Belli Creation Speed,country,multiplicative,"percent, good",
catholic_country_interaction_cost_modifier,Catholic Diplomatic Interaction Cost Modifier,country,multiplicative,"percent, bad",
chancery_cap_level,Chancery Max Level,country,,good,
change_court_language_cost_modifier,Change Court Language Cost,country,multiplicative,"percent, bad",
change_curia_vote_cost_modifier,Change Curia Vote Cost,country,multiplicative,"percent, bad",
change_employment_system_cost_modifier,Choose Employment System Cost,country,multiplicative,"percent, bad",
change_government_type_price_cost_modifier,Change Government Type Price Modifier,country,multiplicative,"percent, bad",
change_heir_selection_cost_modifier,Change Heir Selection Cost,country,multiplicative,"percent, bad",
change_liturgical_language_cost_modifier,Change Liturgical Language Cost,country,multiplicative,"percent, bad",
change_main_school_cost_modifier,Cost of Change Main School Religious Action,country,multiplicative,"percent, bad",
change_organization_parliament_type_cost_modifier,Cost of Changing Organization Parliament Type,country,multiplicative,"percent, bad",
change_parliament_type_cost_modifier,Cost of Changing Parliament Type,country,multiplicative,"percent, bad",
change_policy_cost_modifier,Change Policy Cost,country,multiplicative,"percent, bad",
change_primary_culture_cost_modifier,Change Primary Culture Cost,country,multiplicative,"percent, bad",
change_religious_aspect_hellenism_cost_modifier,Cost of Changing Religious Aspect,country,multiplicative,"percent, bad",
change_religious_aspect_inti_cost_modifier,Cost of Choosing Worshipping a God,country,multiplicative,"percent, bad",
character_on_task_modifier,On a Task,country,boolean,neutral,
christian_tenet_price_cost_modifier,Christian Tenet Cost,country,multiplicative,"percent, bad",
city_upgrade_cost_modifier,City Rights Cost,country,multiplicative,"percent, bad",
claim_shugo_office_cost_modifier,Claim Shugo Office Cost,country,multiplicative,"percent, bad",
cleansing_ritual_purity_cost_modifier,Cost of Cleansing Ritual Religious Action,country,multiplicative,"percent, bad",
cleansing_ritual_yanantin_cost_modifier,Cost of Celebrate a Ritual Religious Action,country,multiplicative,"percent, bad",
clergy_estate_agenda_impact,Agenda Impact for Clergy,"country, estate",,"percent, good",
clergy_estate_levy_size,Clergy Levy Size,"country, estate",,"percent, good",
clergy_estate_max_tax,Maximum Tax for Clergy Estate,"country, estate",,"percent, good",
clergy_estate_min_tax,Minimum Tax for Clergy Estate,"country, estate",,"percent, good",
clergy_estate_satisfaction_decay,Clergy Estate Satisfaction Decay,"country, estate",,"percent, neutral",
clergy_estate_satisfaction_recovery,Clergy Estate Satisfaction Recovery,"country, estate",,"percent, neutral",
clergy_estate_target_satisfaction,Clergy Estate Satisfaction Equilibrium,"country, estate",,"percent, good",
close_the_borders_cost_modifier,Isolate the Country Cost,country,multiplicative,"percent, bad",
coalition_strength_tolerance,Coalition Strength Tolerance,country,,good,
coastal_ocean_proximity_impact,Coastal ocean Proximity Impact,country,,"percent, bad",
colonial_maintenance_cost,Colonial Maintenance,country,,"percent, bad",
colonial_migration_size,Monthly Colonial Migration,country,,good,
colonial_migration_size_modifier,Monthly Colonial Migration,country,multiplicative,"percent, good",
colonial_range,Colonial Range,country,,good,
colonial_range_modifier,Colonial Range,country,multiplicative,"percent, good",
combat_speed_modifier,Combat Speed,unit,multiplicative,"percent, good",
combined_arms_max_threshold,Combined Arms Threshold,unit,,"percent, good",
combined_arms_min_percent_for_bonus,Combined Arms Requirement,unit,,"percent, bad",
combined_bonus_per_type,Combined Arms Bonus,unit,,"percent, good",
commission_art_price_cost_modifier,Commission Art Cost Modifier,country,multiplicative,"percent, bad",
commission_religious_images_cost_modifier,Commission Religious Images Cost,country,multiplicative,bad,
complacent_decline_actions_price_cost_modifier,Complacent Decline Actions Cost,country,multiplicative,"percent, good",
compose_strategikon_price_cost_modifier,Compose Stratēgikòn Price Cost Modifier,country,multiplicative,"percent, bad",
conduct_keju_examination_cost_modifier,Conduct Kējǔ Examination Cost,country,multiplicative,"percent, bad",
construction_center_max_level,Construction Center Max Level,country,additive,good,
contact_patriarch_of_constantinople_cost_modifier,Contact Patriarch of Constantinople Cost Modifier,country,multiplicative,"percent, bad",
control_importance_modifier,Control Importance Modifier,country,multiplicative,good,
control_the_bhres_price_cost_modifier,Control the Bhres Cost,country,multiplicative,"percent, bad",
control_the_food_market_cost_modifier,Control the Food Market Cost,country,multiplicative,"percent, bad",
convert_religion_cost_modifier,Convert Religion Cost,country,multiplicative,"percent, bad",
correct_box_chance,Correct Section Chance,unit,,"percent, good",
corrupt_officials_monthly_cost_cost_modifier,Corrupt Officials Monthly Cost Modifier,country,multiplicative,"percent, bad",
cossacks_estate_agenda_impact,Agenda Impact for Cossacks,"country, estate",,"percent, good",
cossacks_estate_levy_size,Cossacks Levy Size,"country, estate",,"percent, good",
cossacks_estate_max_tax,Maximum Tax for Cossacks,"country, estate",,"percent, good",
cossacks_estate_min_tax,Minimum Tax for Cossacks,"country, estate",,"percent, good",
cossacks_estate_satisfaction_decay,Cossacks Satisfaction Decay,"country, estate",,"percent, neutral",
cossacks_estate_satisfaction_recovery,Cossacks Satisfaction Recovery,"country, estate",,"percent, neutral",
cossacks_estate_target_satisfaction,Cossacks Satisfaction Equilibrium,"country, estate",,"percent, good",
counter_espionage,Counterespionage,country,,"percent, good",
country_allow_canonization,Allow Canonization,country,boolean,good,
country_bans_saffron_shirts,Banned Saffron Shirts,country,boolean,good,
country_cabinet_efficiency,Efficiency of Our Cabinet,country,,"percent, good",
country_can_use_lordship_of_ireland_cb,Can Use Lordship of Ireland Casus Belli,country,boolean,good,
country_celtic_marriage_banned,Celtic Marriage Banned,country,boolean,bad,
country_child_education,Education of Heirs,country,,"percent, good",
country_marriage_banned,Marriage Banned,country,boolean,bad,
coup_attempt_disaster_actions_price_cost_modifier,Coup Attempt Disaster Actions Cost,country,multiplicative,"percent, bad",
court_eunuchs_bureaucracy_impact_modifier,Court Eunuchs Impact,country,multiplicative,"percent, good",
court_language_is_common_language_importance_modifier,Prefers Court Language to be Common Language,country,multiplicative,good,
court_language_is_liturgical_language_importance_modifier,Prefers Court Language to be Liturgical Language,country,multiplicative,good,
court_language_is_market_language_importance_modifier,Prefers Court Language to be Market Language,country,multiplicative,good,
court_spending_cost_modifier,Expected Cost of Court,country,multiplicative,"percent, bad",
crackdown_their_strongholds_cost_modifier,Cost of Crackdown Ikkō-ikki Strongholds Action,country,multiplicative,"percent, bad",
create_autocephalous_patriarchate_cost_modifier,Create Autocephalous Patriarchate Cost,country,multiplicative,"percent, bad",
create_colonial_charter_cost_modifier,Create Colonial Charter Cost,country,multiplicative,"percent, bad",
create_italian_league_price_cost_modifier,Create an Italian League Cost,country,multiplicative,"percent, bad",
create_market_cost_modifier,Create Market Cost,country,multiplicative,"percent, bad",
create_supply_depot_cost_modifier,Create Supply Depot Cost,country,multiplicative,"percent, bad",
crown_estate_agenda_impact,UNUSED DONT USE,"country, estate",,"percent, good",
crown_estate_levy_size,Crown Levy Size,"country, estate",,"percent, good",
crown_estate_max_tax,Maximum Tax for Crown Power,"country, estate",,"percent, good",
crown_estate_min_tax,Minimum Tax for Crown Power,"country, estate",,"percent, good",
crown_estate_satisfaction_decay,Crown Power Satisfaction Decay,"country, estate",,"percent, neutral",
crown_estate_satisfaction_recovery,Crown Power Satisfaction Recovery,"country, estate",,"percent, neutral",
crown_estate_target_satisfaction,Crown Power Satisfaction Equilibrium,"country, estate",,"percent, good",
crown_power_from_population,Crown Power from Population,country,,"percent, good",
cultural_influence,Cultural Influence,country,,good,
cultural_influence_modifier,Cultural Influence %,country,multiplicative,"percent, good",
cultural_tradition,Cultural Tradition,country,,good,
cultural_tradition_modifier,Cultural Tradition %,country,multiplicative,"percent, good",
cultures_capacity,Cultures Capacity,country,,good,
cultures_capacity_modifier,Cultures Capacity,country,multiplicative,"percent, good",
curia_actions_blocked,Curia Actions Blocked,religion,boolean,good,
damage_done_versus_heathens_modifier,Damage Done versus Heathens in Battle,unit,multiplicative,"percent, good",
damage_done_versus_heretics_modifier,Damage Done versus Heretics in Battle,unit,multiplicative,"percent, good",
deactivate_avatar_cost_modifier,Deactivate Avatar Cost,country,multiplicative,"percent, bad",
declaring_war_cost_modifier,Declaring War Cost,country,multiplicative,"percent, bad",
deep_ocean_proximity_impact,Deep ocean Proximity Impact,country,,"percent, bad",
defence_importance_modifier,Defense Importance Modifier,country,multiplicative,good,
demand_church_tax_price_cost_modifier,Cost of Demanding Apostolic Tax,country,multiplicative,"percent, bad",
demand_extra_payment_from_shogun_court_cost_modifier,Cost of Demand Extra Payment Action,country,multiplicative,"percent, bad",
deselect_expensive_child_education_cost_modifier,Stopping Expensive Education,country,multiplicative,"percent, bad",
deselect_orthodox_education_cost_modifier,Stopping Patriarch Education,country,multiplicative,"percent, bad",
destroy_market_cost_modifier,Destroy Market Cost,country,multiplicative,"percent, bad",
dhimmi_estate_agenda_impact,Agenda Impact for Dhimmi,"country, estate",,"percent, good",
dhimmi_estate_levy_size,Ḏimmī Levy Size,"country, estate",,"percent, good",
dhimmi_estate_max_tax,Maximum Tax for Ḏimmī Estate,"country, estate",,"percent, good",
dhimmi_estate_min_tax,Minimum Tax for Ḏimmī Estate,"country, estate",,"percent, good",
dhimmi_estate_satisfaction_decay,Ḏimmī Estate Satisfaction Decay,"country, estate",,"percent, neutral",
dhimmi_estate_satisfaction_recovery,Ḏimmī Estate Satisfaction Recovery,"country, estate",,"percent, neutral",
dhimmi_estate_target_satisfaction,Ḏimmī Estate Satisfaction Equilibrium,"country, estate",,"percent, good",
diplomacy_importance_modifier,Diplomacy Importance Modifier,country,multiplicative,good,
diplomatic_annexation_cost,Diplomatic Annexation Cost,country,,"percent, bad",
diplomatic_capacity,Diplomatic Capacity,country,,good,
diplomatic_capacity_modifier,Diplomatic Capacity,country,multiplicative,"percent, good",
diplomatic_range,Diplomatic Range,country,,good,
diplomatic_range_modifier,Diplomatic Range,country,multiplicative,"percent, good",
diplomatic_reputation,Diplomatic Reputation,country,,good,
diplomatic_spending_cost,Expected Diplomatic Spending,country,,"percent, bad",
diplomatic_upkeep_modifier,Diplomatic Upkeep Modifier,country,multiplicative,"percent, neutral",
disallow_diplomatic_subjugation,Disallow Diplomatic Subjugation,country,boolean,good,
disallow_migration_beyond_borders,Disallow Foreign Migration,country,boolean,good,
disallow_military_subjugation,Disallow Military Subjugation,country,boolean,good,
disallows_female_rulers,Disallows Female Rulers,country,boolean,neutral,
discard_worldly_possessions_cost_modifier,Discard Worldly Possessions Cost,country,multiplicative,"percent, bad",
discipline,Discipline,unit,,"percent, good",
disfavor_sect_cost_modifier,Disfavor Sect Cost,country,multiplicative,bad,
dismiss_privateer_cost_modifier,Cost of Dismissing Privateers,country,multiplicative,"percent, bad",
dismiss_religious_figure_cost_modifier,Dismiss Religious Figure Cost,country,multiplicative,"percent, bad",
dune_wasteland_proximity_impact,Dune Wasteland Proximity Impact,country,,"percent, bad",
election_term_in_months,Months between Elections,country,,neutral,
embrace_institution_cost_modifier,Embrace Institution Cost,country,multiplicative,"percent, bad",
empty_unit_maintenance_cost_modifier,(unused),country,multiplicative,"percent, bad",
enable_black_market_buildings,Allow Black Market Buildings,country,boolean,good,
enable_doom,Doom,country,boolean,bad,
enable_pest_house,Can Build Pest House,country,boolean,good,
enable_pronoia_subject,Allow Prónoia Subjects,country,boolean,good,
enable_taxation,Allows Tax,country,boolean,good,
enables_german_migration,Enables German Migration Events,country,boolean,good,
enemy_army_losses_in_war_cost_modifier,Cost of Enemy Army Losses in Battle,country,multiplicative,"percent, bad",
ennoble_price_cost_modifier,Ennoble Cost Modifier,country,multiplicative,"percent, bad",
enslave_tribals,Enslave Tribesmen,country,boolean,good,
establish_goods_act_cost_modifier,Establish Goods Act Cost Modifier,country,multiplicative,"percent, bad",
establish_treaty_with_kirishitan_cost_modifier,Cost of Establish Kirishitan Treaty Action,country,multiplicative,"percent, bad",
estate_building_destruction_satisfaction_impact,Estate Satisfaction from Destroying Estate Buildings,"country, estate",,"percent, good",
estate_enrichment,Estate Enrichment,"country, estate",,"percent, bad",
estate_power_from_cabinet,Estate Power from Cabinet Position,"country, estate",,"percent, bad",
estate_power_from_command,Estate Power from Commanding Unit,"country, estate",,"percent, bad",
estate_satisfaction_from_building,Estate Satisfaction from New Buildings,"country, estate",,"percent, good",
eunuch_power,Eunuch Power Modifier,country,,"percent, neutral",
examine_our_fortifications_price_cost_modifier,Examine Fortifications Cost Modifier,country,multiplicative,"percent, bad",
excluded_from_imperial_protection,Excluded from Imperial Protection,country,boolean,bad,
