tag/culture,age,advance_name,modifier,eu4_ideas
CIR,age_3_discovery,cir_grand_prince_of_circassia,"land_morale_modifier=0.1",""
CIR,age_3_discovery,cir_multireligious_society,"tolerance_heretic=0.5; tolerance_heathen=0.5",""
CPA,age_1_traditions,abm_caucasus_ideas_tradition_1,"global_hostile_attrition=1","hostile_attrition=1"
CPA,age_1_traditions,abm_caucasus_ideas_tradition_2,"global_manpower_modifier=0.10","global_manpower_modifier=0.15"
CPA,age_2_renaissance,abm_crossroads_of_cultures,"cultures_capacity_modifier=0.35","num_accepted_cultures=1"
CPA,age_2_renaissance,abm_alan_mercenaries,"mercenary_maintenance_efficiency=0.10; hire_mercenary_premium_cost_modifier=-0.15","merc_maintenance_modifier=-0.10; mercenary_manpower=0.15"
CPA,age_3_discovery,abm_caucasus_hit_and_run,"combat_speed_modifier=0.10; army_movement_speed=0.1","leader_land_manuever=1"
CPA,age_3_discovery,abm_persian_poetry,"monthly_prestige=0.10","prestige=1"
CPA,age_4_reformation,abm_highland_khans,"monthly_legitimacy=0.10; monthly_republican_tradition=0.10; monthly_devotion=0.10; monthly_horde_unity=0.10; monthly_tribal_cohesion=0.10","legitimacy=1; devotion=1; republican_tradition=0.3; meritocracy=1; horde_unity=1"
CPA,age_4_reformation,abm_eastern_influence,"monthly_army_tradition=0.10","army_tradition=0.5"
CPA,age_5_absolutism,abm_caucasus_cavalry_armies,"army_light_cavalry_power=0.15","cavalry_power=0.1"
CPA,age_6_revolutions,abm_caucasus_ideas_ambition,"tax_income_efficiency=medium_tax_income_efficiency_bonus","global_tax_modifier=0.10"
SRV,age_1_traditions,abm_srv_ideas_tradition_1,"army_heavy_cavalry_power=0.10; army_heavy_infantry_power=0.10","leader_land_shock=1"
SRV,age_1_traditions,abm_srv_ideas_tradition_2,"global_trade_through_owned_territory_efficiency=0.10","global_prov_trade_power_modifier=0.1"
SRV,age_2_renaissance,abm_srv_khalwati_order,"monthly_legitimacy=0.10; monthly_republican_tradition=0.10; monthly_devotion=0.10; monthly_horde_unity=0.10; monthly_tribal_cohesion=0.10","legitimacy=1; devotion=1; republican_tradition=0.3; meritocracy=1; horde_unity=1; monthly_piety=-0.001"
SRV,age_2_renaissance,abm_srv_fortresses_of_shirvan,"global_defensive=0.20","defensiveness=0.2"
SRV,age_3_discovery,abm_srv_tribesmen_of_the_caucasus,"army_light_cavalry_power=0.15","cavalry_power=0.15"
SRV,age_3_discovery,abm_srv_persianate_patronage,"hire_advisor_cost_modifier=-0.20; train_general_cost_modifier=-0.20","same_culture_advisor_cost=-0.2"
SRV,age_4_reformation,abm_srv_caspian_trade,"global_trade_center_power=0.20","caravan_power=0.2"
SRV,age_4_reformation,abm_srv_shirvani_architecture,"global_urban_build_buildings_cost=-0.10; monthly_prestige=0.10","build_cost=-0.1; prestige=1"
SRV,age_5_absolutism,abm_srv_merchants_of_baku,"global_merchant_power=0.20","merchants=1"
SRV,age_6_revolutions,abm_srv_ideas_ambition,"global_max_rgo_size_modifier=0.10","global_trade_goods_size_modifier=0.1"
CIR,age_1_traditions,abm_cir_ideas_tradition_1,"stability_cost_efficiency=0.10","stability_cost_modifier=-0.1"
CIR,age_1_traditions,abm_cir_ideas_tradition_2,"global_defensive=0.20","defensiveness=0.2"
CIR,age_2_renaissance,abm_horsemen_of_the_steppe,"army_light_cavalry_power=0.05; army_light_cavalry_build_cost_modifier=-0.10","cavalry_power=0.05; cavalry_cost=-0.1"
CIR,age_2_renaissance,abm_merchants_of_genoa,"global_merchant_power=0.15","global_prov_trade_power_modifier=0.15"
CIR,age_3_discovery,abm_circassian_grain,"export_efficiency=0.10","trade_efficiency=0.1"
CIR,age_3_discovery,abm_franciscan_missionaries,"number_of_allowed_religious_figures=1","missionaries=1"
CIR,age_4_reformation,abm_adyghe_beauty,"prestige_decay=-0.001","prestige_decay=-0.01"
CIR,age_4_reformation,abm_steppe_diplomats,"monthly_diplomats=0.10","diplomats=1"
CIR,age_5_absolutism,abm_religious_flexibility,"tolerance_heathen=1; tolerance_heretic=1","tolerance_heathen=1; tolerance_heretic=1"
CIR,age_6_revolutions,abm_cir_ideas_ambition,"land_morale_modifier=0.10","land_morale=0.10"
