type,,tags,age,advance,eu5_modifiers,eu5_modifiers (auto matched),eu4_modifiers
Formable-T3,Gujarat,GUJ,3,abm_gujarati_ideas_tradition_2,fort_limit_modifier = 0.15,fort_limit_modifier = 0.15,fort_maintenance_modifier = -0.15
Formable-T3,Gujarat,GUJ,3,abm_guj_kathiawari_horses,army_light_cavalry_power = 0.10; army_heavy_cavalry_power = 0.10,army_light_cavalry_power = 0.10,cavalry_power = 0.1
Formable-T3,Gujarat,GUJ,4,abm_guj_trading_outposts,global_trade_through_owned_territory_cost_modifier = 0.10,global_trade_through_owned_territory_cost_modifier = 0.10,global_own_trade_power = 0.1
Formable-T3,Gujarat,GUJ,4,abm_guj_jain_bankers,bank_interest = -0.01,bank_interest = -0.01,interest = -1
Formable-T3,Gujarat,GUJ,4,abm_guj_rajput_dynasties,diplomatic_reputation = diplomatic_reputation_weak_bonus,diplomatic_reputation = diplomatic_reputation_weak_bonus,diplomatic_reputation = 1
Formable-T3,Gujarat,GUJ,5,abm_guj_protect_dwarkadhish_temple,tolerance_own = 1,tolerance_own = 1,tolerance_own = 1
Formable-T3,Gujarat,GUJ,5,abm_guj_ashapura_mata,monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10; monthly_devotion = 0.10; monthly_horde_unity = 0.10; monthly_tribal_cohesion = 0.10,monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10; monthly_devotion = 0.10; monthly_horde_unity = 0.10; monthly_tribal_cohesion = 0.10,legitimacy = 1; devotion = 1; republican_tradition = 0.3; meritocracy = 1; horde_unity = 1
Formable-T3,Gujarat,GUJ,6,abm_guj_african_trade,trade_range_modifier = 0.20,trade_range_modifier = 0.20,trade_range_modifier = 0.2
Formable-T3,Gujarat,GUJ,6,abm_gujarati_ideas_ambition,trade_income = 0.10,trade_income = 0.10,trade_efficiency = 0.1
T2,Sind,SND,1,abm_snd_ideas_tradition_1,army_initiative = 0.20,global_levy_size_modifier = 0.25,land_forcelimit_modifier = 0.25
T2,Sind,SND,1,abm_snd_ideas_tradition_2,number_of_allowed_religious_figures = 1,number_of_allowed_religious_figures = 1,missionaries = 1
T2,Sind,SND,2,abm_snd_enduring_dynasty,monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10; monthly_devotion = 0.10; monthly_horde_unity = 0.10; monthly_tribal_cohesion = 0.10,monthly_legitimacy = 0.10; monthly_republican_tradition = 0.10; monthly_devotion = 0.10; monthly_horde_unity = 0.10; monthly_tribal_cohesion = 0.10,legitimacy = 1; devotion = 1; republican_tradition = 0.3; meritocracy = 1; horde_unity = 1
T2,Sind,SND,2,abm_snd_bab_ul_islam,global_pop_conversion_speed_modifier = 0.20,global_pop_conversion_speed_modifier = 0.20,global_missionary_strength = 0.02
T2,Sind,SND,3,abm_snd_gujarati_connections,global_merchant_power = 0.20,global_merchant_power = 0.20,placed_merchant_power = 5
T2,Sind,SND,3,abm_snd_makli_necropolis,tolerance_own = 1,tolerance_own = 1,tolerance_own = 1
T2,Sind,SND,4,abm_snd_end_judicial_corruption,stability_decay = -0.10,stability_decay = -0.10,yearly_corruption = -0.1
T2,Sind,SND,4,abm_snd_oversee_rise_of_thatta,global_urban_build_buildings_efficiency = 0.2,global_build_buildings_cost = -0.10,build_cost = -0.1
T2,Sind,SND,5,abm_snd_recruit_baloch_tribesmen,discipline = 0.025; land_morale_modifier = 0.075,discipline = 0.025,mercenary_discipline = 0.025
T2,Sind,SND,6,abm_snd_ideas_ambition,global_manpower_modifier = 0.10,global_manpower_modifier = 0.10,global_manpower_modifier = 0.15
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,1,abm_guj_ideas_tradition_1,global_merchant_power = 0.10,global_merchant_power = 0.10,global_ship_trade_power = 0.1
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,1,abm_guj_ideas_tradition_2,army_heavy_infantry_power = 0.10,army_heavy_infantry_power = 0.10,infantry_power = 0.1
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,2,abm_garba,clergy_estate_target_satisfaction = medium_permanent_target_satisfaction,clergy_estate_target_satisfaction = medium_permanent_target_satisfaction,religious_unity = 0.5
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,2,abm_jain_routes,trade_range_modifier = 0.20,trade_range_modifier = 0.20,trade_range_modifier = 0.2
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,3,abm_gujarati_lipi,stability_decay = -0.00025,stability_cost_efficiency = 0.10,stability_cost_modifier = -0.1
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,3,abm_merchant_diaspora,navy_light_ship_build_cost_modifier = -0.20,navy_light_ship_build_cost_modifier = -0.20,light_ship_cost = -0.2
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,4,abm_spice_trade,global_merchant_power = 0.20,global_merchant_power = 0.20,global_prov_trade_power_modifier = 0.2
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,4,abm_western_factors,trade_income = 0.10,trade_income = 0.10,trade_efficiency = 0.1
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,5,abm_guj_africa,global_trades_per_burgher = 0.20,global_merchant_power = 0.20,merchants = 1
T2,Gurjat,KUT; ABVGH; IDR; BGL; RJI; CMN,6,abm_guj_ideas_ambition,global_merchant_power = 0.20,global_merchant_power = 0.20,global_trade_power = 0.2
T2,Mewar,MEW,1,abm_mer_ideas_tradition_1,army_heavy_infantry_power = 0.10,army_heavy_infantry_power = 0.10,infantry_power = 0.1
T2,Mewar,MEW,1,abm_mer_ideas_tradition_2,army_heavy_infantry_build_cost_modifier = -0.20,army_heavy_infantry_build_cost_modifier = -0.20,infantry_cost = -0.2
T2,Mewar,MEW,2,abm_mer_rajput_heartland,army_tradition_decay = -0.001,army_tradition_decay = -0.001,army_tradition_decay = -0.01
T2,Mewar,MEW,2,abm_mer_victory_tower,monthly_prestige = 0.10,monthly_prestige = 0.10,prestige = 1
T2,Mewar,MEW,3,abm_mer_kumbhalgarh,global_defensive = 0.15,global_defensive = 0.15,defensiveness = 0.15
T2,Mewar,MEW,3,abm_mer_city_of_lakes,global_monthly_prosperity = 0.001,global_monthly_prosperity = 0.001,development_cost = -0.1
T2,Mewar,MEW,4,abm_mer_recall_purbias,global_manpower_modifier = 0.10,global_manpower_modifier = 0.10,global_manpower_modifier = 0.15
T2,Mewar,MEW,4,abm_mer_firearm_drilling,army_light_infantry_power = 0.10; army_light_cavalry_power = 0.10,army_light_infantry_power = 0.10; army_light_cavalry_power = 0.10,fire_damage = 0.1
T2,Mewar,MEW,5,abm_mer_reorganized_rajput_regiments,discipline = 0.05,discipline = 0.05,discipline = 0.05
T2,Mewar,MEW,6,abm_mer_ideas_ambition,monthly_war_exhaustion = -0.05,monthly_war_exhaustion = -0.05,war_exhaustion = -0.03
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,1,abm_mar_ideas_tradition_1,regiment_reinforcement_speed = 0.15,regiment_reinforcement_speed = 0.15,manpower_recovery_speed = 0.15
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,1,abm_mar_ideas_tradition_2,global_manpower_modifier = 0.10,global_manpower_modifier = 0.10,global_manpower_modifier = 0.10
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,2,abm_tradition_of_military_service,army_light_cavalry_power = 0.15,army_light_cavalry_power = 0.15,cavalry_power = 0.15
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,2,abm_forts_of_maharashtra,global_defensive = 0.20,global_defensive = 0.20,defensiveness = 0.20
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,3,abm_peasant_soldiers,army_light_infantry_build_cost_modifier = -0.15; army_light_infantry_reinforce_cost_modifier = -0.15,army_light_infantry_build_cost_modifier = -0.20,infantry_cost = -0.2
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,3,abm_office_of_the_peshwa,global_integration_speed_modifier = 0.20,global_integration_speed_modifier = 0.15,core_creation = -0.15
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,4,abm_encourage_ties_with_brahmin_financial_families,clergy_estate_target_satisfaction = medium_permanent_target_satisfaction; clergy_estate_satisfaction_recovery = 0.001,global_bureaucracy_entrenchment_speed_modifier = 0.15,reform_progress_growth = 0.15
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,4,abm_reform_the_bureaucracy,global_max_rgo_size_modifier = 0.10,global_max_rgo_size_modifier = 0.10,global_trade_goods_size_modifier = 0.1
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,5,abm_expand_maratha_navy,navy_light_ship_build_cost_modifier = -0.10; navy_galley_build_cost_modifier = -0.10,navy_light_ship_build_cost_modifier = -0.10; navy_galley_build_cost_modifier = -0.10,global_ship_cost = -0.1
T2,Marwar,MRW; JLR; JSL; PRT; GDA; DRW; PGL; JHI; SHR; BWL; PNA; JHL; HAD,6,abm_mar_ideas_ambition,stability_cost_efficiency = 0.20,stability_cost_efficiency = 0.10,stability_cost_modifier = -0.1
T2,,DHU,1,abm_dhu_ideas_tradition_1,land_morale_modifier = 0.15,land_morale_modifier = 0.10,land_morale = 0.1
T2,,DHU,1,abm_dhu_ideas_tradition_2,trade_land_efficiency = medium_trade_land_efficiency_bonus,trade_land_efficiency = medium_trade_land_efficiency_bonus,caravan_power = 0.2
T2,,DHU,2,abm_dhu_improve_amer_fort,global_defensive = 0.20,global_defensive = 0.20,defensiveness = 0.2
T2,,DHU,2,abm_dhu_seek_protection_of_great_powers,diplomatic_reputation = diplomatic_reputation_weak_bonus,diplomatic_reputation = diplomatic_reputation_weak_bonus,diplomatic_reputation = 1
T2,,DHU,3,abm_dhu_restore_hindu_ceremonies,tolerance_own = 1,tolerance_own = 1,tolerance_own = 1
T2,,DHU,3,abm_dhu_foundation_of_jaipur,global_monthly_prosperity = 0.001,global_monthly_prosperity = 0.001,development_cost = -0.1
T2,,DHU,4,abm_dhu_battles_in_foreign_lands,army_tradition_from_battle = 0.5,army_tradition_from_battle = 0.5,army_tradition_from_battle = 0.5
T2,,DHU,4,abm_dhu_astronomical_education,research_speed_modifier = 0.05,research_speed_modifier = 0.05,technology_cost = -0.05
T2,,DHU,5,abm_dhu_recruit_from_the_pindari,land_unit_attrition = -0.15,land_unit_attrition = -0.15,land_attrition = -0.15
T2,,DHU,6,abm_dhu_ideas_ambition,army_light_infantry_power = 0.10; army_light_cavalry_power = 0.10,army_light_infantry_power = 0.10; army_light_cavalry_power = 0.10,fire_damage = 0.1
