tag,name,ideaset,idea_key,superregion,region,formable
CRT,Crete,Greek Ideas,greek_ideas,Eastern Europe,Balkans,no
CYP,Cyprus,Cypriot Ideas,CYP_ideas,Levant,Anatolia,no
DAL,Dalmatia,Dalmatian Ideas,DAL_ideas,Eastern Europe,Balkans,yes
EPI,Epirus,Epirote Ideas,EPI_ideas,Eastern Europe,Balkans,no
GRE,Greece,Greek Ideas,greek_ideas,Eastern Europe,Balkans,yes
KNI,The Knights,Knights Hospitaller Ideas,KNI_ideas,Levant,Anatolia,no
MOE,Morea,Greek Ideas,greek_ideas,Eastern Europe,Balkans,yes
MOL,Moldavia,Moldavian Ideas,MOL_ideas,Eastern Europe,Carpathia,no
MON,Montenegro,Montenegrin Ideas,MON_ideas,Eastern Europe,Balkans,no
NAX,Naxos,Naxian Ideas,NAX_ideas,Levant,Anatolia,no
RAG,Ragusa,Ragusan Ideas,RAG_ideas,Eastern Europe,Balkans,no
RMN,Romania,Romanian Ideas,RMN_ideas,Eastern Europe,Carpathia,yes
SER,Serbia,Serbian Ideas,SER_ideas,Eastern Europe,Balkans,no
TRA,Transylvania,Transylvanian Ideas,TRA_ideas,Eastern Europe,Carpathia,yes
WAL,Wallachia,Wallachian Ideas,WAL_ideas,Eastern Europe,Carpathia,no
HUN,Hungary,Hungarian Ideas,HUN_ideas,Eastern Europe,Carpathia,yes
SLO,Nitra,Slovak Ideas,SLO_ideas,Eastern Europe,Carpathia,no
TUR,Ottomans,Ottoman Ideas,TUR_ideas,Eastern Europe,Balkans,no
CNN,Clanricarde,Clanricarde Ideas,CNN_ideas,Western Europe,Britain,no
CRN,Cornwall,Cornish Ideas,CRN_ideas,Western Europe,Britain,no
ENG,England,English Ideas,ENG_ideas,Western Europe,Britain,yes
LEI,Leinster,Leinster Ideas,LEI_ideas,Western Europe,Britain,no
IRE,Ireland,Irish Ideas,irish_ideas,Western Europe,Britain,yes
MNS,Thomond,Thomondian Ideas,MNS_ideas,Western Europe,Britain,no
SCO,Scotland,Scottish Ideas,SCO_Ideas,Western Europe,Britain,yes
TYR,Tyrone,Tyrone Ideas,TYR_ideas,Western Europe,Britain,no
WLS,Wales,Welsh Ideas,WLS_ideas,Western Europe,Britain,no
NOL,Northumberland,Northumbrian Ideas,NOL_ideas,Western Europe,Britain,no
GBR,Great Britain,British ideas,GBR_ideas,Western Europe,Britain,yes
AVE,Angevin Kingdom,Angevin Ideas,AVE_ideas,Western Europe,France,yes
MTH,Meath,Meath Ideas,MTH_ideas,Western Europe,Britain,no
ULS,Ulster,Ulster Ideas,ULS_ideas,Western Europe,Britain,no
DMS,Desmond,Desmondian Ideas,DMS_ideas,Western Europe,Britain,no
SLN,Sligo,Sligonian Ideas,SLN_ideas,Western Europe,Britain,no
KID,Kildare,Kildarean Ideas,KID_ideas,Western Europe,Britain,no
HSC,Gaeldom,Highlander Ideas,highland_scottish_ideas,Western Europe,Britain,no
ORD,Ormond,Ormond Ideas,ORD_ideas,Western Europe,Britain,no
TRY,Tyrconnell,Tyrconnell Ideas,TRY_ideas,Western Europe,Britain,no
FLY,Offaly,Offaly Ideas,FLY_ideas,Western Europe,Britain,no
MCM,Munster,Munster Ideas,MCM_ideas,Western Europe,Britain,no
KOI,Mann,Manx Ideas,KOI_ideas,Western Europe,Britain,no
LOI,The Isles,Highlander Ideas,highland_scottish_ideas,Western Europe,Britain,no
EIC,East India Company,East India Ideas,EIC_ideas,India,Bengal,no
BRZ,Brazil,Brazilian Ideas,BRZ_ideas,Amazonia,Brazil,yes
CAN,Canada,Canadian Ideas,CAN_ideas,North America,Canada,yes
CHL,Chile,Colonial Ideas,colonial_ideas,Andes,La Plata,yes
COL,Colombia,Colonial Ideas,colonial_ideas,Amazonia,Colombia,yes
HAT,Haiti,Colonial Ideas,colonial_ideas,Central America,Caribbeans,yes
LAP,La Plata,Colonial Ideas,colonial_ideas,Andes,La Plata,yes
LOU,Louisiana,Colonial Ideas,colonial_ideas,North America,Mississippi,yes
MEX,Mexico,Mexican Ideas,MEX_ideas,Central America,Mexico,yes
PEU,Peru,Colonial Ideas,colonial_ideas,Andes,Peru,yes
PRG,Paraguay,Colonial Ideas,colonial_ideas,Andes,Upper Peru,yes
QUE,Quebec,Québécois Ideas,QUE_ideas,North America,Canada,yes
CAM,United Central America,Colonial Ideas,colonial_ideas,Central America,Central America,yes
USA,United States,American Ideas,USA_ideas,North America,Northeast,yes
VNZ,Venezuela,Colonial Ideas,colonial_ideas,Amazonia,Colombia,yes
AUS,Australia,Australian Ideas,AUS_ideas,Oceania,Australia,yes
CAL,California,Colonial Ideas,colonial_ideas,Central America,California,yes
TEX,Texas,Texan Ideas,TEX_ideas,Central America,Rio Grande,yes
CSC,Cascadia,Cascadian Ideas,CSC_ideas,North America,Cascadia,yes
ALA,Alaska,Alaskan Ideas,ALA_ideas,North America,Cascadia,yes
NZL,Zealandia,Kiwi Ideas,NZL_ideas,Oceania,Australia,yes
ILI,Illinois,Colonial Ideas,colonial_ideas,North America,Great Lakes,yes
FLO,Florida,Colonial Ideas,colonial_ideas,North America,Mississippi,yes
VRM,Vermont,Vermont Ideas,VRM_ideas,North America,Northeast,yes
SNA,Sonora,Sonoran Ideas,SNA_ideas,Central America,California,yes
WSI,West Indies,West Indies Ideas,WSI_ideas,Central America,Caribbeans,yes
CUB,Cuba,Colonial Ideas,colonial_ideas,Central America,Caribbeans,yes
DNZ,Danzig,Danziger Ideas,DNZ_ideas,Eastern Europe,Baltic,yes
KRA,Krakow,Krakowian Ideas,KRA_ideas,Eastern Europe,Poland,no
LIT,Lithuania,Lithuanian Ideas,LIT_ideas,Eastern Europe,Baltic,no
LIV,Livonian Order,Livonian Knight Ideas,LIV_ideas,Eastern Europe,Baltic,no
MAZ,Mazovia,Mazovian Ideas,MAZ_ideas,Eastern Europe,Poland,no
POL,Poland,Polish Ideas,POL_ideas,Eastern Europe,Poland,yes
PRU,Prussia,Prussian Ideas,PRU_ideas,Eastern Europe,Baltic,yes
KUR,Kurland,Couronian Ideas,KUR_ideas,Eastern Europe,Baltic,yes
RIG,Riga,Rigan Ideas,RIG_ideas,Eastern Europe,Baltic,no
TEU,Teutonic Order,Teutonic Ideas,TEU_ideas,Eastern Europe,Baltic,no
PLC,Commonwealth,PLC Ideas,PLC_ideas,Eastern Europe,Poland,yes
VOL,Galicia–Volhynia,Ruthenian Ideas,UKR_ideas,Eastern Europe,Ruthenia,no
KIE,Kiev,Kievan Ideas,KIE_ideas,Eastern Europe,Ruthenia,no
CHR,Chernigov,Chernihiv Ideas,CHR_ideas,Eastern Europe,Ruthenia,no
OKA,Odoyev,Odoyev Ideas,OKA_ideas,Eastern Europe,Russia,no
ALE,Alençon,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
ALS,Strasbourg,Divine Ideas,theocracy_ideas,Western Europe,South Germany,no
AMG,Armagnac,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
AUV,Auvergne,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
AVI,Avignon,Divine Ideas,theocracy_ideas,Western Europe,France,no
BOU,Bourbonnais,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
BRI,Brittany,Breton Ideas,BRI_ideas,Western Europe,France,no
BUR,Burgundy,Burgundian Ideas,BUR_Ideas,Western Europe,France,no
CHP,Champagne,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
COR,Corsica,Corsican Ideas,COR_ideas,Western Europe,Italy,no
DAU,Dauphine,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
FOI,Foix,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
FRA,France,French Ideas,FRA_ideas,Western Europe,France,yes
GUY,Gascony,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
NEV,Nevers,Nivernais Ideas,NEV_ideas,Western Europe,France,no
NRM,Normandy,Norman Ideas,NRM_ideas,Western Europe,France,no
ORL,Orleans,Orleanaise Ideas,ORL_ideas,Western Europe,France,no
PIC,Picardy,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
PRO,Provence,Provençal Ideas,PRO_ideas,Western Europe,France,no
SPI,Sardinia-Piedmont,Sardinian-Piedmontese Ideas,SPI_ideas,Western Europe,Italy,yes
TOU,Toulouse,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
BER,Berry,French Ducal Ideas,french_culture_ideas,Western Europe,France,no
AAC,Aachen,Aachen Ideas,AAC_ideas,Western Europe,North Germany,no
ANH,Anhalt,Anhalt Ideas,ANH_ideas,Western Europe,North Germany,no
ANS,Ansbach,Ansbach Ideas,ANS_ideas,Western Europe,South Germany,no
AUG,Augsburg,Augsburger Ideas,AUG_ideas,Western Europe,South Germany,no
BAD,Baden,Baden Ideas,BAD_ideas,Western Europe,South Germany,no
BAV,Bavaria,Bavarian Ideas,BAV_ideas,Western Europe,South Germany,yes
BOH,Bohemia,Bohemian Ideas,BOH_ideas,Western Europe,North Germany,no
BRA,Brandenburg,Brandenburg Ideas,BRA_ideas,Western Europe,North Germany,no
BRE,Bremen,Bremen Ideas,BRE_ideas,Western Europe,North Germany,no
BRU,Brunswick,Brunswicker Ideas,BRU_ideas,Western Europe,North Germany,no
EFR,East Frisia,East Frisian Ideas,EFR_ideas,Western Europe,Low Countries,no
FRN,Frankfurt,Frankfurter Ideas,FRN_ideas,Western Europe,North Germany,no
GER,Germany,Imperial German Ideas,GER_ideas,Western Europe,North Germany,yes
HAB,Austria,Austrian Ideas,HAB_ideas,Western Europe,South Germany,yes
HAM,Hamburg,Hamburger Ideas,HAM_ideas,Western Europe,North Germany,no
HAN,Hanover,Hanoverian Ideas,HAN_ideas,Western Europe,North Germany,yes
HES,Hesse,Hessian Ideas,HES_ideas,Western Europe,North Germany,no
HLR,Holy Roman Empire,Holy Roman Ideas,HLR_ideas,Western Europe,South Germany,yes
KLE,Cleves,Clevian Ideas,KLE_ideas,Western Europe,North Germany,no
KOL,Cologne,Colognian Ideas,KOL_ideas,Western Europe,North Germany,no
LAU,Saxe-Lauenburg,Saxe-Lauenburg Ideas,LAU_ideas,Western Europe,North Germany,no
LOR,Lorraine,Lorraine Ideas,LOR_ideas,Western Europe,France,no
LUN,Lüneburg,Lüneburger Ideas,LUN_ideas,Western Europe,North Germany,no
MAG,Magdeburg,Divine Ideas,theocracy_ideas,Western Europe,North Germany,no
MAI,Mainz,Mainzian Ideas,MAI_ideas,Western Europe,North Germany,no
MEI,Meissen,German Ideas,german_ideas,Western Europe,North Germany,no
MKL,Mecklenburg,Pomeranian Ideas,POM_ideas,Western Europe,North Germany,no
MUN,Münster,Münster Ideas,MUN_ideas,Western Europe,North Germany,no
MVA,Moravia,Moravian Ideas,MVA_ideas,Western Europe,North Germany,no
OLD,Oldenburg,German Ideas,german_ideas,Western Europe,North Germany,no
PAL,The Palatinate,Palatinate Ideas,PAL_ideas,Western Europe,South Germany,no
POM,Pomerania,Pomeranian Ideas,POM_ideas,Western Europe,North Germany,yes
SAX,Saxony,Saxon Ideas,SAX_ideas,Western Europe,North Germany,yes
SIL,Silesia,Silesian Ideas,SIL_ideas,Eastern Europe,Poland,yes
SLZ,Salzburg,Divine Ideas,theocracy_ideas,Western Europe,South Germany,no
STY,Styria,Austrian Ideas,HAB_ideas,Western Europe,South Germany,no
SWI,Switzerland,Swiss Ideas,SWI_ideas,Western Europe,South Germany,yes
THU,Thuringia,Thüringian Ideas,THU_ideas,Western Europe,North Germany,no
TIR,Tirol,German Ideas,german_ideas,Western Europe,South Germany,no
TRI,Trier,Trierian Ideas,TRI_ideas,Western Europe,North Germany,no
ULM,Ulm,Ulmer Ideas,ULM_ideas,Western Europe,South Germany,no
WBG,Wurzburg,Wurzburgian Ideas,WBG_ideas,Western Europe,South Germany,no
WES,Westphalia,Westphalian Ideas,WES_ideas,Western Europe,North Germany,yes
WUR,Wurttemberg,Württemberger Ideas,WUR_ideas,Western Europe,South Germany,no
NUM,Nuremberg,Nuremberger Ideas,NUM_ideas,Western Europe,South Germany,no
MEM,Memmingen,Swabian City-State Ideas,swabian_ideas,Western Europe,South Germany,no
VER,Verden,Bremen Ideas,BRE_ideas,Western Europe,North Germany,no
NSA,Nassau,German Ideas,german_ideas,Western Europe,North Germany,no
RVA,Dortmund,Dortmund Ideas,RVA_ideas,Western Europe,North Germany,no
DTT,Dithmarschen,Dithmarscher Ideas,DTT_ideas,Western Europe,North Germany,no
AUH,Austria-Hungary,Austro-Hungarian Ideas,AUH_ideas,Western Europe,South Germany,yes
GMA,Great Moravia,Great Moravian Ideas,GMA_ideas,Western Europe,North Germany,yes
ARA,Aragon,Aragonese Ideas,ARA_ideas,Western Europe,Iberia,no
CAS,Castile,Castilian Ideas,CAS_ideas,Western Europe,Iberia,no
CAT,Catalonia,Catalan Ideas,CAT_ideas,Western Europe,Iberia,no
GRA,Granada,Granada Ideas,GRA_ideas,Western Europe,Iberia,no
NAV,Navarra,Navarran Ideas,NAV_ideas,Western Europe,Iberia,no
POR,Portugal,Portuguese Ideas,POR_ideas,Western Europe,Iberia,no
SPA,Spain,Spanish Ideas,SPA_ideas,Western Europe,Iberia,yes
GAL,Galicia,Galician Ideas,GAL_ideas,Western Europe,Iberia,no
LON,León,Leonese Ideas,LON_ideas,Western Europe,Iberia,no
ADU,Andalusia,Andalusian Ideas,ADU_ideas,Western Europe,Iberia,yes
VAL,Valencia,Catalan Ideas,CAT_ideas,Western Europe,Iberia,no
ASU,Asturias,Asturian Ideas,ASU_ideas,Western Europe,Iberia,no
MJO,Majorca,Catalan Ideas,CAT_ideas,Western Europe,Iberia,no
AQU,Aquileia,Divine Ideas,theocracy_ideas,Western Europe,Italy,no
ETR,Etruria,Italian Ideas,latin_ideas,Western Europe,Italy,no
FER,Ferrara,Ferraran Ideas,FER_ideas,Western Europe,Italy,no
GEN,Genoa,Genoese Ideas,GEN_Ideas,Western Europe,Italy,no
ITA,Italy,Italian Ideas,ITA_ideas,Western Europe,Italy,yes
MAN,Mantua,Mantuan Ideas,MAN_ideas,Western Europe,Italy,no
MLO,Milan,Milanese Ideas,MLO_ideas,Western Europe,Italy,no
MOD,Modena,Italian Ideas,latin_ideas,Western Europe,Italy,no
NAP,Naples,Neapolitan Ideas,NAP_ideas,Western Europe,Italy,no
PAP,The Papal State,Papal Ideas,PAP_ideas,Western Europe,Italy,no
PAR,Parma,Italian Ideas,latin_ideas,Western Europe,Italy,no
PIS,Pisa,Pisan Ideas,PIS_ideas,Western Europe,Italy,no
SAR,Sardinia,Sardinian Ideas,SAR_ideas,Western Europe,Italy,no
SAV,Savoy,Savoyard Ideas,SAV_ideas,Western Europe,France,no
SIC,Sicily,Sicilian Ideas,SIC_ideas,Western Europe,Italy,no
SIE,Siena,Sienese Ideas,SIE_ideas,Western Europe,Italy,no
TUS,Tuscany,Tuscan Ideas,TUS_ideas,Western Europe,Italy,yes
URB,Urbino,Urbinate Ideas,URB_ideas,Western Europe,Italy,no
VEN,Venice,Venetian Ideas,VEN_ideas,Western Europe,Italy,no
MFA,Montferrat,Montferrat Ideas,MFA_ideas,Western Europe,Italy,no
LUC,Lucca,Luccan Ideas,LUC_ideas,Western Europe,Italy,no
LAN,Florence,Tuscan Ideas,TUS_ideas,Western Europe,Italy,no
JAI,Malta,Italian Ideas,latin_ideas,Western Europe,Italy,no
BRB,Brabant,Brabant Ideas,BRB_ideas,Western Europe,Low Countries,no
FLA,Flanders,Flemish Ideas,FLA_ideas,Western Europe,Low Countries,no
FRI,Friesland,Frisian Ideas,FRI_ideas,Western Europe,Low Countries,no
GEL,Gelre,Gelre Ideas,GEL_ideas,Western Europe,Low Countries,no
HAI,Hainaut,French Ducal Ideas,french_culture_ideas,Western Europe,Low Countries,no
HOL,Holland,Dutch Ideas,NED_ideas,Western Europe,Low Countries,no
LIE,Liege,Liège Ideas,LIE_ideas,Western Europe,Low Countries,no
LUX,Luxembourg,Luxembourg Ideas,LUX_ideas,Western Europe,Low Countries,no
NED,Netherlands,Dutch Ideas,NED_ideas,Western Europe,Low Countries,yes
UTR,Utrecht,Utrecht Ideas,UTR_ideas,Western Europe,Low Countries,no
VOC,Vereenigde Oostindische Compagnie,Vereenigde Oostindische Compagnie Ideas,voc_ideas,India,Bengal,no
ARM,Armenia,Armenian Ideas,ARM_ideas,Persia,Caucasia,yes
AST,Astrakhan,Horde Ideas,horde_ideas,Eastern Europe,Pontic Steppe,no
CRI,Crimea,Crimean Ideas,CRI_ideas,Eastern Europe,Pontic Steppe,no
GEO,Georgia,Georgian Ideas,GEO_ideas,Persia,Caucasia,yes
KAZ,Kazan,Kazani Ideas,KAZ_ideas,Eastern Europe,Ural,no
MOS,Muscovy,Muscovite Ideas,MOS_ideas,Eastern Europe,Russia,no
NOV,Novgorod,Novgorod Ideas,NOV_ideas,Eastern Europe,Russia,no
PSK,Pskov,Pskovian Ideas,PSK_ideas,Eastern Europe,Russia,no
QAS,Qasim,Horde Ideas,horde_ideas,Eastern Europe,Russia,no
RUS,Russia,Russian Ideas,RUS_ideas,Eastern Europe,Russia,yes
RYA,Ryazan,Ryazan Ideas,RYA_ideas,Eastern Europe,Russia,no
TVE,Tver,Tverian Ideas,TVE_ideas,Eastern Europe,Russia,no
UKR,Ruthenia,Ruthenian Ideas,UKR_ideas,Eastern Europe,Ruthenia,yes
YAR,Yaroslavl,Yaroslavlyian Ideas,YAR_ideas,Eastern Europe,Russia,no
ZAZ,Zaporozhie,Zaporozhian Ideas,ZAZ_ideas,Eastern Europe,Pontic Steppe,no
NOG,Nogai,Horde Ideas,horde_ideas,Tartary,Central Asia,no
SIB,Sibir,Horde Ideas,horde_ideas,Tartary,West Siberia,no
PLT,Polotsk,Polotskian Ideas,PLT_ideas,Eastern Europe,Russia,no
PRM,Perm,Permian Ideas,PRM_ideas,Eastern Europe,Ural,no
FEO,Theodoro,Theodoro Ideas,FEO_ideas,Eastern Europe,Pontic Steppe,no
BSH,Bashkiria,Horde Ideas,horde_ideas,Eastern Europe,Ural,no
BLO,Beloozero,Beloozero Ideas,BLO_ideas,Eastern Europe,Russia,no
RSO,Rostov,Rostov Ideas,RSO_ideas,Eastern Europe,Russia,no
GOL,Great Horde,Horde Ideas,horde_ideas,Eastern Europe,Pontic Steppe,no
GLH,Golden Horde,Golden Horde Ideas,GLH_ideas,Eastern Europe,Ural,yes
ADE,Aden,Yemeni Ideas,YEM_ideas,Levant,Arabia,no
ALH,Haasa,Al-Haasa Ideas,ALH_ideas,Levant,Arabia,no
ANZ,Anizah,Arabian Ideas,arabian_ideas,Levant,Arabia,no
ARB,Arabia,United Arabian Ideas,ARB_ideas,Levant,Arabia,yes
ARD,Ardalan,Kurdish Ideas,kurdish_ideas,Persia,Persia,no
BHT,Soran,Kurdish Ideas,kurdish_ideas,Persia,Persia,no
DAW,Dawasir,Arabian Ideas,arabian_ideas,Levant,Arabia,no
ERE,Eretna,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
FAD,Fadl,Arabian Ideas,arabian_ideas,Levant,Mashriq,no
GRM,Germiyan,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
HDR,Hadramut,Hadramhi Ideas,HDR_ideas,Levant,Arabia,no
HED,Hejaz,Hejazi Ideas,HED_ideas,Levant,Arabia,no
LEB,Lebanon,Arabian Ideas,arabian_ideas,Levant,Mashriq,no
MAK,Makuria,Nubian Ideas,nubian_ideas,Levant,Egypt,no
MDA,Medina,Hejazi Ideas,HED_ideas,Levant,Arabia,no
MFL,Mikhlaf,Arabian Ideas,arabian_ideas,Levant,Arabia,no
MHR,Mahra,Mahri Ideas,MHR_ideas,Levant,Arabia,no
NAJ,Najd,Najdi Ideas,NAJ_ideas,Levant,Arabia,no
NJR,Najran,Arabian Ideas,arabian_ideas,Levant,Arabia,no
OMA,Oman,Omani Ideas,OMA_ideas,Levant,Arabia,no
RAS,Rassids,Rassid Ideas,RAS_ideas,Levant,Arabia,no
SHM,Shammar,Arabian Ideas,arabian_ideas,Levant,Arabia,no
SHR,Sharjah,Arabian Ideas,arabian_ideas,Levant,Arabia,no
SRV,Shirvan,Shirvani Ideas,SRV_ideas,Persia,Caucasia,no
YAS,Yas,Arabian Ideas,arabian_ideas,Levant,Arabia,no
YEM,Yemen,Yemeni Ideas,YEM_ideas,Levant,Arabia,yes
HSN,Hisn Kayfa,Ayyubid Ideas,HSN_ideas,Levant,Anatolia,no
BTL,Bitlis,Kurdish Ideas,kurdish_ideas,Levant,Anatolia,no
AKK,Aq Qoyunlu,Aq Qoyunlu Ideas,AKK_ideas,Levant,Anatolia,no
AYD,Aydin,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
CND,Candar,Candarid Ideas,CND_ideas,Levant,Anatolia,no
DUL,Dulkadir,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
IRQ,Iraq,Arabian Ideas,arabian_ideas,Levant,Mashriq,no
KAR,Karaman,Karamanid Ideas,KAR_ideas,Levant,Anatolia,no
SYR,Syria,Arabian Ideas,arabian_ideas,Levant,Mashriq,no
TRE,Trebizond,Trebizond Ideas,TRE_ideas,Levant,Anatolia,no
SRU,Saruhan,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
MEN,Mentese,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
RAM,Ramazan,Anatolian Ideas,anatolian_beyliks_ideas,Levant,Anatolia,no
AVR,Avaria,Caucasian Ideas,caucasus_ideas,Persia,Caucasia,no
MLK,Karabakh,Great Armenian Ideas,ARM1_ideas,Persia,Caucasia,no
SME,Samtskhe,Samtskhe Ideas,SME_ideas,Persia,Caucasia,no
ARL,Ardabil,Ardabili Ideas,ARL_ideas,Persia,Persia,no
MSY,Mushasha,Mushasha Ideas,MSY_ideas,Persia,Persia,no
RUM,Rûm,Rûmi Ideas,RUM_ideas,Levant,Anatolia,yes
ALG,Algiers,Berber Ideas,berber_ideas,Northern Africa,Maghreb,yes
FEZ,Fez,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
MAM,Mamluks,Mamluk Ideas,MAM_ideas,Levant,Egypt,yes
MOR,Morocco,Moroccan Ideas,MOR_ideas,Northern Africa,Maghreb,yes
TRP,Tripoli,Berber Ideas,berber_ideas,Northern Africa,Maghreb,yes
TUN,Tunis,Tunisian Ideas,TUN_ideas,Northern Africa,Maghreb,yes
EGY,Egypt,Egyptian Ideas,EGY_ideas,Levant,Egypt,yes
KBA,Kabylia,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
TFL,Tafilalt,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
SOS,Sus,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
TLC,Tlemcen,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
TGT,Touggourt,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
GHD,Djerid,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
FZA,Fezzan,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
MZB,Mzab,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
SLE,Salé,Barbary Corsair Ideas,barbary_pirate_ideas,Western Europe,Britain,no
TET,Tétouan,Barbary Corsair Ideas,barbary_pirate_ideas,Northern Africa,Maghreb,no
MRK,Marrakesh,Berber Ideas,berber_ideas,Northern Africa,Maghreb,no
KZH,Kazakh,Horde Ideas,horde_ideas,Tartary,Central Asia,no
KHI,Khiva,Khivan Ideas,KHI_ideas,Tartary,Central Asia,no
SHY,Uzbek,Horde Ideas,horde_ideas,Tartary,West Siberia,no
KOK,Ferghana,National Ideas,default_ideas,Tartary,Central Asia,no
BUK,Bukhara,Bukharan Ideas,BUK_ideas,Tartary,Central Asia,yes
AFG,Afghanistan,Afghan Ideas,AFG_ideas,Persia,Khorasan,no
KHO,Khorasan,Khorasani Ideas,KHO_ideas,Persia,Persia,no
PER,Persia,Persian Ideas,PER_ideas,Persia,Persia,yes
ERS,Eranshahr,Eranian Ideas,ERANSHAHR_ideas,Persia,Persia,yes
QAR,Qara Qoyunlu,Qara Qoyunlu Ideas,QAR_ideas,Persia,Persia,no
TIM,Timurids,Timurid Ideas,TIM_ideas,Persia,Khorasan,yes
TRS,Transoxiana,Transoxianian Ideas,TRS_ideas,Tartary,Central Asia,no
KRY,Gilan,Caspian Ideas,caspian_ideas,Persia,Persia,no
CIR,Circassia,Circassian Ideas,CIR_ideas,Persia,Caucasia,no
GAZ,Gazikumukh,Caucasian Ideas,caucasus_ideas,Persia,Caucasia,no
IME,Imereti,Georgian Ideas,GEO_ideas,Persia,Caucasia,no
TAB,Mazandaran,Caspian Ideas,caspian_ideas,Persia,Persia,no
ORM,Hormuz,Hormuz Ideas,ORM_ideas,Persia,Persia,no
LRI,Luristan,Lur Ideas,LRI_ideas,Persia,Persia,no
SIS,Sistan,Sistani Ideas,SIS_ideas,Persia,Khorasan,no
BPI,Biapas,Caspian Ideas,caspian_ideas,Persia,Persia,no
FRS,Fars,Farsi Ideas,FRS_ideas,Persia,Persia,no
KRM,Kerman,National Ideas,default_ideas,Persia,Persia,no
YZD,Yazd,National Ideas,default_ideas,Persia,Persia,no
ISF,Isfahan,National Ideas,default_ideas,Persia,Persia,no
TBR,Tabriz,Caucasian Ideas,caucasus_ideas,Persia,Persia,no
BSR,Basra,Arabian Ideas,arabian_ideas,Levant,Mashriq,no
MGR,Maregheh,Caucasian Ideas,caucasus_ideas,Persia,Persia,no
QOM,Ajam,Ajami Ideas,QOM_ideas,Persia,Persia,no
AZT,Aztec,Aztec Ideas,AZT_ideas,Central America,Mexico,no
CHE,Cherokee,Cherokee Ideas,CHE_ideas,North America,Southeast,no
CHM,Chimu,Chimu Ideas,CHM_ideas,Andes,Peru,no
CRE,Creek,Creek Ideas,CRE_ideas,North America,Mississippi,yes
