tag,name,ideaset,idea_key,superregion,region,formable
DLI,Deli,,,East Indies,Malaya,no
JMB,Jambi,,,East Indies,Malaya,no
KEL,Kelantan,,,East Indies,Malaya,no
IND,Indrapura,,,East Indies,Malaya,no
JAR,Jarai,,,East Indies,Indochina,no
RHA,Rhade,,,East Indies,Indochina,no
KOH,Koho,,,East Indies,Indochina,no
YOL,Yolngu,,,Oceania,Australia,no
YNU,Yanuwa,,,Oceania,Australia,no
AWN,Awngthim,,,Oceania,Australia,no
MIA,Mianjin,,,Oceania,Australia,no
KUL,Kulin,,,Oceania,Australia,no
WRU,Wurundjeri,,,Oceania,Australia,no
NOO,Nyoongah,,,Oceania,Australia,no
MLG,Malgana,,,Oceania,Australia,no
AOT,Aotearoa,,,Oceania,Oceania,yes
MAA,Ngati Awa,,,Oceania,Oceania,no
TAN,Tainui,,,Oceania,Oceania,no
TAK,Ngati Kahungunu,,,Oceania,Oceania,no
TNK,Ngati Toa,,,Oceania,Oceania,no
TEA,Ngati Ranginui,,,Oceania,Oceania,no
TTT,Ngapuhi,,,Oceania,Oceania,no
WAI,Waitaha,,,Oceania,Oceania,no
ALT,Altamaha,,,North America,Southeast,no
ICH,Ichisi,,,North America,Southeast,no
COF,Cofitachequi,,,North America,Southeast,no
JOA,Joara,,,North America,Southeast,no
ETO,Etowah,,,North America,Southeast,no
SAT,Satapo,,,North America,Southeast,no
CIA,Chiaha,,,North America,Southeast,no
COO,Coosa,,,North America,Southeast,no
ABI,Abihka,,,North America,Mississippi,no
COW,Coweta,,,North America,Mississippi,no
NTZ,Natchez,,,North America,Mississippi,no
CAQ,Casqui,,,North America,Mississippi,no
PCH,Pacaha,,,North America,Mississippi,no
QUI,Quizquiz,,,North America,Mississippi,no
CCA,Chisca,,,North America,Mississippi,no
ATA,Atahachi,,,North America,Mississippi,no
KSI,Kasihta,,,North America,Southeast,no
OEO,Oneota,,,North America,Great Lakes,no
ANL,Anilco,,,North America,Mississippi,no
NTC,Natchitoches,,,North America,Mississippi,no
HNI,Hasinai,,,Central America,Rio Grande,no
MOH,Mohawk,,,North America,Northeast,no
ONE,Oneida,,,North America,Northeast,no
ONO,Onondaga,,,North America,Northeast,no
CAY,Cayuga,,,North America,Northeast,no
SEN,Seneca,,,North America,Northeast,no
TAH,Tahontaenrat,,,North America,Canada,no
ATT,Attignawantan,,,North America,Canada,no
AGG,Attigneenongnahac,,,North America,Canada,no
ATW,Attiwandaron,,,North America,Canada,no
ARN,Arendaronon,,,North America,Canada,no
TIO,Tionontate,,,North America,Canada,no
OSH,Osheaga,,,North America,Canada,no
STA,Stadacona,,,North America,Canada,no
ERI,Erie,,,North America,Northeast,no
WEN,Wenro,,,North America,Northeast,no
OHK,Ohkay Owingeh,,,Central America,California,no
ISL,Isleta,,,Central America,California,no
ACO,Acoma,,,Central America,California,no
CAO,Cahokia,,,North America,Great Lakes,no
PEO,Peoria,,,North America,Great Lakes,no
KSK,Kaskaskia,,,North America,Great Lakes,no
PEN,Penobscot,,,North America,Northeast,no
MLS,Maliseet,,,North America,Canada,no
NEH,Nehiyaw,,,North America,Hudson Bay,no
NAK,Nakawe,,,North America,Hudson Bay,no
HWK,Hathawekela,,,North America,Mississippi,no
CLG,Chalaghawtha,,,North America,Great Lakes,no
KSP,Kispoko,,,North America,Mississippi,no
MSG,Mississage,,,North America,Canada,no
WCY,Wichiyena,,,North America,Great Plains,no
LAK,Lakota,,,North America,Great Plains,no
INN,Innu,,,North America,Canada,no
WAM,Wampanoag,,,North America,Northeast,no
AGQ,Algonquin,,,North America,Canada,no
