tag,change,name,file,culture,religion
ABYNZ,added,Yongzhou,east_asia.txt,yongzhou_culture,sanjiao
ABCOU,added,Chaozhou,east_asia.txt,chaozhou_culture,sanjiao
ABLXI,added,Longxi,east_asia.txt,minnan_culture,sanjiao
ABZHG,added,Zhangping,east_asia.txt,minnan_culture,sanjiao
ABSGG,added,Shanghang,east_asia.txt,kejia_culture,sanjiao
ABSHW,added,Shaowu,east_asia.txt,gan_culture,sanjiao
ABJNX,added,Jiangxi,east_asia.txt,gan_culture,sanjiao
ABYAJ,added,Yangjiang,east_asia.txt,yangjiang_culture,sanjiao
ABLEZ,added,Leizhou,east_asia.txt,leizhou_culture,sanjiao
ABXUA,added,Xuanhua,east_asia.txt,guinan_culture,sanjiao
ABMPG,added,Maping,east_asia.txt,guinan_culture,sanjiao
ABTNJ,added,Tanjin,east_asia.txt,guangxin_culture,sanjiao
ABXNY,added,Xinyi,east_asia.txt,gaozhou_culture,sanjiao
ABNNL,added,Nanliu,east_asia.txt,yulin_culture,sanjiao
ABLNZ,added,Lianzhou,east_asia.txt,malao_culture,sanjiao
ABWCG,added,Wenchang,east_asia.txt,qiong_culture,sanjiao
ABHNN,added,Hainan,east_asia.txt,hlai_culture,satsana_phi
ABTNS,added,Tongshan,east_asia.txt,gan_culture,sanjiao
ABCNG,added,Macheng,east_asia.txt,jianghuai_culture,sanjiao
ABHME,added,Haimen,east_asia.txt,tongtai_culture,sanjiao
ABHII,added,Hailing,east_asia.txt,tongtai_culture,sanjiao
ABMEG,added,Mengcheng,east_asia.txt,zhongyuan_culture,sanjiao
ABDTU,added,Dantu,east_asia.txt,jianghuai_culture,sanjiao
ABSGY,added,Shangyuan,east_asia.txt,jianghuai_culture,sanjiao
ABGDE,added,Guangde,east_asia.txt,wu_culture,sanjiao
ABNGG,added,Ningguo,east_asia.txt,xuanzhou_culture,sanjiao
ABZHX,added,Zhaoxin,east_asia.txt,jianghuai_culture,sanjiao
ABSHY,added,Shanyang,east_asia.txt,qin_culture,sanjiao
ABLSH,added,Lushi,east_asia.txt,zhongyuan_culture,sanjiao
ABRXN,added,Rangxian,east_asia.txt,zhongyuan_culture,sanjiao
ABXZU,added,Xizhou,east_asia.txt,zhongyuan_culture,sanjiao
ABBYN,added,Biyang,east_asia.txt,zhongyuan_culture,sanjiao
ABGNC,added,Gongchang,east_asia.txt,qin_culture,sanjiao
ABWDA,added,Wudang,east_asia.txt,chu_culture,sanjiao
ABFNL,added,Fangling,east_asia.txt,chu_culture,sanjiao
ABPNG,added,Pingliang,east_asia.txt,qin_culture,sanjiao
ABQNY,added,Qingyang,east_asia.txt,qin_culture,sanjiao
ABJNB,added,Jingbian,east_asia.txt,jin_culture,sanjiao
ABBIG,added,Bing,east_asia.txt,jin_culture,sanjiao
ABHTG,added,Hongtong,east_asia.txt,qin_culture,sanjiao
ABJXN,added,Juxian,east_asia.txt,jiaodong_culture,sanjiao
ABSHD,added,Shandong,east_asia.txt,jilu_culture,sanjiao
ABWDI,added,Wudi,east_asia.txt,jilu_culture,sanjiao
ABZCN,added,Zichuan,east_asia.txt,jilu_culture,sanjiao
ABLQU,added,Linqu,east_asia.txt,jiaodong_culture,sanjiao
ABBZO,added,Binzhou,east_asia.txt,jilu_culture,sanjiao
ABLCG,added,Liaocheng,east_asia.txt,jilu_culture,sanjiao
ABAYG,added,Anyang,east_asia.txt,jin_culture,sanjiao
ABDTG,added,Datong,east_asia.txt,jin_culture,sanjiao
ABANX,added,Anxi,east_asia.txt,jilu_culture,sanjiao
ABSAI,added,Shanxi,east_asia.txt,jin_culture,sanjiao
ABXIE,added,Xihe,east_asia.txt,jin_culture,sanjiao
ABGZO,added,Guozhou,east_asia.txt,jin_culture,sanjiao
ABSYI,added,Shanyin,east_asia.txt,jin_culture,sanjiao
ABLXN,added,Lingxian,east_asia.txt,jilu_culture,sanjiao
ABBKJ,added,Baekje,east_asia.txt,korean_culture,mahayana
ABHJO,added,Hojo,east_asia.txt,tougoku_culture,shinto
ABTKG,added,Tokugawa,east_asia.txt,tougoku_culture,shinto
ABNNU,added,Northern Ainu,east_asia.txt,ainu_culture,ainu_religion
ABENU,added,Eastern Ainu,east_asia.txt,ainu_culture,ainu_religion
ABWNU,added,Western Ainu,east_asia.txt,ainu_culture,ainu_religion
ABSNU,added,Southern Ainu,east_asia.txt,ainu_culture,ainu_religion
ABCNU,added,Central Ainu,east_asia.txt,ainu_culture,ainu_religion
ABSIN,added,,egypt.txt,bedouin_culture,sunni
ABSWS,added,,egypt.txt,lower_egyptian_culture,sunni
ABASW,added,,egypt.txt,upper_egyptian_culture,shia
ABTUH,added,Matruh,egypt.txt,lower_egyptian_culture,sunni
ABOMO,added,,horn_of_africa.txt,omo_culture,omo_religion
ABMYS,added,,india.txt,kannadiga,hindu
ABAHM,added,,india.txt,marathi_culture,sunni
ABSNA,added,,india.txt,marathi_culture,sunni
ABNNA,added,,india.txt,bhil,sunni
ABSRH,added,,india.txt,punjabi,sunni
ABLAH,added,,india.txt,punjabi,sunni
ABKHO,added,,india.txt,afghan_culture,sunni
ABBDH,added,,india.txt,baloch_culture,sunni
ABULN,added,,india.txt,punjabi,sunni
ABDEJ,added,,india.txt,punjabi,hindu
ABPPA,added,,india.txt,magahi,sunni
ABMGY,added,,india.txt,maithili_culture,sunni
ABJAN,added,,india.txt,bengali,sunni
ABBTT,added,,india.txt,bhojpuri_culture,sunni
ABKRB,added,,india.txt,awadhi,sunni
ABBCR,added,,india.txt,awadhi,sunni
ABPJN,added,Pajang,indonesia.txt,javanese_culture,hindu
ABSEL,added,,north_germany.txt,german_silesian,catholic
ABOXN,added,Transoxiana,persia.txt,khorezmian_culture,sunni
ABKMY,added,Kamyskala,persia.txt,uzbek_culture,sunni
ABAFG,added,Afghanistan,persia.txt,afghan_culture,sunni
ABBLK,added,Balkh,persia.txt,tajik_culture,sunni
ABHMN,added,Shuman,persia.txt,khorezmian_culture,sunni
ABBGA,added,Bagram,persia.txt,tajik_culture,sunni
ABKHV,added,Khiva,persia.txt,nogai,sunni
ABUZB,added,,steppes.txt,uzbek_culture,tengri
ABIGZ,added,,steppes.txt,uzbek_culture,tengri
ABKZN,added,Kazan,steppes.txt,kazani,sunni
ABBBN,added,,west_africa.txt,tuareg,sunni
ABTNU,added,,west_africa.txt,mandinka,sunni
ABDGN,added,,west_africa.txt,dogon,dogon_religion
ABTBS,added,,west_africa.txt,toubou_culture,sunni
ABEWE,added,,west_africa.txt,ewe,vodun_religion
ABIJW,added,,west_africa.txt,ijaw,ijaw_religion
#QTO,commented_out,Quito,andes.txt,quitu_culture,pi_religion
#TLN,commented_out,Tallan,andes.txt,tallan_culture,pi_religion
#OMG,commented_out,Omaguaca,andes.txt,omaguaca_culture,cebil_religion
#GCV,commented_out,Guancavilca,andes.txt,guancavilca_culture,umina_religion
#BBA,commented_out,Baba,andes.txt,guancavilca_culture,umina_religion
#SLL,commented_out,Shabalula,andes.txt,kanari_culture,pi_religion
#HKR,commented_out,Hatun Kañar,andes.txt,kanari_culture,pi_religion
#PUU,commented_out,Puruhá,andes.txt,puruha_culture,pi_religion
#PUK,commented_out,Pukamuru,andes.txt,pukamuru_culture,arutam_religion
#BAG,commented_out,Bagua,andes.txt,bagua_culture,arutam_religion
#HUA,commented_out,Huaylas,andes.txt,huayla_culture,naylamp_religion
#XAU,commented_out,Xauxa,andes.txt,xauxa_culture,inti
#ATV,commented_out,Atavillos,andes.txt,atavillos_culture,naylamp_religion
#YAW,commented_out,Yawyu,andes.txt,yawyu_culture,naylamp_religion
#CCY,commented_out,Chancay,andes.txt,chancay_culture,naylamp_religion
#HPP,commented_out,Huancapampa,andes.txt,huancapampa_culture,arutam_religion
#HCR,commented_out,Huacrachuco,andes.txt,wari_culture,inti
#CBY,commented_out,Chiribaya,andes.txt,chiribaya_culture,inti
#LLG,commented_out,Collagua,andes.txt,aimara_culture,inti
#AMN,commented_out,Camana,andes.txt,wari_culture,inti
#QQH,commented_out,Qhara Qhara,andes.txt,qhara_qhara_culture,cebil_religion
#CCT,commented_out,Ccantumarcani,andes.txt,chicha_culture,cebil_religion
#TUP,commented_out,Tupiza,andes.txt,chicha_culture,cebil_religion
#CHW,commented_out,Chuwi,andes.txt,chuwi_culture,mororuma_religion
#KWY,commented_out,Kallawaya,andes.txt,kallawaya_culture,pava_religion
#CNO,commented_out,,andes.txt,chono_culture,umina_religion
#BAU,commented_out,,andes.txt,baure_culture,zemi_religion
#ALC,commented_out,,andes.txt,warpe_culture,yastay_religion
#MYC,commented_out,,andes.txt,warpe_culture,yastay_religion
#PHE,commented_out,,andes.txt,pikumche_culture,tain_feyentun_religion
#CPU,commented_out,,andes.txt,pazioca_culture,yastay_religion
#CYC,commented_out,,andes.txt,pazioca_culture,yastay_religion
#QIM,commented_out,,andes.txt,pazioca_culture,yastay_religion
#QTR,commented_out,,andes.txt,licanantay_culture,cebil_religion
#SKH,commented_out,Sakher,arabia.txt,najdi_culture,sunni
#HWT,commented_out,Huwaitat,arabia.txt,najdi_culture,sunni
#DFR,commented_out,Al-Dhafeer,arabia.txt,najdi_culture,sunni
#AWZ,commented_out,Al-Awazem,arabia.txt,najdi_culture,sunni
#JUH,commented_out,Juhaynah,arabia.txt,najdi_culture,sunni
#GMD,commented_out,Ghamd,arabia.txt,najdi_culture,sunni
#ZHR,commented_out,Zahran,arabia.txt,najdi_culture,sunni
#COP,commented_out,Cocopa,aridoamerica.txt,cocopa_culture,yuman_religion
#EUD,commented_out,Eudeve,aridoamerica.txt,opata_culture,cahita_religion
#TGU,commented_out,Tegüis,aridoamerica.txt,opata_culture,cahita_religion
#JOV,commented_out,Jovas,aridoamerica.txt,opata_culture,cahita_religion
#TEG,commented_out,Tegüima,aridoamerica.txt,opata_culture,cahita_religion
#CNH,commented_out,Caüinachis,aridoamerica.txt,opata_culture,cahita_religion
#HHK,commented_out,Hohokam,aridoamerica.txt,hohokam_culture,cahita_religion
#OOB,commented_out,O'ob (Lower Pima),aridoamerica.txt,pima_culture,cahita_religion
#RAR,commented_out,Rarámuri,aridoamerica.txt,raramuri_culture,cahita_religion
#DNE,commented_out,Diné,aridoamerica.txt,dine_culture,dene_shamanism
#TPH,commented_out,Tepehuan,aridoamerica.txt,tepehuan_culture,tepehuan_religion
#XUM,commented_out,Xumanos,aridoamerica.txt,xumani_culture,kachina_religion
#HTS,commented_out,,aridoamerica.txt,ancestral_pueblo_culture,kachina_religion
#NUW,commented_out,,aridoamerica.txt,nuwuvi_culture,paiute_shamanism
#NWV,commented_out,,aridoamerica.txt,nuwuvu_culture,paiute_shamanism
#CRJ,commented_out,,brasil.txt,kaxixo_culture,tunpa_religion
#NDV,commented_out,,brasil.txt,ava_culture,tunpa_religion
#KIO,commented_out,,brasil.txt,ava_culture,tunpa_religion
#XTA,commented_out,,brasil.txt,xeta_culture,namandu_religion
#AVA,commented_out,,brasil.txt,ava_culture,tunpa_religion
#GCZ,commented_out,,brasil.txt,guaitaka_culture,doi_wahire_religion
#AIM,commented_out,,brasil.txt,kren_culture,doi_wahire_religion
#KRR,commented_out,,brasil.txt,kiriri_culture,jurema_religion
#CAE,commented_out,,brasil.txt,kaete_culture,namandu_religion
#SUC,commented_out,,brasil.txt,tarairiu_culture,jurema_religion
#POT,commented_out,,brasil.txt,potiguara_culture,namandu_religion
#TRT,commented_out,,canadian.txt,taontaenrat_culture,iroquoian_totemism
#AGW,commented_out,,canadian.txt,attignawantan_culture,iroquoian_totemism
#ARN,commented_out,,canadian.txt,arendaronon_culture,iroquoian_totemism
#ATG,commented_out,,canadian.txt,attigneenongnahac_culture,iroquoian_totemism
#ATC,commented_out,,canadian.txt,ataronchronon_culture,iroquoian_totemism
#ADR,commented_out,,canadian.txt,aondironon_culture,iroquoian_totemism
#ONG,commented_out,,canadian.txt,onghniaahra_culture,iroquoian_totemism
#TIO,commented_out,,canadian.txt,tionontate_culture,iroquoian_totemism
#OSG,commented_out,,canadian.txt,osheaga_culture,iroquoian_totemism
#MAS,commented_out,,canadian.txt,maisouna_culture,iroquoian_totemism
#STD,commented_out,,canadian.txt,stadaconan_culture,iroquoian_totemism
#AGJ,commented_out,,canadian.txt,agojuda_culture,iroquoian_totemism
#SOK,commented_out,,canadian.txt,western_abenaki_culture,midewiwin_religion
#PNS,commented_out,,canadian.txt,eastern_abenaki_culture,midewiwin_religion
#MLS,commented_out,,canadian.txt,wolastoqiyik_culture,midewiwin_religion
#AKW,commented_out,,canadian.txt,atikamekw_culture,midewiwin_religion
#TMG,commented_out,,canadian.txt,timiscaming_culture,midewiwin_religion
#ABT,commented_out,,canadian.txt,abitibi_culture,midewiwin_religion
#OJI,commented_out,,canadian.txt,ojibwe_culture,midewiwin_religion
#ODW,commented_out,,canadian.txt,odawa_culture,midewiwin_religion
#NPS,commented_out,,canadian.txt,nipissing_culture,midewiwin_religion
#MSG,commented_out,,canadian.txt,missisage_culture,midewiwin_religion
#MIK,commented_out,,canadian.txt,mikmaq_culture,midewiwin_religion
#PEN,commented_out,,canadian.txt,penobscot_culture,midewiwin_religion
#PQD,commented_out,,canadian.txt,passamaquoddy_culture,midewiwin_religion
#WSK,commented_out,,canadian.txt,weskarini_culture,midewiwin_religion
#KSP,commented_out,,canadian.txt,kichesipirini_culture,midewiwin_religion
#HAA,commented_out,,central_north_america.txt,haaninin_culture,midewiwin_religion
#ASH,commented_out,,central_north_america.txt,ashalaho_culture,great_plains_shamanism
#ASP,commented_out,,central_north_america.txt,ashshipite_culture,great_plains_shamanism
#KTK,commented_out,kitikitish,central_north_america.txt,kitikitish_culture,great_plains_shamanism
#TVY,commented_out,taovaya,central_north_america.txt,taovaya_culture,great_plains_shamanism
#PTW,commented_out,pitahwarita,central_north_america.txt,pitahwarita_culture,great_plains_shamanism
#TSW,commented_out,tsawi,central_north_america.txt,tsawi_culture,great_plains_shamanism
#SHH,commented_out,sahnish,central_north_america.txt,sahnish_culture,great_plains_shamanism
#NUE,commented_out,nueta,central_north_america.txt,nueta_culture,great_plains_shamanism
#HIR,commented_out,hiraaca,central_north_america.txt,hiraaca_culture,great_plains_shamanism
#PCH,commented_out,pacaha,central_north_america.txt,tunica_culture,mississippian_ceremonial
#CSQ,commented_out,casqui,central_north_america.txt,yazoo_culture,mississippian_ceremonial
#ANL,commented_out,anilco,central_north_america.txt,tiou_culture,mississippian_ceremonial
#COL,commented_out,coligua,central_north_america.txt,koroa_culture,mississippian_ceremonial
#CYS,commented_out,cayas,central_north_america.txt,cayas_culture,mississippian_ceremonial
#CTI,commented_out,chitimacha,central_north_america.txt,chitimacha_culture,mississippian_ceremonial
#BYG,commented_out,bayagoula,central_north_america.txt,bayagoula_culture,mississippian_ceremonial
#NST,commented_out,nashitush,central_north_america.txt,caddo_culture,mississippian_ceremonial
#AVY,commented_out,avoyel,central_north_america.txt,avoyel_culture,mississippian_ceremonial
#KDW,commented_out,kadawdaachuh,central_north_america.txt,caddo_culture,mississippian_ceremonial
#TUA,commented_out,Tula,central_north_america.txt,tula_culture,mississippian_ceremonial
#ISH,commented_out,,central_north_america.txt,atakapa_culture,atakapa_religion
#QMG,commented_out,,central_north_america.txt,quasmigdo_culture,atakapa_religion
#TWK,commented_out,,central_north_america.txt,tawakoni_culture,mississippian_ceremonial
#HNO,commented_out,,central_north_america.txt,hinonoeino_culture,midewiwin_religion
#NWN,commented_out,,central_north_america.txt,nanwuinenan_culture,midewiwin_religion
#NDA,commented_out,,central_north_america.txt,nakoda_culture,great_plains_shamanism
#LKT,commented_out,,central_north_america.txt,lahkota_culture,great_plains_shamanism
#IKW,commented_out,,central_north_america.txt,ithanktunwanna_culture,great_plains_shamanism
#IUW,commented_out,,central_north_america.txt,ithanktunwan_culture,great_plains_shamanism
#NCH,commented_out,,central_north_america.txt,niuachi_culture,mississippian_ceremonial
#NKW,commented_out,,central_north_america.txt,nakawe_culture,midewiwin_religion
#TTS,commented_out,,central_north_america.txt,tsetsehesahese_culture,midewiwin_religion
#BKT,commented_out,,central_north_america.txt,bdewekhantunwan_culture,mississippian_ceremonial
#STW,commented_out,,central_north_america.txt,sisithunwan_culture,mississippian_ceremonial
#WKH,commented_out,,central_north_america.txt,wahpekhute_culture,mississippian_ceremonial
#WPW,commented_out,,central_north_america.txt,wahpetunwan_culture,mississippian_ceremonial
#WGH,commented_out,,central_north_america.txt,waghtochtatta_culture,mississippian_ceremonial
#MOX,commented_out,Moxo,chaco.txt,moxo_culture,zemi_religion
#CUA,commented_out,Charrua,chaco.txt,charrua_culture,tunpa_religion
#PMN,commented_out,Pemon,colombia.txt,pemon_culture,zemi_religion
#TNO,commented_out,,colombia.txt,taino_culture,zemi_religion
#MAE,commented_out,,colombia.txt,taino_culture,zemi_religion
#MGU,commented_out,,colombia.txt,taino_culture,zemi_religion
#JRG,commented_out,,colombia.txt,taino_culture,zemi_religion
#HGY,commented_out,,colombia.txt,taino_culture,zemi_religion
#GAY,commented_out,,colombia.txt,taino_culture,zemi_religion
#BRK,commented_out,,colombia.txt,taino_culture,zemi_religion
#CBO,commented_out,,colombia.txt,ciboney,zemi_religion
#LCY,commented_out,,colombia.txt,lucayo,zemi_religion
#MCX,commented_out,,colombia.txt,macorix_culture,zemi_religion
#CGY,commented_out,,colombia.txt,ciguayo_culture,zemi_religion
#IGR,commented_out,,colombia.txt,igneri,zemi_religion
#KGN,commented_out,,colombia.txt,carib,zemi_religion
#TNA,commented_out,Tonga,east_africa.txt,tonga,bantu_religion
#ZEZ,commented_out,Zezuru,east_africa.txt,shona_culture,bantu_religion
#NBY,commented_out,Nambya,east_africa.txt,shona_culture,bantu_religion
#MAA,commented_out,Masai,east_africa.txt,maasai_culture,maasai_religion
#SIK,commented_out,Shilluk,east_africa.txt,shilluk_culture,muonyjang_religion
#KOU,commented_out,Ko,east_asia.txt,tougoku_culture,shinto
#AKM,commented_out,Akamatsu,east_asia.txt,saigoku_culture,shinto
#NKI,commented_out,Nitsuki,east_asia.txt,saigoku_culture,shinto
#CJO,commented_out,Chujo,east_asia.txt,tougoku_culture,shinto
#ISD,commented_out,Ishido,east_asia.txt,tougoku_culture,shinto
#KGK,commented_out,Kyugoku,east_asia.txt,saigoku_culture,shinto
#TKI,commented_out,Toki,east_asia.txt,tougoku_culture,shinto
#OGS,commented_out,Ogasawara,east_asia.txt,tougoku_culture,shinto
#OYM,commented_out,Oyama,east_asia.txt,tougoku_culture,shinto
#TGS,commented_out,Togashi,east_asia.txt,saigoku_culture,shinto
#YSM,commented_out,Yoshimi,east_asia.txt,saigoku_culture,shinto
#MMI,commented_out,Momonoi,east_asia.txt,saigoku_culture,shinto
#KRA,commented_out,Kira,east_asia.txt,saigoku_culture,shinto
#ENY,commented_out,En'ya,east_asia.txt,saigoku_culture,shinto
#UEN,commented_out,Ueno,east_asia.txt,tougoku_culture,shinto
#MTD,commented_out,Matsuda,east_asia.txt,saigoku_culture,shinto
#MNM,commented_out,Minami,east_asia.txt,tougoku_culture,shinto
#ASY,commented_out,Asayama,east_asia.txt,saigoku_culture,shinto
#WSZ,commented_out,Washizu,east_asia.txt,saigoku_culture,shinto
#KTO,commented_out,Koto,east_asia.txt,saigoku_culture,shinto
#KNO,commented_out,Kawano,east_asia.txt,saigoku_culture,shinto
#KII,commented_out,Kii,east_asia.txt,kyushu_culture,shinto
#KDO,commented_out,Kudo,east_asia.txt,touhoku_culture,shinto
#OKI,commented_out,Osaki,east_asia.txt,touhoku_culture,shinto
#MGM,commented_out,Mogami,east_asia.txt,touhoku_culture,shinto
#KSI,commented_out,Kasai,east_asia.txt,touhoku_culture,shinto
#SOM,commented_out,Soma,east_asia.txt,touhoku_culture,shinto
#ASN,commented_out,Ashina,east_asia.txt,touhoku_culture,shinto
#YUK,commented_out,Yuki,east_asia.txt,tougoku_culture,shinto
#OID,commented_out,Oida,east_asia.txt,tougoku_culture,shinto
#OGU,commented_out,Oguni,east_asia.txt,tougoku_culture,shinto
#IIX,commented_out,Ii,east_asia.txt,tougoku_culture,shinto
#AKJ,commented_out,Anenokoji/Anegakoji,east_asia.txt,saigoku_culture,shinto
#KSN,commented_out,Kusunoki,east_asia.txt,saigoku_culture,shinto
#NAW,commented_out,Nawa,east_asia.txt,saigoku_culture,shinto
#MSD,commented_out,Masuda,east_asia.txt,saigoku_culture,shinto
#TKN,commented_out,Tokuno,east_asia.txt,saigoku_culture,shinto
#DOI,commented_out,Doi,east_asia.txt,saigoku_culture,shinto
#KNT,commented_out,Kutsuna,east_asia.txt,saigoku_culture,shinto
#SHJ,commented_out,Shijo,east_asia.txt,saigoku_culture,shinto
#YSR,commented_out,Yamashiro,east_asia.txt,kyushu_culture,shinto
#ASO,commented_out,Aso,east_asia.txt,kyushu_culture,shinto
#SGR,commented_out,Sagara,east_asia.txt,kyushu_culture,shinto
#IJU,commented_out,Ijuin,east_asia.txt,saigoku_culture,shinto
#KMT,commented_out,Kimotsuki,east_asia.txt,kyushu_culture,shinto
#NAI,commented_out,Nagai,east_asia.txt,touhoku_culture,shinto
#HEI,commented_out,Hei,east_asia.txt,touhoku_culture,shinto
#ANM,commented_out,Asonuma,east_asia.txt,touhoku_culture,shinto
#TZW,commented_out,Tozawa,east_asia.txt,touhoku_culture,shinto
#WAG,commented_out,Waga,east_asia.txt,touhoku_culture,shinto
#HIE,commented_out,Hienuki,east_asia.txt,touhoku_culture,shinto
#SGE,commented_out,Sagae,east_asia.txt,touhoku_culture,shinto
#DHJ,commented_out,Daihoji,east_asia.txt,touhoku_culture,shinto
#NGM,commented_out,Naganuma,east_asia.txt,touhoku_culture,shinto
#NKD,commented_out,Nikaido,east_asia.txt,tougoku_culture,shinto
#TMR,commented_out,Tamura,east_asia.txt,touhoku_culture,shinto
#IWS,commented_out,Inawashiro,east_asia.txt,touhoku_culture,shinto
#ISW,commented_out,Ishikawa,east_asia.txt,touhoku_culture,shinto
#MIU,commented_out,Miura,east_asia.txt,tougoku_culture,shinto
#SUW,commented_out,Suwa,east_asia.txt,saigoku_culture,shinto
#RKK,commented_out,Rokkaku,east_asia.txt,saigoku_culture,shinto
#MIY,commented_out,Miya,east_asia.txt,saigoku_culture,shinto
#KKW,commented_out,Kikkawa,east_asia.txt,saigoku_culture,shinto
#MKT,commented_out,Munakata,east_asia.txt,saigoku_culture,shinto
#ASA,commented_out,Asakura,east_asia.txt,saigoku_culture,shinto
#ISE,commented_out,Ise,east_asia.txt,saigoku_culture,shinto
#IKE,commented_out,Ikeda,east_asia.txt,saigoku_culture,shinto
#ISA,commented_out,Isa,east_asia.txt,tougoku_culture,shinto
#TAK,commented_out,Daijo,east_asia.txt,tougoku_culture,shinto
#KNB,commented_out,Kawanobe,east_asia.txt,tougoku_culture,shinto
#HTA,commented_out,Hatta,east_asia.txt,tougoku_culture,shinto
#MKO,commented_out,Mashiko,east_asia.txt,tougoku_culture,shinto
#TKO,commented_out,Tako,east_asia.txt,tougoku_culture,shinto
#NAS,commented_out,Nasu,east_asia.txt,tougoku_culture,shinto
#OGO,commented_out,Ogo,east_asia.txt,tougoku_culture,shinto
#NIT,commented_out,Nitta,east_asia.txt,tougoku_culture,shinto
#TOS,commented_out,Toshima,east_asia.txt,tougoku_culture,shinto
#UNN,commented_out,Unno,east_asia.txt,tougoku_culture,shinto
#KOK,commented_out,Kosaka,east_asia.txt,tougoku_culture,shinto
#TOY,commented_out,Toyama,east_asia.txt,tougoku_culture,shinto
#HIG,commented_out,To,east_asia.txt,tougoku_culture,shinto
#EMA,commented_out,Ema,east_asia.txt,tougoku_culture,shinto
#NKJ,commented_out,Nakajima,east_asia.txt,tougoku_culture,shinto
#OBA,commented_out,Oba,east_asia.txt,tougoku_culture,shinto
#NGN,commented_out,Nagano,east_asia.txt,saigoku_culture,shinto
#TKM,commented_out,Takashima,east_asia.txt,saigoku_culture,shinto
#AIS,commented_out,Aisu,east_asia.txt,saigoku_culture,shinto
#YUS,commented_out,Yuasa,east_asia.txt,saigoku_culture,shinto
#YAB,commented_out,Yabe,east_asia.txt,saigoku_culture,shinto
#OGA,commented_out,Ogamo,east_asia.txt,saigoku_culture,shinto
#STU,commented_out,Suetsugu,east_asia.txt,saigoku_culture,shinto
#MZW,commented_out,Mizawa,east_asia.txt,saigoku_culture,shinto
#MTY,commented_out,Mitoya,east_asia.txt,saigoku_culture,shinto
#AKN,commented_out,Akana,east_asia.txt,saigoku_culture,shinto
#GTO,commented_out,Goto,east_asia.txt,saigoku_culture,shinto
#SHO,commented_out,Sho,east_asia.txt,saigoku_culture,shinto
#HRG,commented_out,Hiraga,east_asia.txt,saigoku_culture,shinto
#KBK,commented_out,Kobayakawa,east_asia.txt,saigoku_culture,shinto
#WCH,commented_out,Wachi,east_asia.txt,saigoku_culture,shinto
#SUE,commented_out,Sue,east_asia.txt,saigoku_culture,shinto
#MIG,commented_out,Migita,east_asia.txt,saigoku_culture,shinto
#KAG,commented_out,Kagawa,east_asia.txt,saigoku_culture,shinto
#KOZ,commented_out,Kozai,east_asia.txt,saigoku_culture,shinto
#KNE,commented_out,Kaneko,east_asia.txt,saigoku_culture,shinto
#AKI,commented_out,Aki,east_asia.txt,saigoku_culture,shinto
#OHR,commented_out,Ohira,east_asia.txt,saigoku_culture,shinto
#BZG,commented_out,Buzen Nagano,east_asia.txt,kyushu_culture,shinto
#AKZ,commented_out,Akizuki,east_asia.txt,kyushu_culture,shinto
#AKU,commented_out,Taku,east_asia.txt,kyushu_culture,shinto
