eu5_tag,eu5_name,advances,eu4_tag,eu4_name,eu4_culture_name,eu4_culture_key,ideaset,idea_key,eu5_culture,eu5_religion,plausibility(%)
DOG,Dogra,0,GDW,Garha,,,Gond Ideas,central_indic_ideas,kangri,,60
PNC,Punch,0,KAT,Kutch,,,Gujarati Princedom Ideas,gujarati_ideas,kashmiri_culture,hindu,60
SMA,Samma,0,ASS,Assam,,,Assamese Ideas,ASS_ideas,sindhi,sunni,60
KDU,Kodungallur,1,NGA,Nagaur,,,Indian Sultanate Ideas,indian_muslim_ideas,malayali,hindu,59
VLD,Valluvanad,1,BGA,Baglana,,,Gujarati Princedom Ideas,gujarati_ideas,malayali,hindu,59
DBD,Dambadeniya,0,SDY,Sadiya,,,Sadiyan Ideas,SDY_ideas,sinhalese,theravada,59
DRP,Dharampur,0,RTT,Ratanpur,,,Gond Ideas,central_indic_ideas,bhil,hindu,59
HNV,Honnavar,0,NVR,Navanagar,,,Gujarati Princedom Ideas,gujarati_ideas,konkani,sunni,59
MJU,Mayurbhanj,0,MAD,Madurai,,,South Indian Ideas,dravidian_ideas,chhattisgarhi,hindu,59
WRG,Wairagarh,0,JGD,Junagarh,,,Gujarati Princedom Ideas,gujarati_ideas,gond,koyapunem_religion,59
KSW,Kishtwar,0,KAC,Kachar,,,Bengali Ideas,bengali_ideas,kashmiri_culture,hindu,57
MAU,Mau Ganj,0,MUL,Multan,,,Indian Sultanate Ideas,indian_muslim_ideas,bagheli,hindu,57
PLA,Pal Lahara,0,PTL,Palitana,,,Gujarati Princedom Ideas,gujarati_ideas,orissan,hindu,56
BNA,Bonai,0,BNG,Bengal,,,Bengal Sultanate Ideas,BNG_ideas,chhattisgarhi,hindu,55
LHL,Lahul,0,LDK,Ladakh,,,Ladakh Ideas,LDK_ideas,kangri,tibetan_buddhism,55
HSL,Hoysala,10,JLV,Jhalavad,,,Gujarati Princedom Ideas,gujarati_ideas,kannadiga,hindu,53
CMN,Champaner,5,KAC,Kachar,,,Bengali Ideas,bengali_ideas,gujarati,hindu,53
MSN,Musuniri,0,MLB,Manipur,,,Manipur Ideas,MLB_ideas,telugu,hindu,53
SMV,Sumbuvaraya,0,MAR,Marathas,,,Maratha Ideas,MAR_ideas,tamil,hindu,53
CTR,Chitral,0,HIN,Hindustan,,,Hindustani Ideas,HIN_ideas,kashmiri_culture,sunni,50
GLI,Gilgit,0,GNG,Gingee,,,South Indian Ideas,dravidian_ideas,kashmiri_culture,shia,50
JHI,Johiya,0,ORI,Orissa,,,Orissan Ideas,ORI_ideas,bagri,,50
KPL,Koppula,0,JML,Jumla,,,Nepalese Princedom Ideas,nepalese_minor_ideas,telugu,hindu,50
YDR,Yadavaraya,0,YOR,Andhra,,,Telugu Ideas,telugu_ideas,telugu,hindu,50
CBH,Chibhal,0,RMP,Rohilkhand,,,Indian Sultanate Ideas,indian_muslim_ideas,kashmiri_culture,hindu,47
JPO,Silavamsa,0,JLV,Jhalavad,,,Gujarati Princedom Ideas,gujarati_ideas,orissan,hindu,47
RCH,Recherla,0,GDW,Garha,,,Gond Ideas,central_indic_ideas,telugu,hindu,46
VDK,Vadukkumkur,1,MAD,Madurai,,,South Indian Ideas,dravidian_ideas,malayali,hindu,44
JJK,Jejakabhukti,0,CMP,Rewa Kantha,,,Gujarati Princedom Ideas,gujarati_ideas,bundeli,hindu,43
CRL,Lower Chitral,0,ORI,Orissa,,,Orissan Ideas,ORI_ideas,kashmiri_culture,,42
TKU,Tekkumkur,1,KMN,Kumaon,,,Nepalese Princedom Ideas,nepalese_minor_ideas,malayali,hindu,40
KLU,Kullu,0,KLP,Kalpi,,,Indian Sultanate Ideas,indian_muslim_ideas,kangri,hindu,40
RDY,Reddy,0,KND,Kandy,,,Sinhalese Ideas,CEY_ideas,telugu,hindu,40
SKT,Suket,0,CEY,Kotte,,,Sinhalese Ideas,CEY_ideas,kangri,hindu,40
,,0,AHM,Ahmednagar,,,Deccani Sultanate Ideas,deccani_muslim_ideas,,,
,,0,ASS,Assam,,,Assamese Ideas,ASS_ideas,,,
,,0,BAH,Bahmanis,,,Bahmani Ideas,BAH_ideas,,,
,,0,BDA,Baroda,,,Maratha Ideas,MAR_ideas,,,
,,0,BGL,Baghelkhand,,,Vindhyan Ideas,vindhyan_ideas,,,
,,0,BIJ,Bijapur,,,Deccani Sultanate Ideas,deccani_muslim_ideas,,,
,,0,BNG,Bengal,,,Bengal Sultanate Ideas,BNG_ideas,,,
,,0,BRR,Berar,,,Deccani Sultanate Ideas,deccani_muslim_ideas,,,
,,0,CEY,Kotte,,,Sinhalese Ideas,CEY_ideas,,,
,,0,CMP,Rewa Kantha,,,Gujarati Princedom Ideas,gujarati_ideas,,,
,,0,DEC,Deccan,,,Deccani Ideas,DEC_ideas,,,
,,0,DNG,Dang,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,DTI,Doti,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,EIC,East India Company,,,East India Ideas,EIC_ideas,,,
,,0,GHR,Garhwal,,,Garhwali Ideas,GHR_ideas,,,
,,0,GNG,Gingee,,,South Indian Ideas,dravidian_ideas,,,
,,0,GOC,Golkonda,,,Telugu Ideas,telugu_ideas,,,
,,0,GRJ,Garjat,,,Garjati Ideas,garjati_ideas,,,
,,0,GRK,Gorkha,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,GUJ,Gujarat,,,Gujarat Sultanate Ideas,GUJ_ideas,,,
,,0,HIN,Hindustan,,,Hindustani Ideas,HIN_ideas,,,
,,0,JAJ,Habsan,,,Siddi Ideas,JAJ_ideas,,,
,,0,JAN,Jangladesh,,,Rajput Ideas,rajput_ideas,,,
,,0,JLV,Jhalavad,,,Gujarati Princedom Ideas,gujarati_ideas,,,
,,0,JML,Jumla,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,JNP,Jaunpur,,,Jaunpuri Ideas,JNP_ideas,,,
,,0,JPR,Jeypore,,,Garjati Ideas,garjati_ideas,,,
,,0,KAC,Kachar,,,Bengali Ideas,bengali_ideas,,,
,,0,KHD,Khandesh,,,Deccani Sultanate Ideas,deccani_muslim_ideas,,,
,,0,KJH,Keonhjar,,,Garjati Ideas,garjati_ideas,,,
,,0,KLN,Keladi,,,South Indian Ideas,dravidian_ideas,,,
,,0,KLP,Kalpi,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,KMN,Kumaon,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,KMT,Koch,,,Bengali Ideas,bengali_ideas,,,
,,0,KND,Kandy,,,Sinhalese Ideas,CEY_ideas,,,
,,0,KOC,Kochin,,,Malabari Ideas,malabari_ideas,,,
,,0,KRK,Carnatic,,,Deccani Sultanate Ideas,deccani_muslim_ideas,,,
,,0,KTU,Kathmandu,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,LDK,Ladakh,,,Ladakh Ideas,LDK_ideas,,,
,,0,LWA,Limbuwan,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,MAD,Madurai,,,South Indian Ideas,dravidian_ideas,,,
,,0,MAR,Marathas,,,Maratha Ideas,MAR_ideas,,,
,,0,MBL,Bishnupur,,,Bengali Ideas,bengali_ideas,,,
,,0,MEW,Mewat,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,MKP,Makwanpur,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,MLB,Manipur,,,Manipur Ideas,MLB_ideas,,,
,,0,MLW,Malwa,,,Malvi Ideas,MLW_ideas,,,
,,0,MUG,Mughals,,,Mughal Ideas,MUG_ideas,,,
,,0,MUL,Multan,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,MYS,Mysore,,,Mysorean Ideas,MYS_ideas,,,
,,0,NGA,Nagaur,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,NGP,Jharkhand,,,Garjati Ideas,garjati_ideas,,,
,,0,NPL,Nepal,,,Nepali Ideas,NPL_ideas,,,
,,0,NVR,Navanagar,,,Gujarati Princedom Ideas,gujarati_ideas,,,
,,0,ODH,Oudh,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,PAN,Kalinjar,,,Vindhyan Ideas,vindhyan_ideas,,,
,,0,PRB,Porbandar,,,Gujarati Princedom Ideas,gujarati_ideas,,,
,,0,PRD,Parlakhimidi,,,Garjati Ideas,garjati_ideas,,,
,,0,PTA,Patiala,,,National Ideas,default_ideas,,,
,,0,PUN,Punjab,,,Punjabi Ideas,PUN_ideas,,,
,,0,RJK,Rajkot,,,Gujarati Princedom Ideas,gujarati_ideas,,,
,,0,RJP,Rajputana,,,Rajputana ideas,RJP_ideas,,,
,,0,RMP,Rohilkhand,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,SBP,Sambalpur,,,Garjati Ideas,garjati_ideas,,,
,,0,SDY,Sadiya,,,Sadiyan Ideas,SDY_ideas,,,
,,0,SRH,Sirhind,,,Indian Sultanate Ideas,indian_muslim_ideas,,,
,,0,SRM,Sirmur,,,Nepalese Princedom Ideas,nepalese_minor_ideas,,,
,,0,TLG,Telingana,,,Telugu Ideas,telugu_ideas,,,
,,0,TNJ,Tanjore,,,South Indian Ideas,dravidian_ideas,,,
,,0,TPR,Tripura,,,Tripuran Ideas,TPR_ideas,,,
,,0,TRT,Tirhut,,,Tirhuti Ideas,TRT_ideas,,,
,,0,VOC,Vereenigde Oostindische Compagnie,,,Vereenigde Oostindische Compagnie Ideas,voc_ideas,,,
,,0,YOR,Andhra,,,Telugu Ideas,telugu_ideas,,,
