eu5_modifier,eu4_matches,confidence,notes,eu5_localization,eu5_category,eu5_type,eu5_format,eu4_subsection,eu4_description,eu4_effect_type
allow_female_leader,may_recruit_female_generals,high,Direct equivalent - allows female military commanders,Allow Females to Command,country,boolean,good,Military,Allows the recruitment of female generals.,Constant
allow_harmony,,none,EU5-specific harmony toggle (EU4 harmony exists but no allow modifier),Enable Harmony,country,boolean,good,,,
allow_landfriede,,none,EU5-specific HRE Landfriede mechanic,Can Enforce Landfriede,country,boolean,good,,,
allow_male_cabinet,,none,EU5-specific cabinet gender rule,Allow Males in Cabinet,country,boolean,good,,,
allow_male_leader,,none,EU5-specific gender rule for commanders,Allow Males to Command,country,boolean,good,,,
allow_mercenary_drill,allow_mercenary_drill,high,Direct equivalent - enables mercenary drilling,,,,,Mercenary,Allows mercenaries the ability to drill. Also works in unit scope.,Constant
allow_mysticism_vs_jurisprudence,,none,EU5-specific religious school mechanic,Allow Mysticism vs Jurisprudence,country,boolean,good,,,
allow_native_subjugation_cb,cb_on_primitives,high,Both grant CB against natives/primitives,Native Subjugation Casus Belli,country,boolean,good,Diplomacy,Allows claims to be fabricated on overseas provinces in colonial regions.,Constant
allow_open_sea_exploration,may_explore,medium,Related exploration permission but EU5 specifies open sea,Allows Open Sea Exploration,country,boolean,good,Colonisation,Allows the recruitment of explorers and conquisadors.,Constant
allow_paik_levies,,none,EU5-specific Indian levy type,Allow Paik Levies,country,boolean,good,,,
allow_privateers_slave_raid,may_perform_slave_raid,medium,Related slave raid mechanic via privateers,Privateers Will Raid for Slaves,country,boolean,good,Navy,Allows ships to perform slave raids.,Constant
allow_rgo_slave_demand,,none,EU5-specific pop/RGO system,Slaves working with Raw Materials,country,boolean,good,,,
allow_righteousness,,none,EU5-specific religious mechanic,Enable Righteousness,country,boolean,good,,,
allow_roman_movement,,none,EU5-specific Latin/Roman revival mechanic,Allow Latin Revival Movement,country,boolean,good,,,
allow_safe_refuge_cost_modifier,,none,EU5-specific diplomatic action,Cost of Allow Safe Refuge Action,country,multiplicative,"percent, bad",,,
allow_self_control,,none,EU5-specific mechanic,Enable Self Control,country,boolean,good,,,
allow_slave_conversion,,none,EU5-specific pop mechanic,Allow Conversion of Slaves,country,boolean,good,,,
allow_smartism_gods,,none,EU5-specific religious system,Enable Smartism Gods,country,boolean,good,,,
allow_subjects,allow_client_states,medium,Related - EU4 allow_client_states is narrower subset of subjects,Can Get Subjects,country,boolean,good,Subject,Allows a country to create client states.,Constant
allow_thema_headquarters,,none,EU5-specific Byzantine mechanic,Allows Théma Headquarters,country,boolean,good,,,
allow_tributary_subject,,none,EU5-specific (EU4 tributaries handled differently),Allow Tributary Subjects,country,boolean,good,,,
allow_tribute_in_silver,,none,EU5-specific tribute mechanic,May Demand Silver Tribute,country,boolean,good,,,
allowed_alliance,,none,EU5-specific diplomatic permission flag,Can Sign Alliance,country,boolean,good,,,
allowed_enforce_peace,,none,EU5-specific diplomatic permission flag,Can Enforce Peace,country,boolean,good,,,
allowed_guarantee,,none,EU5-specific diplomatic permission flag,Can Guarantee,country,boolean,good,,,
allowed_intervene_in_war,,none,EU5-specific diplomatic permission flag,Can Intervene in War,country,boolean,good,,,
allowed_support_rebels,,none,EU5-specific diplomatic permission flag,Can Support Rebels,country,boolean,good,,,
allowed_threaten_war,,none,EU5-specific diplomatic permission flag,Can Threaten War,country,boolean,good,,,
allows_hanseatic_federation_buildings,,none,EU5-specific Hanseatic mechanic,Allows Hanseatic Federation Buildings,country,boolean,good,,,
always_allow_army_levies,,none,EU5-specific levy system,Army Levies Always Allowed,country,boolean,good,,,
always_allow_levies,,none,EU5-specific levy system,All Levies Always Allowed,country,boolean,good,,,
always_allow_navy_levies,,none,EU5-specific levy system,Navy Levies Always Allowed,country,boolean,good,,,
amount_looted_modifier,loot_amount,high,Both modify amount of loot taken,Amount Looted,unit,multiplicative,"percent, good",Military,Modifies the amount of loot taken at once during looting.,Multiplicative
amount_looted_modifier,available_province_loot,medium,Related loot mechanic on the province side,Amount Looted,unit,multiplicative,"percent, good",Military,Modifies the amount of loot available in a province.,Multiplicative
annexation_speed_base,years_to_integrate_personal_union,medium,Related to annexation/integration speed but EU4 is PU-specific,Speed of Annexation,country,,good,Subject,Adds to the years it takes to integrate a personal union,Additive
annexation_speed_modifier,global_integration_speed_modifier,high,Both modify integration/annexation speed,Speed of Annexation,country,multiplicative,"percent, good",,,
antagonism_breaking_truce_giving_modifier,,none,EU5-specific antagonism mechanic,Antagonism Given from Breaking Truce Modifier,country,multiplicative,"percent, neutral",,,
antagonism_culture_influence,,none,EU5-specific antagonism mechanic,Antagonism Culture Influence,country,,"percent, neutral",,,
antagonism_government_type_influence,,none,EU5-specific antagonism mechanic,Antagonism Government Type Influence,country,,"percent, neutral",,,
antagonism_language_influence,,none,EU5-specific antagonism mechanic,Antagonism Language Influence,country,,"percent, neutral",,,
antagonism_monthly_change_modifier,,none,EU5-specific antagonism mechanic,Antagonism Decay,country,multiplicative,good,,,
antagonism_peace_treaty_demands_giving_modifier,,none,EU5-specific antagonism mechanic,Antagonism Given from Peace Treaty Demands,country,multiplicative,"percent, neutral",,,
antagonism_received_modifier,,none,EU5-specific antagonism mechanic,Antagonism Received,country,multiplicative,"percent, bad",,,
antagonism_religion_influence,,none,EU5-specific antagonism mechanic,Antagonism Religion Influence,country,,"percent, neutral",,,
antagonism_revolution_influence,,none,EU5-specific antagonism mechanic,Antagonism Revolution Influence,country,,"percent, neutral",,,
antagonism_societal_value_influence,,none,EU5-specific antagonism mechanic,Antagonism Societal Value Influence,country,,"percent, neutral",,,
antagonism_taking_land_giving_modifier,,none,EU5-specific antagonism mechanic,Antagonism Given from Taking Land Modifier,country,multiplicative,"percent, neutral",,,
anti_piracy_warfare_modifier,,none,EU5-specific anti-piracy warfare bonus,Anti-Piracy Warfare Modifier,unit,multiplicative,"percent, good",,,
any_pop_can_be_slave,,none,EU5-specific pop mechanic,Unrestricted Slavery,country,boolean,good,,,
appanage_prevented_from_call_to_war,,none,EU5-specific appanage subject type,Disallowed from Call Appanage to War,country,boolean,good,,,
appease_nobles_estate_from_shogun_court_cost_modifier,,none,EU5-specific shogun court action,Cost of Appease the Elites Action,"country, estate",multiplicative,"percent, bad",,,
appoint_as_heir_price_cost_modifier,,none,EU5-specific character action,Appoint as Heir Cost Modifier,country,multiplicative,"percent, bad",,,
aqueduct_system_max_level,,none,EU5-specific building system,Aqueduct System Max Level,country,additive,good,,,
army_artillery_build_cost_modifier,artillery_cost,high,Both modify artillery construction cost,Artillery Build Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of artillery units.,Multiplicative
army_artillery_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just artillery,Artillery Maintenance Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_artillery_power,artillery_power,high,Both modify artillery power from pips,Artillery Power,"unit, army",,"percent, good",Military,Modifies the power artillery gain from unit pips.,Multiplicative
army_artillery_power,artillery_fire,high,EU5 combines artillery combat power - includes fire damage,Artillery Power,"unit, army",,"percent, good",Military,"added to artillery fire modifier, a pure multiplier to artillery damage during fire phase, also for ship cannons",Additive
army_artillery_power,artillery_shock,high,EU5 combines artillery combat power - includes shock damage,Artillery Power,"unit, army",,"percent, good",Military,"added to artillery shock modifier, a pure multiplier to artillery damage during shock phase",Additive
army_artillery_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just artillery,Artillery Reinforcement Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_auxiliary_build_cost_modifier,,none,EU5-specific auxiliary unit type,Auxiliary Build Cost,"country, army",multiplicative,"percent, bad",,,
army_auxiliary_maintenance_cost_modifier,,none,EU5-specific auxiliary unit type,Auxiliary Maintenance Cost,"country, army",multiplicative,"percent, bad",,,
army_auxiliary_power,,none,EU5-specific auxiliary unit type,Auxiliary Power,"unit, army",,"percent, good",,,
army_auxiliary_reinforce_cost_modifier,,none,EU5-specific auxiliary unit type,Auxiliary Reinforcement Cost,"country, army",multiplicative,"percent, bad",,,
army_disembark_speed,regiment_disembark_speed,high,Direct equivalent - army disembark speed from ships,Army Disembark Speed,"unit, army",,"percent, good",Navy,Modifies the speed in which units disembark.,Multiplicative
army_food_gathering,,none,EU5-specific food/supply system,Army Food Gathering,"unit, army",,good,,,
army_food_gathering_modifier,,none,EU5-specific food/supply system,Army Food Gathering Modifier,"unit, army",multiplicative,"percent, good",,,
army_heavy_cavalry_build_cost_modifier,cavalry_cost,high,EU5 splits cavalry - both apply to heavy cavalry cost,Heavy Cavalry Build Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of cavalry units.,Multiplicative
army_heavy_cavalry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just cavalry,Heavy Cavalry Maintenance Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_heavy_cavalry_power,cavalry_power,high,EU5 splits cavalry - both modify heavy cavalry power,Heavy Cavalry Power,"unit, army",,"percent, good",Military,Modifies the power cavalry gain from unit pips.,Multiplicative
army_heavy_cavalry_power,cavalry_fire,high,EU5 combines heavy cavalry combat - includes fire damage,Heavy Cavalry Power,"unit, army",,"percent, good",Military,"added to cavalry fire modifier, a pure multiplier to cavalry damage during fire phase",Additive
army_heavy_cavalry_power,cavalry_shock,high,EU5 combines heavy cavalry combat - includes shock damage,Heavy Cavalry Power,"unit, army",,"percent, good",Military,"added to cavalry shock modifier, a pure multiplier to cavalry damage during shock phase",Additive
army_heavy_cavalry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just cavalry,Heavy Cavalry Reinforcement Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_heavy_infantry_build_cost_modifier,infantry_cost,high,EU5 splits infantry - both apply to heavy infantry cost,Heavy Infantry Build Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of infantry units.,Multiplicative
army_heavy_infantry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just infantry,Heavy Infantry Maintenance Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_heavy_infantry_power,infantry_power,high,EU5 splits infantry - both modify heavy infantry power from pips,Heavy Infantry Power,"unit, army",,"percent, good",Military,Modifies the power infantry gain from unit pips.,Multiplicative
army_heavy_infantry_power,infantry_fire,high,EU5 combines heavy infantry combat - includes fire damage,Heavy Infantry Power,"unit, army",,"percent, good",Military,"added to infanty fire modifier, a pure multiplier to infantry damage during fire phase",Additive
army_heavy_infantry_power,infantry_shock,high,EU5 combines heavy infantry combat - includes shock damage,Heavy Infantry Power,"unit, army",,"percent, good",Military,"added to infanty shock modifier, a pure multiplier to infantry damage during shock phase",Additive
army_heavy_infantry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just infantry,Heavy Infantry Reinforcement Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_initiative,,none,EU5-specific initiative mechanic,Army Initiative,"unit, army",,"percent, good",,,
army_light_cavalry_build_cost_modifier,cavalry_cost,high,EU5 splits cavalry - both apply to light cavalry cost,Light Cavalry Build Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of cavalry units.,Multiplicative
army_light_cavalry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just cavalry,Light Cavalry Maintenance Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_light_cavalry_power,cavalry_power,high,EU5 splits cavalry - both modify light cavalry power,Light Cavalry Power,"unit, army",,"percent, good",Military,Modifies the power cavalry gain from unit pips.,Multiplicative
army_light_cavalry_power,cavalry_flanking,medium,Light cavalry associated with flanking ability in EU4,Light Cavalry Power,"unit, army",,"percent, good",Military,Modifies the effectiveness of cavalry flanking.,Multiplicative
army_light_cavalry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just cavalry,Light Cavalry Reinforcement Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_light_infantry_build_cost_modifier,infantry_cost,high,EU5 splits infantry - both apply to light infantry cost,Light Infantry Build Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of infantry units.,Multiplicative
army_light_infantry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just infantry,Light Infantry Maintenance Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_light_infantry_power,infantry_power,high,EU5 splits infantry - both modify light infantry power,Light Infantry Power,"unit, army",,"percent, good",Military,Modifies the power infantry gain from unit pips.,Multiplicative
army_light_infantry_power,infantry_fire,high,EU5 combines light infantry combat - includes fire damage,Light Infantry Power,"unit, army",,"percent, good",Military,"added to infanty fire modifier, a pure multiplier to infantry damage during fire phase",Additive
army_light_infantry_power,infantry_shock,high,EU5 combines light infantry combat - includes shock damage,Light Infantry Power,"unit, army",,"percent, good",Military,"added to infanty shock modifier, a pure multiplier to infantry damage during shock phase",Additive
army_light_infantry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just infantry,Light Infantry Reinforcement Cost,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_logistics_distance,,none,EU5-specific logistics/supply system,Logistics Distance,"unit, army",,good,,,
army_logistics_distance_modifier,,none,EU5-specific logistics/supply system,Logistics Distance,"unit, army",multiplicative,"percent, good",,,
army_losses_in_war_cost_modifier,,none,EU5-specific war cost tracking,Cost of Army Losses in Battle,"country, army",multiplicative,"percent, bad",,,
army_maintenance_efficiency,land_maintenance_modifier,high,Both modify effective land maintenance costs,Army Maintenance Efficiency,"unit, army",,"percent, good",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_movement_speed,movement_speed,high,Direct equivalent - land unit movement speed,Army Movement Speed,"unit, army",,"percent, good",Military,Modifies the base movement speed for all land units.,Multiplicative
army_reinforce_cost,reinforce_cost_modifier,high,Direct equivalent - reinforcement cost,Army Reinforcement Cost,"unit, army",,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_tradition_decay,army_tradition_decay,high,Direct equivalent - army tradition decay rate,Army Tradition Decay,"country, army",,"percent, bad",Military,Adds to the decay rate of army tradition.,Additive
army_tradition_from_battle,army_tradition_from_battle,high,Direct equivalent - army tradition gained from battle,Army Tradition from Battles,"country, army",,"percent, good",Military,Modifies the army tradition bonus when gained through battles.,Multiplicative
army_weight_modifier,,none,EU5-specific army weight/supply mechanic,Army Weight,"unit, army",multiplicative,"percent, bad",,,
artillery_bonus_vs_fort,artillery_levels_available_vs_fort,medium,Related artillery-vs-fort bonus but different implementation,Artillery Bonus vs Fort,country,,good,Military,Adds to the maximum levels of artillery on siege,Additive
artillery_bonus_vs_fort,artillery_level_modifier,medium,Related artillery contribution to sieges,Artillery Bonus vs Fort,country,,good,Military,"Modifies how much an artillery unit contributes towards a siege. E.g. 0.2 would mean a 20% bonus, so 5 artillery would count for 6.",Multiplicative
artist_salary_modifier,,none,EU5-specific artist/culture system,Artist Salary,country,multiplicative,"percent, bad",,,
assault_ability,assault_fort_ability,high,Direct equivalent - fort assault effectiveness,Assault Ability,unit,,"percent, good",Military,Modifies the damage the troops deal to the garrison when assaulting a fort.,Multiplicative
assault_ability,assault_fort_cost_modifier,medium,Related assault mechanic but on cost side,Assault Ability,unit,,"percent, good",Military,Modifies the military cost to assault forts.,Multiplicative
assign_despot_price_cost_modifier,,none,EU5-specific Byzantine mechanic,Assign as Despótēs Price Cost Modifier,country,multiplicative,"percent, bad",,,
atoll_proximity_impact,,none,EU5-specific proximity/geography system,Atoll Proximity Impact,country,,"percent, bad",,,
attract_condottieri_price_cost_modifier,possible_condottieri,medium,Related condottieri mechanic but different aspect (cost vs limit),Attract Condottieri Cost,country,multiplicative,"percent, bad",Military,Modifies the base condottieri limit.,Multiplicative
auto_conquer_at_war,,none,EU5-specific auto-conquer flag,Auto Conquer when at War,country,boolean,good,,,
auto_conquer_different_religion_at_war,,none,EU5-specific auto-conquer flag,Auto Conquer Religious Enemies,country,boolean,good,,,
auto_slave_raid,,none,EU5-specific auto-raid flag,Raid Enemies for Slaves,country,boolean,good,,,
auto_slave_raid_different_religion,,none,EU5-specific auto-raid flag,Raid Religious Enemies for Slaves,country,boolean,good,,,
bank_interest,interest,high,Direct equivalent - loan interest rate,Bank Interest,country,,"percent, bad",Economy,Adds to the base interest rate.,Additive
baptize_ruler_from_kirishitan_cost_modifier,,none,EU5-specific Japanese Kirishitan action,Cost of Baptize Ruler Action,country,multiplicative,"percent, bad",,,
become_shogun_from_imperial_court_cost_modifier,,none,EU5-specific shogunate mechanic,Cost of Becoming Shogun from the Imperial Court,country,multiplicative,"percent, good",,,
blame_the_minorities_cost_modifier,,none,EU5-specific plague/disaster action,Find the Culprits Cost,country,multiplicative,"percent, bad",,,
blind_character_price_cost_modifier,,none,EU5-specific character action,Blind Price Cost Modifier,country,multiplicative,"percent, bad",,,
block_female_cabinet,,none,EU5-specific cabinet gender rule,Block Females from Cabinet,country,boolean,bad,,,
block_female_leader,,none,EU5-specific gender rule for commanders,Block Females from Command,country,boolean,bad,,,
block_male_cabinet,,none,EU5-specific cabinet gender rule,Block Males from Cabinet,country,boolean,bad,,,
block_male_leader,,none,EU5-specific gender rule for commanders,Block Males from Command,country,boolean,bad,,,
block_tribal_promotion,,none,EU5-specific pop/tribal mechanic,Block Tribesmen Promotion,country,boolean,good,,,
blockade_efficiency,blockade_efficiency,high,Direct equivalent - blockade effectiveness,Blockade Efficiency,unit,,"percent, good",Navy,Modifies the efficiency of blockades against enemies.,Multiplicative
blocked_from_changing_heir_selection,,none,EU5-specific heir mechanic,Blocked from Changing Heir Selection,country,boolean,bad,,,
blocked_from_conversion,can_not_build_missionaries,medium,Both block religious conversion but via different mechanism,Blocked from Conversion,country,boolean,bad,Religion,Forbids a country to convert provinces with missionaries.,Constant
blocked_from_creating_subjects,,none,EU5-specific subject creation block,Blocked from Creating Subjects,country,boolean,bad,,,
blocked_from_declaring_war,can_not_declare_war,high,Direct equivalent - forbids declaring wars,Blocked from Declaring War,country,boolean,bad,Stability,Fobids a country from declaring wars,Constant
blocked_from_forming_countries,,none,EU5-specific country formation block,Blocked from Forming Countries,country,boolean,bad,,,
blocked_from_peace,,none,EU5-specific peace treaty block,Blocked From Peace,country,boolean,good,,,
blocks_country_formation,,none,EU5-specific country formation block,Blocks Country Formation,country,boolean,neutral,,,
bribe_units_cost_modifier,,none,EU5-specific unit bribing action,Bribe Units Cost,country,multiplicative,"percent, bad",,,
bribe_voter_for_policy_cost_modifier,,none,EU5-specific international organization action,Cost of Bribing Voters in International Organizations,country,multiplicative,"percent, bad",,,
build_gravel_road_cost_modifier,,none,EU5-specific road system,Build Gravel Road Cost,country,multiplicative,"percent, bad",,,
build_hippodrome_price_cost_modifier,,none,EU5-specific Byzantine building action,Hippodrome Construction Cost Modifier,country,multiplicative,"percent, bad",,,
build_modern_road_cost_modifier,,none,EU5-specific road system,Build Modern Road Cost,country,multiplicative,"percent, bad",,,
build_paved_road_cost_modifier,,none,EU5-specific road system,Build Paved Road Cost,country,multiplicative,"percent, bad",,,
build_railroad_cost_modifier,,none,EU5-specific railroad system,Build Railroad Cost,country,multiplicative,"percent, bad",,,
building_missionary_effort_modifier,global_missionary_strength,medium,Related missionary effectiveness but EU5 specifically from buildings,Monthly Religious Conversion from Buildings,country,multiplicative,"percent, good",Religion,Adds to the base missionary strength against all religions.,Additive
building_upkeep_costs,,none,EU5-specific building upkeep concept,Building Upkeep Costs,country,,"percent, bad",,,
burghers_estate_agenda_impact,,none,EU5-specific estate agenda system,Agenda Impact for Burghers,"country, estate",,"percent, good",,,
burghers_estate_levy_size,,none,EU5-specific estate levy system,Burghers Levy Size,"country, estate",,"percent, good",,,
burghers_estate_max_tax,,none,EU5-specific estate tax range,Maximum Tax for Burgher Estate,"country, estate",,"percent, good",,,
burghers_estate_min_tax,,none,EU5-specific estate tax range,Minimum Tax for Burgher Estate,"country, estate",,"percent, good",,,
burghers_estate_satisfaction_decay,,none,EU5-specific estate satisfaction system,Burgher Estate Satisfaction Decay,"country, estate",,"percent, neutral",,,
burghers_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction system,Burgher Estate Satisfaction Recovery,"country, estate",,"percent, neutral",,,
burghers_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium,Burgher Estate Satisfaction Equilibrium,"country, estate",,"percent, good",,,
buy_fleet_basing_rights_cost_modifier,,none,EU5-specific diplomatic action,Buy Fleet Basing Rights Cost,country,multiplicative,"percent, bad",,,
buy_military_access_cost_modifier,,none,EU5-specific diplomatic action,Buy Military Access Cost,country,multiplicative,"percent, bad",,,
call_jihad_cost_modifier,,none,EU5-specific religious action,Cost of Call Jihād Religious Action,country,multiplicative,"percent, bad",,,
can_assign_governors,,none,EU5-specific governorship system,Can Assign Governorship,country,boolean,good,,,
can_assume_fort_command,,none,EU5-specific fort command mechanic,Allow Assume Fort Command,country,boolean,good,,,
can_banish_characters,,none,EU5-specific character action,Can Banish Characters,country,boolean,good,,,
can_be_member_of_a_high_kingship,,none,EU5-specific kingship system,Can Be Member of a High Kingship,country,boolean,good,,,
can_be_target_of_anti_piracy_cb,,none,EU5-specific anti-piracy CB,Can be Target of Anti-Piracy War Casus Belli,country,boolean,bad,,,
can_build_cities,,none,EU5-specific city building mechanic,Can Build Cities,country,boolean,good,,,
can_build_kurmina_headquarter,,none,EU5-specific African mechanic,Can Build Kurmina Headquarter,country,boolean,good,,,
can_build_mamluk_barracks,,none,EU5-specific Mamluk building,Can Build Mamlūk Barracks,country,boolean,good,,,
can_call_rural_parliaments,,none,EU5-specific parliament type,Rural Parliaments,country,boolean,good,,,
can_colonize,can_not_build_colonies,high,Inverse but same concept - permission to colonize,Can Colonize,country,boolean,good,Colonisation,Forbids the country to form colonies,Constant
can_convert_galleys_to_light,,none,EU5-specific ship conversion,Can Convert Galley to Light Ships,country,boolean,good,,,
can_create_anti_piracy_cb,,none,EU5-specific anti-piracy CB,Can Create Anti-Piracy War Casus Belli,country,boolean,good,,,
can_create_red_turban_rebellions_cb,,none,EU5-specific Chinese CB,Has Red Turban Rebellions Casus Belli,country,boolean,good,,,
can_execute_characters,,none,EU5-specific character execution,Can Execute Characters,country,boolean,good,,,
can_grant_town_rights,,none,EU5-specific urban rights system,Can Grant Urban Rights,country,boolean,good,,,
can_have_monasteries,,none,EU5-specific monastery permission,Monasteries Allowed,country,boolean,good,,,
can_hire_privateers,,none,EU5-specific privateer hiring flag,Can Hire Privateers,country,boolean,good,,,
can_host_olympiads,,none,EU5-specific Olympiad mechanic,Can Host Olympiads,country,boolean,good,,,
can_ignore_papal_bulls,,none,EU5-specific papal bull mechanic,Can Ignore Papal Bulls,country,boolean,good,,,
can_invite_settlers,,none,EU5-specific settler system,Can Invite Settlers,country,boolean,good,,,
can_marry_only_overlord_dynasty_characters,,none,EU5-specific marriage restriction,Can Only Marry Overlord Dynasty Members,country,boolean,bad,,,
can_promote_mamluks,,none,EU5-specific Mamluk pop promotion,Can Promote Mamālīk,country,boolean,good,,,
can_reassign_cleric,,none,EU5-specific character/cleric mechanic,Can Reassign Cleric,country,boolean,good,,,
