antagonism_language_influence,,none,EU5-specific antagonism mechanic
antagonism_monthly_change_modifier,,none,EU5-specific antagonism mechanic
antagonism_peace_treaty_demands_giving_modifier,,none,EU5-specific antagonism mechanic
antagonism_received_modifier,,none,EU5-specific antagonism mechanic
antagonism_religion_influence,,none,EU5-specific antagonism mechanic
antagonism_revolution_influence,,none,EU5-specific antagonism mechanic
antagonism_societal_value_influence,,none,EU5-specific antagonism mechanic
antagonism_taking_land_giving_modifier,,none,EU5-specific antagonism mechanic
anti_piracy_warfare_modifier,,none,EU5-specific anti-piracy warfare bonus
any_pop_can_be_slave,,none,EU5-specific pop mechanic
appanage_prevented_from_call_to_war,,none,EU5-specific appanage subject type
appease_nobles_estate_from_shogun_court_cost_modifier,,none,EU5-specific shogun court action
appoint_as_heir_price_cost_modifier,,none,EU5-specific character action
aqueduct_system_max_level,,none,EU5-specific building system
army_artillery_build_cost_modifier,artillery_cost,high,Both modify artillery construction cost
army_artillery_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just artillery
army_artillery_power,artillery_power,high,Both modify artillery power from pips
army_artillery_power,artillery_fire,high,EU5 combines artillery combat power - includes fire damage
army_artillery_power,artillery_shock,high,EU5 combines artillery combat power - includes shock damage
army_artillery_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just artillery
army_auxiliary_build_cost_modifier,,none,EU5-specific auxiliary unit type
army_auxiliary_maintenance_cost_modifier,,none,EU5-specific auxiliary unit type
army_auxiliary_power,,none,EU5-specific auxiliary unit type
army_auxiliary_reinforce_cost_modifier,,none,EU5-specific auxiliary unit type
army_disembark_speed,regiment_disembark_speed,high,Direct equivalent - army disembark speed from ships
army_food_gathering,,none,EU5-specific food/supply system
army_food_gathering_modifier,,none,EU5-specific food/supply system
army_heavy_cavalry_build_cost_modifier,cavalry_cost,high,EU5 splits cavalry - both apply to heavy cavalry cost
army_heavy_cavalry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just cavalry
army_heavy_cavalry_power,cavalry_power,high,EU5 splits cavalry - both modify heavy cavalry power
army_heavy_cavalry_power,cavalry_fire,high,EU5 combines heavy cavalry combat - includes fire damage
army_heavy_cavalry_power,cavalry_shock,high,EU5 combines heavy cavalry combat - includes shock damage
army_heavy_cavalry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just cavalry
army_heavy_infantry_build_cost_modifier,infantry_cost,high,EU5 splits infantry - both apply to heavy infantry cost
eu5_modifier,eu4_matches,confidence,notes
army_heavy_infantry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just infantry
army_heavy_infantry_power,infantry_power,high,EU5 splits infantry - both modify heavy infantry power from pips
army_heavy_infantry_power,infantry_fire,high,EU5 combines heavy infantry combat - includes fire damage
army_heavy_infantry_power,infantry_shock,high,EU5 combines heavy infantry combat - includes shock damage
army_heavy_infantry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just infantry
army_initiative,,none,EU5-specific initiative mechanic
army_light_cavalry_build_cost_modifier,cavalry_cost,high,EU5 splits cavalry - both apply to light cavalry cost
army_light_cavalry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just cavalry
army_light_cavalry_power,cavalry_power,high,EU5 splits cavalry - both modify light cavalry power
army_light_cavalry_power,cavalry_flanking,medium,Light cavalry associated with flanking ability in EU4
army_light_cavalry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just cavalry
army_light_infantry_build_cost_modifier,infantry_cost,high,EU5 splits infantry - both apply to light infantry cost
army_light_infantry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just infantry
army_light_infantry_power,infantry_power,high,EU5 splits infantry - both modify light infantry power
army_light_infantry_power,infantry_fire,high,EU5 combines light infantry combat - includes fire damage
army_light_infantry_power,infantry_shock,high,EU5 combines light infantry combat - includes shock damage
army_light_infantry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just infantry
army_logistics_distance,,none,EU5-specific logistics/supply system
army_logistics_distance_modifier,,none,EU5-specific logistics/supply system
army_losses_in_war_cost_modifier,,none,EU5-specific war cost tracking
army_maintenance_efficiency,land_maintenance_modifier,high,Both modify effective land maintenance costs
army_movement_speed,movement_speed,high,Direct equivalent - land unit movement speed
army_reinforce_cost,reinforce_cost_modifier,high,Direct equivalent - reinforcement cost
army_tradition_decay,army_tradition_decay,high,Direct equivalent - army tradition decay rate
army_tradition_from_battle,army_tradition_from_battle,high,Direct equivalent - army tradition gained from battle
army_weight_modifier,,none,EU5-specific army weight/supply mechanic
artillery_bonus_vs_fort,artillery_levels_available_vs_fort,medium,Related artillery-vs-fort bonus but different implementation
artillery_bonus_vs_fort,artillery_level_modifier,medium,Related artillery contribution to sieges
artist_salary_modifier,,none,EU5-specific artist/culture system
assault_ability,assault_fort_ability,high,Direct equivalent - fort assault effectiveness
assault_ability,assault_fort_cost_modifier,medium,Related assault mechanic but on cost side
assign_despot_price_cost_modifier,,none,EU5-specific Byzantine mechanic
atoll_proximity_impact,,none,EU5-specific proximity/geography system
attract_condottieri_price_cost_modifier,possible_condottieri,medium,Related condottieri mechanic but different aspect (cost vs limit)
auto_conquer_at_war,,none,EU5-specific auto-conquer flag
auto_conquer_different_religion_at_war,,none,EU5-specific auto-conquer flag
auto_slave_raid,,none,EU5-specific auto-raid flag
auto_slave_raid_different_religion,,none,EU5-specific auto-raid flag
bank_interest,interest,high,Direct equivalent - loan interest rate
baptize_ruler_from_kirishitan_cost_modifier,,none,EU5-specific Japanese Kirishitan action
become_shogun_from_imperial_court_cost_modifier,,none,EU5-specific shogunate mechanic
blame_the_minorities_cost_modifier,,none,EU5-specific plague/disaster action
blind_character_price_cost_modifier,,none,EU5-specific character action
block_female_cabinet,,none,EU5-specific cabinet gender rule
block_female_leader,,none,EU5-specific gender rule for commanders
block_male_cabinet,,none,EU5-specific cabinet gender rule
block_male_leader,,none,EU5-specific gender rule for commanders
block_tribal_promotion,,none,EU5-specific pop/tribal mechanic
blockade_efficiency,blockade_efficiency,high,Direct equivalent - blockade effectiveness
blocked_from_changing_heir_selection,,none,EU5-specific heir mechanic
blocked_from_conversion,can_not_build_missionaries,medium,Both block religious conversion but via different mechanism
blocked_from_creating_subjects,,none,EU5-specific subject creation block
blocked_from_declaring_war,can_not_declare_war,high,Direct equivalent - forbids declaring wars
blocked_from_forming_countries,,none,EU5-specific country formation block
blocked_from_peace,,none,EU5-specific peace treaty block
blocks_country_formation,,none,EU5-specific country formation block
bribe_units_cost_modifier,,none,EU5-specific unit bribing action
bribe_voter_for_policy_cost_modifier,,none,EU5-specific international organization action
build_gravel_road_cost_modifier,,none,EU5-specific road system
build_hippodrome_price_cost_modifier,,none,EU5-specific Byzantine building action
build_modern_road_cost_modifier,,none,EU5-specific road system
build_paved_road_cost_modifier,,none,EU5-specific road system
build_railroad_cost_modifier,,none,EU5-specific railroad system
building_missionary_effort_modifier,global_missionary_strength,medium,Related missionary effectiveness but EU5 specifically from buildings
building_upkeep_costs,,none,EU5-specific building upkeep concept
burghers_estate_agenda_impact,,none,EU5-specific estate agenda system
burghers_estate_levy_size,,none,EU5-specific estate levy system
burghers_estate_max_tax,,none,EU5-specific estate tax range
burghers_estate_min_tax,,none,EU5-specific estate tax range
burghers_estate_satisfaction_decay,,none,EU5-specific estate satisfaction system
burghers_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction system
burghers_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
buy_fleet_basing_rights_cost_modifier,,none,EU5-specific diplomatic action
buy_military_access_cost_modifier,,none,EU5-specific diplomatic action
call_jihad_cost_modifier,,none,EU5-specific religious action
can_assign_governors,,none,EU5-specific governorship system
can_assume_fort_command,,none,EU5-specific fort command mechanic
can_banish_characters,,none,EU5-specific character action
can_be_member_of_a_high_kingship,,none,EU5-specific kingship system
can_be_target_of_anti_piracy_cb,,none,EU5-specific anti-piracy CB
can_build_cities,,none,EU5-specific city building mechanic
can_build_kurmina_headquarter,,none,EU5-specific African mechanic
can_build_mamluk_barracks,,none,EU5-specific Mamluk building
can_call_rural_parliaments,,none,EU5-specific parliament type
can_colonize,can_not_build_colonies,high,Inverse but same concept - permission to colonize
can_convert_galleys_to_light,,none,EU5-specific ship conversion
can_create_anti_piracy_cb,,none,EU5-specific anti-piracy CB
can_create_red_turban_rebellions_cb,,none,EU5-specific Chinese CB
can_execute_characters,,none,EU5-specific character execution
can_grant_town_rights,,none,EU5-specific urban rights system
can_have_monasteries,,none,EU5-specific monastery permission
can_hire_privateers,,none,EU5-specific privateer hiring flag
can_host_olympiads,,none,EU5-specific Olympiad mechanic
can_ignore_papal_bulls,,none,EU5-specific papal bull mechanic
can_invite_settlers,,none,EU5-specific settler system
can_marry_only_overlord_dynasty_characters,,none,EU5-specific marriage restriction
can_promote_mamluks,,none,EU5-specific Mamluk pop promotion
can_reassign_cleric,,none,EU5-specific character/cleric mechanic
can_recruit_explorer,may_explore,high,EU4 may_explore covers explorer recruitment
can_revoke_electorship,,none,EU5-specific HRE mechanic
can_send_royal_inspectors,,none,EU5-specific inspector mechanic
can_use_aclla_distribution,,none,EU5-specific Inca marriage system
can_use_council_of_three_lands_modifier,,none,EU5-specific Jewish council mechanic
can_use_nustas_marriages,,none,EU5-specific Inca marriage
cannot_be_subjugated,,none,EU5-specific subjugation immunity
cannot_move_capital,,none,EU5-specific capital movement block
canonize_cost_modifier,,none,EU5-specific canonization action
capital_movement_cost_modifier,move_capital_cost_modifier,high,Direct equivalent - cost to move capital
capital_possible_town_rights,,none,EU5-specific urban rights system
cardinal_price_cost_modifier,appoint_cardinal_cost,high,Direct equivalent - cost to appoint cardinal
eu5_modifier,eu4_matches,confidence,notes
care_about_producing_heirs,,none,EU5-specific royal marriage/heir mechanic
carefulness_modifier,,none,EU5-specific AI behavior modifier
castrate_character_price_cost_modifier,,none,EU5-specific character action
casus_belli_creation_speed,,none,EU5-specific CB creation speed
casus_belli_creation_speed_modifier,fabricate_claims_cost,medium,Related CB fabrication but EU4 is cost-based
casus_belli_creation_speed_modifier,justify_trade_conflict_cost,low,Related trade CB justification
catholic_country_interaction_cost_modifier,,none,EU5-specific Catholic diplomatic mechanic
chancery_cap_level,,none,EU5-specific building max level
change_court_language_cost_modifier,,none,EU5-specific court language mechanic
change_curia_vote_cost_modifier,curia_powers_cost,high,Both modify curia action costs
change_employment_system_cost_modifier,,none,EU5-specific employment system
change_government_type_price_cost_modifier,,none,EU5-specific government change cost
change_heir_selection_cost_modifier,,none,EU5-specific heir selection mechanic
change_liturgical_language_cost_modifier,,none,EU5-specific religious language
change_main_school_cost_modifier,change_main_school_cost_modifier,high,Direct name match - religious school change (EU4 has similar concept)
change_organization_parliament_type_cost_modifier,,none,EU5-specific international organization
change_parliament_type_cost_modifier,,none,EU5-specific parliament change
change_policy_cost_modifier,,none,EU5-specific policy change action
change_primary_culture_cost_modifier,promote_culture_cost,medium,Related culture change action
change_religious_aspect_hellenism_cost_modifier,,none,EU5-specific religious aspect
change_religious_aspect_inti_cost_modifier,,none,EU5-specific religious aspect
character_on_task_modifier,,none,EU5-specific character task system
christian_tenet_price_cost_modifier,,none,EU5-specific religious tenet system
city_upgrade_cost_modifier,,none,EU5-specific city upgrade mechanic
claim_shugo_office_cost_modifier,,none,EU5-specific Japanese office mechanic
cleansing_ritual_purity_cost_modifier,,none,EU5-specific religious action
cleansing_ritual_yanantin_cost_modifier,,none,EU5-specific religious action
clergy_estate_agenda_impact,,none,EU5-specific estate agenda system
clergy_estate_levy_size,,none,EU5-specific estate levy
clergy_estate_max_tax,,none,EU5-specific estate tax range
clergy_estate_min_tax,,none,EU5-specific estate tax range
clergy_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
clergy_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
clergy_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
close_the_borders_cost_modifier,,none,EU5-specific isolation action
coalition_strength_tolerance,,none,EU5-specific AI coalition mechanic
coastal_ocean_proximity_impact,,none,EU5-specific proximity system
colonial_maintenance_cost,,none,EU5-specific colonial upkeep
colonial_migration_size,global_colonial_growth,high,Both add to base colonial growth
colonial_migration_size_modifier,global_colonial_growth,high,Both modify colonial growth
colonial_migration_size_modifier,colonist_placement_chance,medium,Related to additional settler generation
colonial_range,range,high,Direct equivalent - colonial/exploration range
colonial_range_modifier,range,high,Direct equivalent - colonial range modifier
combat_speed_modifier,,none,EU5-specific battle pacing
combined_arms_max_threshold,,none,EU5-specific combined arms mechanic
combined_arms_min_percent_for_bonus,,none,EU5-specific combined arms mechanic
combined_bonus_per_type,,none,EU5-specific combined arms bonus
commission_art_price_cost_modifier,,none,EU5-specific artist/culture action
commission_religious_images_cost_modifier,,none,EU5-specific religious action
complacent_decline_actions_price_cost_modifier,,none,EU5-specific disaster action
compose_strategikon_price_cost_modifier,,none,EU5-specific Byzantine action
conduct_keju_examination_cost_modifier,,none,EU5-specific Chinese examination system
construction_center_max_level,,none,EU5-specific building max level
contact_patriarch_of_constantinople_cost_modifier,,none,EU5-specific Orthodox action
control_importance_modifier,,none,EU5-specific AI importance modifier
control_the_bhres_price_cost_modifier,,none,EU5-specific event action
control_the_food_market_cost_modifier,,none,EU5-specific food system action
convert_religion_cost_modifier,,none,EU5-specific religion conversion action
correct_box_chance,,none,EU5-specific battle/tactic mechanic
corrupt_officials_monthly_cost_cost_modifier,,none,EU5-specific corruption action
cossacks_estate_agenda_impact,,none,EU5-specific estate agenda
cossacks_estate_levy_size,,none,EU5-specific estate levy
cossacks_estate_max_tax,,none,EU5-specific estate tax range
cossacks_estate_min_tax,,none,EU5-specific estate tax range
cossacks_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
cossacks_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
cossacks_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
counter_espionage,global_spy_defence,high,Both modify counter-espionage effectiveness
country_allow_canonization,,none,EU5-specific canonization permission
country_bans_saffron_shirts,,none,EU5-specific religious dress rule
country_cabinet_efficiency,,none,EU5-specific cabinet system
country_can_use_lordship_of_ireland_cb,,none,EU5-specific Irish CB
country_celtic_marriage_banned,,none,EU5-specific marriage restriction
country_child_education,,none,EU5-specific character education system
country_marriage_banned,,none,EU5-specific marriage restriction
coup_attempt_disaster_actions_price_cost_modifier,,none,EU5-specific disaster action
court_eunuchs_bureaucracy_impact_modifier,,none,EU5-specific Chinese bureaucracy
court_language_is_common_language_importance_modifier,,none,EU5-specific court language AI
court_language_is_liturgical_language_importance_modifier,,none,EU5-specific court language AI
court_language_is_market_language_importance_modifier,,none,EU5-specific court language AI
court_spending_cost_modifier,,none,EU5-specific court expenses
crackdown_their_strongholds_cost_modifier,,none,EU5-specific action
create_autocephalous_patriarchate_cost_modifier,,none,EU5-specific Orthodox action
create_colonial_charter_cost_modifier,,none,EU5-specific colonial charter
create_italian_league_price_cost_modifier,,none,EU5-specific Italian League action
create_market_cost_modifier,,none,EU5-specific market system
create_supply_depot_cost_modifier,may_build_supply_depot,medium,Related supply depot mechanic (EU4 is permission flag)
crown_estate_agenda_impact,,none,EU5-specific estate agenda
crown_estate_levy_size,,none,EU5-specific estate levy
crown_estate_max_tax,,none,EU5-specific estate tax range
crown_estate_min_tax,,none,EU5-specific estate tax range
crown_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
crown_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
crown_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
crown_power_from_population,,none,EU5-specific population-based mechanic
cultural_influence,,none,EU5-specific cultural influence resource
cultural_influence_modifier,,none,EU5-specific cultural influence resource
cultural_tradition,,none,EU5-specific cultural tradition resource
cultural_tradition_modifier,,none,EU5-specific cultural tradition resource
cultures_capacity,num_accepted_cultures,high,Both add to max number of accepted cultures
cultures_capacity_modifier,num_accepted_cultures,medium,Related but modifier form
curia_actions_blocked,,none,EU5-specific curia block flag
damage_done_versus_heathens_modifier,,none,EU5-specific religious damage bonus
damage_done_versus_heretics_modifier,,none,EU5-specific religious damage bonus
deactivate_avatar_cost_modifier,,none,EU5-specific avatar mechanic
declaring_war_cost_modifier,stability_cost_to_declare_war,medium,Related war declaration cost (EU4 uses stability)
deep_ocean_proximity_impact,,none,EU5-specific proximity system
defence_importance_modifier,,none,EU5-specific AI importance modifier
demand_church_tax_price_cost_modifier,,none,EU5-specific Catholic action
eu5_modifier,eu4_matches,confidence,notes
demand_extra_payment_from_shogun_court_cost_modifier,,none,EU5-specific shogun court action
deselect_expensive_child_education_cost_modifier,,none,EU5-specific education mechanic
deselect_orthodox_education_cost_modifier,,none,EU5-specific Orthodox education
destroy_market_cost_modifier,,none,EU5-specific market system
dhimmi_estate_agenda_impact,,none,EU5-specific estate agenda
dhimmi_estate_levy_size,,none,EU5-specific estate levy
dhimmi_estate_max_tax,,none,EU5-specific estate tax range
dhimmi_estate_min_tax,,none,EU5-specific estate tax range
dhimmi_estate_satisfaction_decay,,none,EU5-specific estate satisfaction
dhimmi_estate_satisfaction_recovery,,none,EU5-specific estate satisfaction
dhimmi_estate_target_satisfaction,,none,EU5-specific estate satisfaction equilibrium
diplomacy_importance_modifier,,none,EU5-specific AI importance modifier
diplomatic_annexation_cost,diplomatic_annexation_cost,high,Direct equivalent - diplomatic annexation cost
diplomatic_capacity,diplomatic_upkeep,high,Both add to max diplomatic relations
diplomatic_capacity_modifier,diplomatic_upkeep,medium,Related diplomatic capacity but modifier form
diplomatic_range,,none,EU5-specific diplomatic range (EU4 has no such modifier)
diplomatic_range_modifier,,none,EU5-specific diplomatic range
diplomatic_reputation,diplomatic_reputation,high,Direct equivalent - diplomatic reputation
diplomatic_spending_cost,,none,EU5-specific diplomatic budget
diplomatic_upkeep_modifier,diplomatic_upkeep,medium,Related to diplomatic relations upkeep
disallow_diplomatic_subjugation,,none,EU5-specific subjugation permission
disallow_migration_beyond_borders,,none,EU5-specific migration mechanic
disallow_military_subjugation,,none,EU5-specific subjugation permission
disallows_female_rulers,,none,EU5-specific gender rule
discard_worldly_possessions_cost_modifier,,none,EU5-specific religious action
discipline,discipline,high,Direct equivalent - military discipline
disfavor_sect_cost_modifier,,none,EU5-specific religious sect action
dismiss_privateer_cost_modifier,,none,EU5-specific privateer action
dismiss_religious_figure_cost_modifier,,none,EU5-specific religious figure action
dune_wasteland_proximity_impact,,none,EU5-specific proximity system
election_term_in_months,election_cycle,high,Both modify duration of election cycles
embrace_institution_cost_modifier,embracement_cost,high,Direct equivalent - cost to embrace institution
empty_unit_maintenance_cost_modifier,,none,EU5-specific (marked unused in file)
enable_black_market_buildings,,none,EU5-specific black market buildings
enable_doom,,none,EU5-specific doom mechanic toggle
enable_pest_house,,none,EU5-specific plague building
enable_pronoia_subject,,none,EU5-specific Byzantine subject type
enable_taxation,,none,EU5-specific taxation toggle
enables_german_migration,,none,EU5-specific German migration events
enemy_army_losses_in_war_cost_modifier,,none,EU5-specific war cost tracking
ennoble_price_cost_modifier,,none,EU5-specific ennoblement action
enslave_tribals,,none,EU5-specific pop/tribal mechanic
establish_goods_act_cost_modifier,,none,EU5-specific goods act mechanic
establish_treaty_with_kirishitan_cost_modifier,,none,EU5-specific Kirishitan treaty
estate_building_destruction_satisfaction_impact,,none,EU5-specific estate building system
estate_enrichment,,none,EU5-specific estate mechanic
estate_power_from_cabinet,,none,EU5-specific cabinet-estate interaction
estate_power_from_command,,none,EU5-specific estate command mechanic
estate_satisfaction_from_building,,none,EU5-specific estate building satisfaction
eunuch_power,,none,EU5-specific Chinese eunuch mechanic
examine_our_fortifications_price_cost_modifier,,none,EU5-specific fortification action
excluded_from_imperial_protection,,none,EU5-specific HRE mechanic
excluded_from_paying_imperial_contribution,,none,EU5-specific HRE tribute
excluded_from_paying_tithe,,none,EU5-specific religious tithe
excommunication_price_cost_modifier,,none,EU5-specific excommunication cost
exempt_from_tribute_cost_modifier,,none,EU5-specific tribute exemption
expand_aqueduct_system_cost_modifier,,none,EU5-specific aqueduct action
expand_rgo_farming_cost_modifier,,none,EU5-specific RGO/pop system
expand_rgo_forestry_cost_modifier,,none,EU5-specific RGO/pop system
expand_rgo_gathering_cost_modifier,,none,EU5-specific RGO/pop system
expand_rgo_hunting_cost_modifier,,none,EU5-specific RGO/pop system
expand_rgo_mining_cost_modifier,,none,EU5-specific RGO/pop system
expected_army_size,,none,EU5-specific AI expected army size
expected_army_size_modifier,,none,EU5-specific AI expected army size
expected_navy_size,,none,EU5-specific AI expected navy size
expected_navy_size_modifier,,none,EU5-specific AI expected navy size
expected_warscore_modifier,,none,EU5-specific AI warscore expectation
expel_tribals,,none,EU5-specific pop/tribal mechanic
expensive_estate_building_cost_modifier,,none,EU5-specific estate building cost
experience_decay,,none,EU5-specific unit experience system
exploration_maintenance_cost,,none,EU5-specific exploration cost
exploration_mission_speed,,none,EU5-specific exploration mission progress
exploration_mission_speed_modifier,,none,EU5-specific exploration mission progress
exploration_preparation_time_modifier,,none,EU5-specific exploration prep time
export_efficiency,,none,EU5-specific trade export mechanic
export_impact_on_demand,,none,EU5-specific trade export mechanic
extend_regency_cost_modifier,,none,EU5-specific regency action
fate_of_phoenix_actions_price_cost_modifier,,none,EU5-specific event action
favor_buddhist_schools_from_religious_sects_cost_modifier,,none,EU5-specific Buddhist action
favor_god_cost_modifier,,none,EU5-specific religious action
favor_kami_worship_from_religious_sects_cost_modifier,,none,EU5-specific Shinto action
favoring_buddhism,,none,EU5-specific Buddhist sect toggle
female_spouses,,none,EU5-specific polygamy mechanic
flatland_proximity_impact,,none,EU5-specific proximity system
flatland_wasteland_proximity_impact,,none,EU5-specific proximity system
food_consumption_modifier,,none,EU5-specific food/supply system
food_purchase_cost,,none,EU5-specific food purchase mechanic
forbid_marrying_lowborn,,none,EU5-specific marriage restriction
force_army_maintenance,,none,EU5-specific army maintenance floor
force_convert_created_subjects,,none,EU5-specific subject creation option
foreign_export_from_market_cost_modifier,,none,EU5-specific trade export cost
fort_limit,,none,EU5-specific fort limit concept
fort_limit_modifier,,none,EU5-specific fort limit modifier
fort_maintenance_cost,fort_maintenance_modifier,high,Direct equivalent - fort maintenance cost
free_building_cost_modifier,build_cost,medium,Related building cost but EU5 specifies free/subsidized
gender_equality,,none,EU5-specific gender equality flag
german_migration_attraction_modifier,,none,EU5-specific German migration
get_claim_from_imperial_court_cost_modifier,,none,EU5-specific imperial court action
get_marriage_from_imperial_court_cost_modifier,,none,EU5-specific imperial court action
give_colony_rebellion_support_cost_modifier,,none,EU5-specific colony rebellion action
give_colony_representation_cost_modifier,,none,EU5-specific colony representation
global_army_levy_size_modifier,,none,EU5-specific levy system
global_build_buildings_cost,build_cost,high,Both modify all building costs
global_bureaucracy_entrenchment_speed_modifier,,none,EU5-specific bureaucracy system
eu5_modifier,eu4_matches,confidence,notes
global_bureaucracy_implementation_cost_modifier,,none,EU5-specific bureaucracy system
global_bureaucracy_maintenance_cost_modifier,,none,EU5-specific bureaucracy system
global_bureaucracy_removal_cost_modifier,,none,EU5-specific bureaucracy system
