eu5_modifier,eu4_matches,confidence,notes,eu5_localization,eu5_category,eu5_type,eu5_format,eu4_subsection,eu4_description,eu4_effect_type
allelengyon_bureaucracy_impact_modifier,,none,EU5-specific Byzantine bureaucracy mechanic,How much the [bureaucracy|e] affects the [country|e].,country,multiplicative,"percent, good",,,
allow_assembly_parliament,,none,EU5-specific parliament type,Unlocks the Assembly Parliament Type,country,boolean,good,,,
allow_autocratic_parliament,,none,EU5-specific parliament type,Unlocks the Autocratic Parliament Type,country,boolean,good,,,
allow_bureaucracy,,none,EU5-specific bureaucracy system,This allows a [government|e] to have [bureaucracies|e].,country,boolean,good,,,
allow_cabinet_assimilate_area,,none,EU5-specific cabinet action,Allows the [ShowCabinetActionName('assimilate_area')] [cabinet_action|e].,country,boolean,good,,,
allow_cabinet_diplomatic_corps,,none,EU5-specific cabinet action,Allows the [ShowCabinetActionName('cab_diplomatic_corps')] [cabinet_action|e].,country,boolean,good,,,
allow_cabinet_naval_focus,,none,EU5-specific cabinet action,Allows the [ShowCabinetActionName('cab_naval_focus')] [cabinet_action|e].,country,boolean,good,,,
allow_cabinet_reduced_paperwork,,none,EU5-specific cabinet action,Allows the [ShowCabinetActionName('reduced_paperwork')] [cabinet_action|e].,country,boolean,good,,,
allow_cabinet_soldiers_as_workforce,,none,EU5-specific cabinet action,Allows the [ShowCabinetActionName('soldiers_as_workforce')] [cabinet_action|e].,country,boolean,good,,,
allow_conquistadors,may_explore,high,EU4 may_explore covers both explorers and conquistadors,This allows us to gain a new [army_based|e] [subject|e] that has the [ShowGovernmentReformName('conquistador_country')] [government_reform|e].,country,boolean,good,Colonisation,Allows the recruitment of explorers and conquisadors.,Constant
allow_constitutional_parliament,,none,EU5-specific parliament type,Unlocks the Constitutional Parliament Type,country,boolean,good,,,
allow_council_parliament,,none,EU5-specific parliament type,Unlocks the Council Parliament Type,country,boolean,good,,,
allow_diplomacy_force_change_court_language,,none,EU5-specific diplomatic action,Allows to Force a [country|e] to change its [court_language|e] to be the same as ours.,country,boolean,good,,,
allow_diplomacy_force_divert_trade,,none,EU5-specific diplomatic action,Allows us to force a [country|e] to divert part of their [trade|e] to us.,country,boolean,good,,,
allow_diplomacy_force_embargo,,none,EU5-specific diplomatic action,Allows to Force the [ShowRelationTypeName('embargo_nation')] of a [country|e] against another country.,country,boolean,good,,,
allow_diplomacy_influence_nation,,none,EU5-specific diplomatic action,Allows to Influence a [country|e] and improve their [opinion|e] and [trust|e] of our country.,country,boolean,good,,,
allow_diplomacy_violate_sovereignty,,none,EU5-specific diplomatic action,Allows to Violate the Sovereignty of a [country|e] to get [military_access|e] and [food_access|e] from it.,country,boolean,good,,,
allow_estate_parliament,allow_free_estate_privilege_revocation,medium,Match: allow_free_estate_privilege_revocation ↔ allow_estate_parliament,Unlocks the Estate Parliament Type,"country, estate",boolean,good,Estates,Allows to revoke estate privileges without having the loyalty higher than the estates influence,Constant
allow_extensive_conscription_cabinet_action,,none,EU5-specific cabinet action,This allows us to use the [ShowCabinetActionName('byz_extensive_conscription')] [cabinet_action|e].,country,boolean,good,,,
allow_female_cabinet,,none,EU5-specific cabinet gender rule,This allows all female [characters|e] to work in the [cabinet|e].,country,boolean,good,,,
allow_female_leader,may_recruit_female_generals,high,Direct equivalent - allows female military commanders,This allows all female [characters|e] to be a [general|e] or [admiral|e].,country,boolean,good,Military,Allows the recruitment of female generals.,Constant
allow_harmony,,none,EU5-specific harmony toggle (EU4 harmony exists but no allow modifier),This enables the [harmony|e] mechanic.,country,boolean,good,,,
allow_landfriede,,none,EU5-specific HRE Landfriede mechanic,This allows the [hre_emperor|e] to enforce the [ShowCountryInteractionName('enforce_landfriede')] [country_interaction|e].,country,boolean,good,,,
allow_male_cabinet,,none,EU5-specific cabinet gender rule,This allows all male [characters|e] to work in the [cabinet|e].,country,boolean,good,,,
allow_male_leader,,none,EU5-specific gender rule for commanders,This allows all male [characters|e] to be a [general|e] or [admiral|e].,country,boolean,good,,,
allow_mercenary_drill,allow_mercenary_drill,high,Direct equivalent - enables mercenary drilling,,,,,Mercenary,Allows mercenaries the ability to drill. Also works in unit scope.,Constant
allow_mysticism_vs_jurisprudence,,none,EU5-specific religious school mechanic,This allows the country to be shaped between [ShowSocietyDirectionName('mysticism')] and [ShowSocietyDirectionName('jurisprudence')].,country,boolean,good,,,
allow_native_subjugation_cb,cb_on_primitives,high,Both grant CB against natives/primitives,Allows the creation of [ShowCasusBelliName('cb_native_subjugation')].,country,boolean,good,Diplomacy,Allows claims to be fabricated on overseas provinces in colonial regions.,Constant
allow_open_sea_exploration,may_explore,medium,Related exploration permission but EU5 specifies open sea,This allows a [country|e] to start [explore|e] [areas|e] that are open sea.,country,boolean,good,Colonisation,Allows the recruitment of explorers and conquisadors.,Constant
allow_paik_levies,,none,EU5-specific Indian levy type,"This allows us to raise the [ShowUnitDefinitionName('a_early_paik')], [ShowUnitDefinitionName('a_paik_infantry')] and [ShowUnitDefinitionName('a_late_paik_infantry')] [levies|e].",country,boolean,good,,,
allow_privateers_slave_raid,may_perform_slave_raid,medium,Related slave raid mechanic via privateers,This will allow your [privateers|e] to enslave people in unprotected coastal [locations|e].,country,boolean,good,Navy,Allows ships to perform slave raids.,Constant
allow_rgo_slave_demand,,none,EU5-specific pop/RGO system,"This allows us to use [ShowPopTypeName('slaves')] for [rgo|e], in addition to [ShowPopTypeName('laborers')].",country,boolean,good,,,
allow_righteousness,,none,EU5-specific religious mechanic,This enables the [righteousness|e] mechanic.,country,boolean,good,,,
allow_roman_movement,,none,EU5-specific Latin/Roman revival mechanic,Allows the [ShowMovementDefinitionName('roman_culture_movement')] [movement|e] to spawn.,country,boolean,good,,,
allow_safe_refuge_cost_modifier,,none,EU5-specific diplomatic action,This impacts the [costs|e] of [ShowGenericActionName('allow_safe_refuge')].,country,multiplicative,"percent, bad",,,
allow_self_control,,none,EU5-specific mechanic,This enables the [self_control|e] mechanic.,country,boolean,good,,,
allow_slave_conversion,,none,EU5-specific pop mechanic,This allows [converting|e] of [ShowPopTypeName('slaves')] to a new [religion|e].,country,boolean,good,,,
allow_smartism_gods,,none,EU5-specific religious system,This enables interaction with the [ShowPolicyName('smartism')] Gods,country,boolean,good,,,
allow_subjects,allow_client_states,medium,Related - EU4 allow_client_states is narrower subset of subjects,This allows a [country|e] to have [subjects|e].,country,boolean,good,Subject,Allows a country to create client states.,Constant
allow_thema_headquarters,,none,EU5-specific Byzantine mechanic,This allows us to construct the [ShowBuildingTypeName('thema_headquarters')] [building|e].,country,boolean,good,,,
allow_tributary_subject,,none,EU5-specific (EU4 tributaries handled differently),This allows the [country|e] to have [ShowSubjectTypeName('tributary')] [subjects|e].,country,boolean,good,,,
allow_tribute_in_silver,,none,EU5-specific tribute mechanic,This allows us to demand [ShowGoodsName('silver')] from our [subjects|e] in the [GetUniqueInternationalOrganization('middle_kingdom').GetName].,country,boolean,good,,,
allowed_alliance,,none,EU5-specific diplomatic permission flag,This allows the [country|e] to sign an [alliance|e].,country,boolean,good,,,
allowed_enforce_peace,,none,EU5-specific diplomatic permission flag,This allows the [country|e] to enforce [peace|e] in another [war|e].,country,boolean,good,,,
allowed_guarantee,,none,EU5-specific diplomatic permission flag,This allows the [country|e] to [guarantee|e] another country.,country,boolean,good,,,
allowed_intervene_in_war,,none,EU5-specific diplomatic permission flag,This allows the [country|e] to intervene in another [war|e].,country,boolean,good,,,
allowed_support_rebels,,none,EU5-specific diplomatic permission flag,This allows the [country|e] to [support_rebels|e] in another country.,country,boolean,good,,,
allowed_threaten_war,,none,EU5-specific diplomatic permission flag,This allows the [country|e] to threated another country with [war|e].,country,boolean,good,,,
allows_hanseatic_federation_buildings,,none,EU5-specific Hanseatic mechanic,Grants access to the [ShowBuildingTypeName('hanseatic_kontor')] and [ShowBuildingTypeName('hanseatic_shipwright_guild')] buildings.,country,boolean,good,,,
always_allow_army_levies,,none,EU5-specific levy system,"Allows a [country|e] to always raise their [army_levies|e], even when they are not at [war|e] and have no [rebels|e].",country,boolean,good,,,
always_allow_levies,free_leader_pool,high,Semantic match: free_leader_pool ↔ always_allow_levies,"Allows a [country|e] to always raise their [army_levies|e] and [navy_levies|e], even when they are not at [war|e] and have no [rebels|e].",country,boolean,good,Military,Adds to the maximum amount of free leaders (both land leaders and navy leaders pool).,Additive
always_allow_navy_levies,,none,EU5-specific levy system,"Allows a [country|e] to always raise their [navy_levies|e], even when they are not at [war|e] and have no [rebels|e].",country,boolean,good,,,
amount_looted_modifier,loot_amount,high,Both modify amount of loot taken,This impacts the amount an [army|e] can [loot|e].,unit,multiplicative,"percent, good",Military,Modifies the amount of loot taken at once during looting.,Multiplicative
annexation_speed_base,years_to_integrate_personal_union,high,Related to annexation/integration speed but EU4 is PU-specific,This impacts how quickly a [subject|e] can be [annexed|e].,country,,good,Subject,Adds to the years it takes to integrate a personal union,Additive
annexation_speed_modifier,global_integration_speed_modifier;annexation_relations_impact;administrative_efficiency,high,Both modify integration/annexation speed; Loose match - EU4 annexation_relations_impact (diplomatic penalty during annexation) mapped to EU5 annexation speed; both relate to the annexation process; Direct match - EU4 administrative_efficiency (reduces annexation & coring costs) mapped to EU5 annexation speed; both make territorial integration cheaper/faster,This impacts how quickly a [subject|e] can be [annexed|e].,country,multiplicative,"percent, good",,,
antagonism_breaking_truce_giving_modifier,,none,EU5-specific antagonism mechanic,This impacts how much [antagonism|e] we feel towards a [country|e] when they break a truce.,country,multiplicative,"percent, neutral",,,
antagonism_culture_influence,,none,EU5-specific antagonism mechanic,This impacts how much [culture|e] affects a [country|e]'s [antagonism|e] towards others.,country,,"percent, neutral",,,
antagonism_government_type_influence,,none,EU5-specific antagonism mechanic,This impacts how much [government_type|e] affects a [country|e]'s [antagonism|e] towards others.,country,,"percent, neutral",,,
antagonism_language_influence,,none,EU5-specific antagonism mechanic,This impacts how much [language|e] affects a [country|e]'s [antagonism|e] towards others.,country,,"percent, neutral",,,
antagonism_monthly_change_modifier,,none,EU5-specific antagonism mechanic,This impacts how temporary sources of [antagonism|e] decay for a [country|e] every month.,country,multiplicative,good,,,
antagonism_peace_treaty_demands_giving_modifier,,none,EU5-specific antagonism mechanic,This impacts how much [antagonism|e] we feel towards a [country|e] when they take things from another in a peace treaty.,country,multiplicative,"percent, neutral",,,
antagonism_received_modifier,,none,EU5-specific antagonism mechanic,This impacts how much [antagonism|e] a [country|e] generates from its actions.,country,multiplicative,"percent, bad",,,
antagonism_religion_influence,,none,EU5-specific antagonism mechanic,This impacts how much [religion|e] affects a [country|e]'s [antagonism|e] towards others.,country,,"percent, neutral",,,
antagonism_revolution_influence,,none,EU5-specific antagonism mechanic,This impacts how much a Revolution affects a [country|e]'s [antagonism|e] towards others.,country,,"percent, neutral",,,
antagonism_societal_value_influence,,none,EU5-specific antagonism mechanic,This impacts how much differing [societal_values|e] affect a [country|e]'s [antagonism|e] towards others.,country,,"percent, neutral",,,
antagonism_taking_land_giving_modifier,,none,EU5-specific antagonism mechanic,This impacts how much [antagonism|e] we feel towards a [country|e] when they take land from another.,country,multiplicative,"percent, neutral",,,
anti_piracy_warfare_modifier,,none,EU5-specific anti-piracy warfare bonus,This impacts the [anti_piracy_warfare|e] of [navies|e].,unit,multiplicative,"percent, good",,,
any_pop_can_be_slave,,none,EU5-specific pop mechanic,Any [pop|e] captured or bought as a slave will stay a slave.,country,boolean,good,,,
appanage_prevented_from_call_to_war,,none,EU5-specific appanage subject type,Disallowed from Call Appanage to War,country,boolean,good,,,
appease_nobles_estate_from_shogun_court_cost_modifier,,none,EU5-specific shogun court action,This impacts the [costs|e] of [ShowGenericActionName('appease_nobles_estate_from_shogun_court')].,"country, estate",multiplicative,"percent, bad",,,
appoint_as_heir_price_cost_modifier,,none,EU5-specific character action,This impacts the [costs|e] for the [ShowCharacterInteractionName('appoint_as_heir')] [character_interaction|e].,country,multiplicative,"percent, bad",,,
aqueduct_system_max_level,,none,EU5-specific building system,This modifies how many levels the [ShowBuildingTypeName('aqueduct_system')] can have.,country,additive,good,,,
army_artillery_build_cost_modifier,artillery_cost,high,Both modify artillery construction cost,This impacts how much it costs to [recruit|e] a [ShowUnitCategoryName('army_artillery')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of artillery units.,Multiplicative
army_artillery_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just artillery,This impacts how much it costs to [maintain|e] a [ShowUnitCategoryName('army_artillery')].,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_artillery_power,artillery_power;backrow_artillery_damage;fire_damage,high,Both modify artillery power from pips; Direct match - EU4 backrow artillery damage = EU5 artillery power; both increase artillery combat effectiveness; Also loosely matches EU4 fire_damage (phase-based fire damage) since artillery contributes to fire phase,This impacts the [combat|e] ability of [ShowUnitCategoryName('army_artillery')] [regiments|e].,"unit, army",,"percent, good",Military,Modifies the power artillery gain from unit pips.,Multiplicative
army_artillery_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just artillery,This impacts how much it costs to [reinforce|e] a [ShowUnitCategoryName('army_artillery')].,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_auxiliary_build_cost_modifier,global_regiment_cost,medium,Semantic match: global_regiment_cost ↔ army_auxiliary_build_cost_modifier,This impacts how much it costs to [recruit|e] a [ShowUnitCategoryName('army_auxiliary')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base unit cost for all land units.,Multiplicative
army_auxiliary_maintenance_cost_modifier,global_regiment_cost,high,Semantic match: global_regiment_cost ↔ army_auxiliary_maintenance_cost_modifier,This impacts how much it costs to [maintain|e] a [ShowUnitCategoryName('army_auxiliary')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base unit cost for all land units.,Multiplicative
army_auxiliary_power,,none,EU5 per-unit-type combat power modifier (auxiliaries have combat_power=0.25); EU4 shock_damage is phase-based global damage modifier — different mechanical systems,This impacts the [combat|e] ability of [ShowUnitCategoryName('army_auxiliary')] [regiments|e].,"unit, army",,"percent, good",,,
army_auxiliary_reinforce_cost_modifier,global_regiment_cost,medium,Semantic match: global_regiment_cost ↔ army_auxiliary_reinforce_cost_modifier,This impacts how much it costs to [reinforce|e] a [ShowUnitCategoryName('army_auxiliary')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base unit cost for all land units.,Multiplicative
army_disembark_speed,regiment_disembark_speed,high,Direct equivalent - army disembark speed from ships,This impacts how fast an [army|e] can [disembark|e] from a [navy|e] to an adjacent [location|e].,"unit, army",,"percent, good",Navy,Modifies the speed in which units disembark.,Multiplicative
army_food_gathering,,none,EU5-specific food/supply system,How much food will be gathered by the army per 1000 soldiers,"unit, army",,good,,,
army_food_gathering_modifier,,none,EU5-specific food/supply system,Multiplies the food gathered by the army per 1000 soldiers,"unit, army",multiplicative,"percent, good",,,
army_heavy_cavalry_build_cost_modifier,cavalry_cost,high,EU5 splits cavalry - both apply to heavy cavalry cost,This impacts how much it costs to [recruit|e] a [ShowUnitCategoryName('army_heavy_cavalry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of cavalry units.,Multiplicative
army_heavy_cavalry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just cavalry,This impacts how much it costs to [maintain|e] a [ShowUnitCategoryName('army_heavy_cavalry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_heavy_cavalry_power,cavalry_power;shock_damage,high,EU5 splits cavalry - both modify heavy cavalry power; Loose match - EU4 shock_damage (phase-based shock damage) mapped to EU5 heavy_cavalry_power; heavy cavalry excel in shock phase,This impacts the [combat|e] ability of [ShowUnitCategoryName('army_heavy_cavalry')] [regiments|e].,"unit, army",,"percent, good",Military,Modifies the power cavalry gain from unit pips.,Multiplicative
army_heavy_cavalry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just cavalry,This impacts how much it costs to [reinforce|e] a [ShowUnitCategoryName('army_heavy_cavalry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_heavy_infantry_build_cost_modifier,infantry_cost,high,EU5 splits infantry - both apply to heavy infantry cost,This impacts how much it costs to [recruit|e] a [ShowUnitCategoryName('army_heavy_infantry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of infantry units.,Multiplicative
army_heavy_infantry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just infantry,This impacts how much it costs to [maintain|e] a [ShowUnitCategoryName('army_heavy_infantry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_heavy_infantry_power,infantry_power;shock_damage,high,EU5 splits infantry - both modify heavy infantry power from pips; Loose match - EU4 shock_damage (phase-based shock damage) mapped to EU5 heavy_infantry_power; heavy infantry are primary shock dealers,This impacts the [combat|e] ability of [ShowUnitCategoryName('army_heavy_infantry')] [regiments|e].,"unit, army",,"percent, good",Military,Modifies the power infantry gain from unit pips.,Multiplicative
army_heavy_infantry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just infantry,This impacts how much it costs to [reinforce|e] a [ShowUnitCategoryName('army_heavy_infantry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_initiative,cavalry_flanking,medium,EU5 initiative = engagement chance per hour (0.1 + initiative*0.02 + hours*0.01); completely unrelated to EU4 phase-based shock_damage; Loose match - EU4 cavalry_flanking (flanking effectiveness) mapped to EU5 initiative (engagement chance); both affect tactical positioning in battle,This impacts the [initiative|e] of a [regiment|e] in [battle|e].,"unit, army",,"percent, good",,,
army_light_cavalry_build_cost_modifier,cavalry_cost,high,EU5 splits cavalry - both apply to light cavalry cost,This impacts how much it costs to [recruit|e] a [ShowUnitCategoryName('army_light_cavalry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of cavalry units.,Multiplicative
army_light_cavalry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just cavalry,This impacts how much it costs to [maintain|e] a [ShowUnitCategoryName('army_light_cavalry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_light_cavalry_power,cavalry_power;fire_damage,high,EU5 splits cavalry - both modify light cavalry power; Loose match - EU4 fire_damage (phase-based fire damage) mapped to EU5 light_cavalry_power; light cavalry contribute to fire phase,This impacts the [combat|e] ability of [ShowUnitCategoryName('army_light_cavalry')] [regiments|e].,"unit, army",,"percent, good",Military,Modifies the power cavalry gain from unit pips.,Multiplicative
army_light_cavalry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just cavalry,This impacts how much it costs to [reinforce|e] a [ShowUnitCategoryName('army_light_cavalry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_light_infantry_build_cost_modifier,infantry_cost,high,EU5 splits infantry - both apply to light infantry cost,This impacts how much it costs to [recruit|e] a [ShowUnitCategoryName('army_light_infantry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the base cost of infantry units.,Multiplicative
army_light_infantry_maintenance_cost_modifier,land_maintenance_modifier,medium,EU4 covers all land maintenance not just infantry,This impacts how much it costs to [maintain|e] a [ShowUnitCategoryName('army_light_infantry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_light_infantry_power,infantry_power;fire_damage,high,EU5 splits infantry - both modify light infantry power; Loose match - EU4 fire_damage (phase-based fire damage) mapped to EU5 light_infantry_power; light infantry typically deal fire-phase damage,This impacts the [combat|e] ability of [ShowUnitCategoryName('army_light_infantry')] [regiments|e].,"unit, army",,"percent, good",Military,Modifies the power infantry gain from unit pips.,Multiplicative
army_light_infantry_reinforce_cost_modifier,reinforce_cost_modifier,medium,EU4 covers all reinforcement not just infantry,This impacts how much it costs to [reinforce|e] a [ShowUnitCategoryName('army_light_infantry')].,"country, army",multiplicative,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_logistics_distance,,none,EU5-specific logistics/supply system,This impacts how far an [army|e] can trace for a [food_source|e].,"unit, army",,good,,,
army_logistics_distance_modifier,,none,EU5-specific logistics/supply system,$MODIFIER_TYPE_DESC_army_logistics_distance$,"unit, army",multiplicative,"percent, good",,,
army_losses_in_war_cost_modifier,global_regiment_cost,high,Semantic match: global_regiment_cost ↔ army_losses_in_war_cost_modifier,This impacts the [costs|e] of [army|e] losses during a [war|e].,"country, army",multiplicative,"percent, bad",Military,Modifies the base unit cost for all land units.,Multiplicative
army_maintenance_efficiency,land_maintenance_modifier,high,Both modify effective land maintenance costs,This changes how much [gold|e] and [manpower|e] is required to maintain a [regiment|e].,"unit, army",,"percent, good",Military,Modifies the maintenance cost of all land units.,Multiplicative
army_movement_speed,movement_speed,high,Direct equivalent - land unit movement speed,This impacts how fast an [army|e] can move between [locations|e].,"unit, army",,"percent, good",Military,Modifies the base movement speed for all land units.,Multiplicative
army_reinforce_cost,reinforce_cost_modifier,high,Direct equivalent - reinforcement cost,Army Reinforcement Cost,"unit, army",,"percent, bad",Military,Modifies the cost of reinforcements when units are reinforced.,Multiplicative
army_tradition_decay,army_tradition_decay,high,Direct equivalent - army tradition decay rate,This modifies the percentage of the current [army_tradition|e] of a [regiment|e] that decays each month.,"country, army",,"percent, bad",Military,Adds to the decay rate of army tradition.,Additive
army_tradition_from_battle,army_tradition_from_battle,high,Direct equivalent - army tradition gained from battle,This impacts the amount of [army_tradition|e] a [country|e] get from their [armies|e] participating in a [battle|e].,"country, army",,"percent, good",Military,Modifies the army tradition bonus when gained through battles.,Multiplicative
army_weight_modifier,,none,EU5-specific army weight/supply mechanic,"This impacts the [unit_weight|e] of a [regiment|e], which can have an effect on the [attrition|e] it will take.","unit, army",multiplicative,"percent, bad",,,
artillery_bonus_vs_fort,artillery_levels_available_vs_fort,medium,Related artillery-vs-fort bonus but different implementation,This impacts the bonus that [ShowUnitCategoryName('army_artillery')] gives during a [siege|e].,country,,good,Military,Adds to the maximum levels of artillery on siege,Additive
artist_salary_modifier,,none,EU5-specific artist/culture system,This impacts the amount of [gold|e] that [artists|e] require.,country,multiplicative,"percent, bad",,,
assault_ability,assault_fort_ability,high,Direct equivalent - fort assault effectiveness,This impacts how well an [army|e] can perform an [assault|e].,unit,,"percent, good",Military,Modifies the damage the troops deal to the garrison when assaulting a fort.,Multiplicative
assign_despot_price_cost_modifier,,none,EU5-specific Byzantine mechanic,Assign as Despótēs Price Cost Modifier,country,multiplicative,"percent, bad",,,
atoll_proximity_impact,,none,EU5-specific proximity/geography system,This impacts the [proximity|e] cost when going through [ShowTopographyName('atoll')].,country,,"percent, bad",,,
attract_condottieri_price_cost_modifier,possible_condottieri,medium,Related condottieri mechanic but different aspect (cost vs limit),Attract Condottieri Cost,country,multiplicative,"percent, bad",Military,Modifies the base condottieri limit.,Multiplicative
auto_conquer_at_war,,none,EU5-specific auto-conquer flag,This allows our [armies|e] to [conquer|e] a [location|e] automatically as soon as they [occupy|e] it.,country,boolean,good,,,
auto_conquer_different_religion_at_war,,none,EU5-specific auto-conquer flag,"This allows our [armies|e] to [conquer|e] a [location|e] owned by a different [religion_group|e] automatically, as soon as they [occupy|e] it.",country,boolean,good,,,
auto_slave_raid,may_perform_slave_raid,medium,Match: may_perform_slave_raid ↔ auto_slave_raid,This would allow [armies|e] to enslave part of all [pops|e] when [occupying|e] a [location|e].,country,boolean,good,Navy,Allows ships to perform slave raids.,Constant
auto_slave_raid_different_religion,may_perform_slave_raid_on_same_religion,high,Match: may_perform_slave_raid_on_same_religion ↔ auto_slave_raid_different_religion,This would allow [armies|e] to enslave part of all [pops|e] of a different [religion_group|e] when [occupying|e] a [location|e].,country,boolean,good,Navy,Grants the abiliy to conduct slave raids against nations that share the same religion.,Constant
bank_interest,interest,high,Direct equivalent - loan interest rate,This impacts the [interest|e] for [loans|e] taken from the national bank.,country,,"percent, bad",Economy,Adds to the base interest rate.,Additive
baptize_ruler_from_kirishitan_cost_modifier,,none,EU5-specific Japanese Kirishitan action,This impacts the [costs|e] of [ShowGenericActionName('baptize_ruler_from_kirishitan')].,country,multiplicative,"percent, bad",,,
become_shogun_from_imperial_court_cost_modifier,,none,EU5-specific shogunate mechanic,This impacts the [costs|e] of [ShowGenericActionName('become_shogun_from_imperial_court')].,country,multiplicative,"percent, good",,,
blame_the_minorities_cost_modifier,,none,EU5-specific plague/disaster action,This impacts the [costs|e] of [ShowGenericActionName('blame_the_minorities')].,country,multiplicative,"percent, bad",,,
blind_character_price_cost_modifier,,none,EU5-specific character action,Blind Price Cost Modifier,country,multiplicative,"percent, bad",,,
block_female_cabinet,,none,EU5-specific cabinet gender rule,This blocks all female [characters|e] from working in the [cabinet|e].,country,boolean,bad,,,
block_female_leader,,none,EU5-specific gender rule for commanders,This blocks all female [characters|e] from being a [general|e] or [admiral|e].,country,boolean,bad,,,
block_male_cabinet,,none,EU5-specific cabinet gender rule,This blocks all male [characters|e] from working in the [cabinet|e].,country,boolean,bad,,,
