subsection,modifier,example,description,effect_type
Military,leader_land_manuever,1,Adds to the minimum maneuver pip count a leader can be generated with.,Additive
Military,leader_land_shock,1,Adds to the minimum shock pip count a leader can be generated with.,Additive
Military,leader_siege,1,Adds to the minimum siege pip count a leader can be generated with.,Additive
Military,max_general_fire,1,Adds to the max amounts of fire pips a leader can have.,Additive
Military,max_general_maneuver,1,Adds to the max amounts of maneuver pips a leader can have.,Additive
Military,max_general_shock,1,Adds to the max amounts of shock pips a leader can have.,Additive
Military,max_general_siege,1,Adds to the max amounts of siege pips a leader can have.,Additive
Military,general_cost,-0.10,Modifies the base military power cost for recruiting Generals.,Multiplicative
Military,free_leader_pool,1,Adds to the maximum amount of free leaders (both land leaders and navy leaders pool).,Additive
Military,free_land_leader_pool,1,Adds to the maximum amount of free land leaders.,Additive
Military,free_navy_leader_pool,1,Adds to the maximum amount of free navy leaders.,Additive
Military,raze_power_gain,0.10,Modifies the amount of monarch power gained from razing.,Multiplicative
Military,loot_amount,0.10,Modifies the amount of loot taken at once during looting.,Multiplicative
Military,available_province_loot,0.10,Modifies the amount of loot available in a province.,Multiplicative
Military,prestige_from_land,0.10,Modifies the prestige bonus from combat.,Multiplicative
Military,war_taxes_cost_modifier,-0.10,Modifies the military power cost for raising war taxes.,Multiplicative
Military,leader_cost,-0.10,Modifies the military power cost for hiring leaders.,Multiplicative
Military,may_recruit_female_generals,yes,Allows the recruitment of female generals.,Constant
Military,manpower_in_true_faith_provinces,0.10,Modifies the amount of manpower gained from provinces that follow the true faith of a country.,Multiplicative
Military,regiment_manpower_usage,-0.1,Modifies the manpower usage for reinforcement by regiments.,Multiplicative
Military,military_tactics,0.25,"Modifies the amount of Military tactics your armies have. Military tactics reduces the amount of damage a country's troops take in combat. When set in ideas it shows up like a multiplicative % modifier, but it is treated like an additive one.",Additive
Military,capped_by_forcelimit,yes,Forbids countries to go over their forcelimit,Constant
Military,global_attacker_dice_roll_bonus,1,Adds to the global attacker dice roll bonus,Additive
Military,global_defender_dice_roll_bonus,1,Adds to the global defender dice roll bonus,Additive
Military,own_territory_dice_roll_bonus,1,Adds to the dice roll bonus for the territory owner,Additive
Military,manpower_in_accepted_culture_provinces,0.10,Modifies the manpower in your accepted culture provinces but not in the provinces of your primary culture,Multiplicative
Military,manpower_in_culture_group_provinces,0.1,Modifies the manpower in the provinces of your culture group,Multiplicative
Military,manpower_in_own_culture_provinces,0.10,Modifies the manpower in the provinces with your own culture,Multiplicative
Military,may_build_supply_depot,yes,Allows a country to build supply depots,Constant
Military,may_refill_garrison,yes,Allows a country to refill garrisons from armies,Constant
Military,may_return_manpower_on_disband,yes,Allows a country to regain the manpower of units they are disbanding,Constant
Military,attack_bonus_in_capital_terrain,1,Grants attack bonus in provinces with the same terrain as capital province.,Additive
Military,can_bypass_forts,yes,Allows units to ignore fort zones of control.,Constant
Military,force_march_free,yes,Allows usage of the ‘Force March’ action for free.,Constant
Military,enable_forced_march,yes,Allows to use Force March regardless of current tech level.,Constant
Military,warscore_from_battles_modifier,0.1,Modifiers the amount of war score a country gain from land and naval battles.,Multiplicative
Mercenary,mercenary_cost,-0.10,Modifies the base cost for mercenary units.,Multiplicative
Mercenary,merc_maintenance_modifier,-0.10,Modifies the maintenance cost of all mercenary units.,Multiplicative
Mercenary,mercenary_discipline,0.10,Modifies the discipline of mercenary units.,Multiplicative
Mercenary,mercenary_manpower,0.10,Modifies the amount of manpower mercenary companies have.,Multiplicative
Mercenary,merc_leader_army_tradition,0.5,Modifies the army tradition a leader of a merc company is spawned with.,Multiplicative
Mercenary,allow_mercenary_drill,yes,Allows mercenaries the ability to drill. Also works in unit scope.,Constant
Mercenary,merc_independent_from_trade_range,yes,Allows a country to recruit merc companies which have their home in provinces which are outside your trade range.,Constant
Mercenary,allow_mercenaries_to_split,yes,"Allow mercenaries to split (as of 1.37, only works using split hotkey). They are supposed to be able to merge with regiments of their own company, but as of 1.37, this functionality is broken. Using the hotkey to create a new unit also creates empty 0-stacks that cannot be readjusted.",Constant
Special Regiments,special_unit_forcelimit,0.10,Modifies the allowed forcelimit of special units.,Multiplicative
Special Regiments,special_unit_cost_modifier,-0.2,Modifies the recruitment cost of special units.,Multiplicative
Special Regiments,special_unit_manpower_cost_modifier,-0.2,"Modifies the manpower/sailors cost for recruitment of special units. As of 1.37, does not work on marines.",Multiplicative
Special Regiments,has_marines,yes,Allows the usage of Marine units. Basically it's always yes.,Constant
Special Regiments,allowed_marine_fraction,0.1,Modifies the amount of marines allowed to be recruited.,Multiplicative
Special Regiments,has_banners,yes,"Allows the usage of Manchu banner units. It also requires the province to have the ""local_has_banners = yes"" modifier.",Constant
Special Regiments,amount_of_banners,0.10,Modifies the maximum amount of banners available.,Multiplicative
Special Regiments,can_recruit_cawa,yes,Allows the usage of Cawa units. Doesn't work properly in 1.35.3,Constant
Special Regiments,amount_of_cawa,0.15,Modifies the maximum amount of Cawa units available.,Multiplicative
Special Regiments,cawa_cost_modifier,-0.10,Modifies the military power cost for recruiting Cawa units.,Multiplicative
Special Regiments,has_carolean,yes,"Allows the usage of Carolean units. It also requires the province to have the ""local_has_carolean = yes"" modifier.",Constant
Special Regiments,amount_of_carolean,0.25,Modifies the maximum amount of Carolean units available.,Multiplicative
Special Regiments,can_recruit_hussars,yes,Allows the usage of Winged Hussar units. (Winged Hussars can only be recruited in provinces where the culture is either part of the primary group or accepted.),Constant
Special Regiments,amount_of_hussars,4,Adds to the maximum amount of Winged Hussar units available.,Additive
Special Regiments,hussars_cost_modifier,-0.1,"(Recruiting Winged Hussars costs nothing, so this modifier seems to be practically non-functional)",Multiplicative
Special Regiments,can_recruit_janissaries,yes,Allows the usage of Janissary units.,Constant
Special Regiments,janissary_cost_modifier,-0.33,Modifies the military power cost for recruiting Janissary units.,Multiplicative
Special Regiments,allow_janissaries_from_own_faith,yes,Allows to recruit Janissary units in true faith provinces as well as heathen provinces.,Constant
Special Regiments,can_recruit_cossacks,yes,Allows the usage of Cossack units.,Constant
Special Regiments,allowed_cossack_fraction,0.5,Modifies the amount of cossacks that can be recruited.,Multiplicative
Special Regiments,can_recruit_rajputs,yes,Allows the usage of Rajput units.,Constant
Special Regiments,allowed_rajput_fraction,0.5,Modifies the amount of rajputs that can be recruited.,Multiplicative
Special Regiments,can_recruit_revolutionary_guards,yes,Allows the usage of Revolutionary Guard units.,Constant
Special Regiments,allowed_rev_guard_fraction,0.2,Modifies the amount of revolutionary guards that can be recruited.,Multiplicative
Special Regiments,has_streltsy,yes,"Allows the usage of Streltsy units. It also requires the province to have the ""local_has_streltsy = yes"" modifier.",Constant
Special Regiments,allowed_streltsy_fraction,0.2,Modifies the amount of streltsy that can be recruited.,Multiplicative
Special Regiments,amount_of_streltsy,1,Adds to the maximum amount of Streltsy units available.,Additive
Special Regiments,has_tercio,yes,"Allows the usage of Tercio units. It also requires the province to have the ""local_has_tercio = yes"" modifier.",Constant
Special Regiments,allowed_tercio_fraction,0.1,Modifies the amount of tercios that can be recruited.,Multiplicative
Special Regiments,amount_of_tercio,1,Adds to the maximum amount of Tercio units available.,Additive
Special Regiments,has_samurai,yes,"Allows the usage of Samurai units. It also requires the province to have the ""local_has_samurai = yes"" modifier.",Constant
Special Regiments,allowed_samurai_fraction,0.1,Modifies the amount of samurai that can be recruited.,Multiplicative
Special Regiments,amount_of_samurai,5,Adds to the maximum amount of Samurai units available.,Additive
Special Regiments,has_musketeer,yes,"Allows the usage of Musketeer units. It also requires the province to have the ""local_has_musketeers = yes"" modifier.",Constant
Special Regiments,allowed_musketeer_fraction,0.15,Modifies the amount of musketeers that can be recruited.,Multiplicative
Special Regiments,amount_of_musketeers,1,Adds to the maximum amount of Musketeer units available.,Additive
Special Regiments,has_mamluks,yes,"Allows the usage of Mamluk units. It also requires the province to have the ""local_has_mamluks = yes"" modifier.",Constant
Special Regiments,allowed_mamluks_fraction,0.2,Modifies the amount of mamluks that can be recruited.,Multiplicative
Special Regiments,amount_of_mamluks,1,Adds to the maximum amount of Mamluk units available.,Additive
Special Regiments,has_qizilbash,yes,"Allows the usage of Qizilbash units. It also requires the province to have the ""local_has_qizilbash = yes"" modifier.",Constant
Special Regiments,allowed_qizilbash_fraction,0.2,Modifies the amount of qizilbash that can be recruited.,Multiplicative
Special Regiments,amount_of_qizilbash,6,Adds to the maximum amount of Qizilbash units available.,Additive
Navy,navy_tradition,1,Adds to the yearly navy tradition rate.,Additive
Navy,navy_tradition_decay,-0.01,Adds to the decay rate of navy tradition.,Additive
Navy,naval_tradition_from_battle,0.1,Modifies the base navy tradition gained from battles.,Multiplicative
Navy,naval_tradition_from_trade,0.1,Modifies the base navy tradition gained from protecting trade.,Multiplicative
Navy,heavy_ship_cost,-0.1,Modifies the base cost of heavy ships.,Multiplicative
Navy,heavy_ship_power,0.1,Modifies the power heavy ships gain from unit pips.,Multiplicative
Navy,light_ship_cost,-0.1,Modifies the base cost of light ships.,Multiplicative
Navy,light_ship_power,0.1,Modifies the power light ships gain from unit pips.,Multiplicative
Navy,galley_cost,-0.1,Modifies the base cost of galley ships.,Multiplicative
Navy,galley_power,0.1,Modifies the power galley ships gain from unit pips.,Multiplicative
Navy,transport_cost,-0.1,Modifies the base cost of transport ships.,Multiplicative
Navy,transport_power,0.1,Modifies the power transport ships gain from unit pips.,Multiplicative
Navy,global_ship_cost,-0.1,Modifies the base cost of all ships.,Multiplicative
Navy,global_ship_recruit_speed,-0.1,Modifies the base recruitment speed of all ships.,Multiplicative
Navy,global_ship_repair,0.1,Modifies the base repair speed (in port) of all ships.,Multiplicative
Navy,naval_forcelimit,1,Adds to a country's naval force limit.,Additive
Navy,naval_forcelimit_modifier,0.1,Modifies a country's naval force limit.,Multiplicative
Navy,naval_maintenance_modifier,-0.1,Modifies the naval maintenance for all ships.,Multiplicative
Navy,global_sailors,1000,Adds to a country's maximum sailor pool.,Additive
Navy,global_sailors_modifier,0.1,Modifies a country's maximum sailor pool.,Multiplicative
Navy,sailor_maintenance_modifer,-0.1,Modifies the sailor maintenance for all ships.,Multiplicative
Navy,sailors_recovery_speed,0.1,Modifies the sailor recovery rate for all ships.,Multiplicative
Navy,blockade_efficiency,0.1,Modifies the efficiency of blockades against enemies.,Multiplicative
Navy,siege_blockade_progress,1,Modifies the bonus siege status by blockaded.,Additive
Navy,capture_ship_chance,0.1,Adds to the chance for ship capture during naval battles.,Additive
Navy,global_naval_engagement_modifier,0.1,Modifies the maximum naval engagement width.,Multiplicative
Navy,global_naval_engagement,1,Adds to the maximum naval engagement width.,Additive
Navy,naval_attrition,-0.1,Modifies the naval attrition taken by ships.,Multiplicative
Navy,naval_morale,0.1,Modifies the naval morale of all ships.,Multiplicative
Navy,naval_morale_constant,0.1,Adds to the naval morale of all ships.,Additive
Navy,naval_morale_damage,0.15,Modifies the morale damage done by naval units.,Multiplicative
Navy,naval_morale_damage_received,-0.15,Modifies the morale damage taken by naval units.,Multiplicative
Navy,ship_durability,0.1,Modifies the durability of all ships.,Multiplicative
Navy,sunk_ship_morale_hit_recieved,-0.1,Modifies the morale damage taken during battle by losing ships.,Multiplicative
Navy,recover_navy_morale_speed,0.1,Modifies the morale recovery rate of ships.,Multiplicative
Navy,prestige_from_naval,0.1,Modifies the prestige gained through naval battles.,Multiplicative
Navy,leader_naval_fire,1,Adds to the minimum fire pip count a leader can be generated with.,Additive
Navy,leader_naval_manuever,1,Adds to the minimum maneuver pip count a leader can be generated with.,Additive
Navy,leader_naval_shock,1,Adds to the minimum shock pip count a leader can be generated with.,Additive
Navy,max_admiral_fire,1,Adds to the max amounts of fire pips a leader can have.,Additive
Navy,max_admiral_maneuver,1,Adds to the max amounts of maneuver pips a leader can have.,Additive
Navy,max_admiral_shock,1,Adds to the max amounts of shock pips a leader can have.,Additive
Navy,max_admiral_siege,1,Adds to the max amounts of siege pips a leader can have.,Additive
Navy,own_coast_naval_combat_bonus,1.0,Modifies the combat bonus navies gain when sailing in coastal tiles that border their home nation.,Multiplicative
Navy,admiral_cost,-0.1,Modifies the cost of hiring an admiral.,Multiplicative
Navy,global_naval_barrage_cost,-0.1,Modifies the cost for using the ‘Naval Barrage’ action.,Multiplicative
Navy,flagship_cost,-0.1,Modifies the cost of building a flagship.,Multiplicative
Navy,disengagement_chance,0.05,Modifies the chance of disengagement for ships during battle.,Multiplicative
Navy,transport_attrition,-0.5,Modifies the attrition units takes while being on ships.,Multiplicative
Navy,landing_penalty,-2,Adds to the combat penalty when landing.,Additive
Navy,regiment_disembark_speed,0.25,Modifies the speed in which units disembark.,Multiplicative
Navy,may_perform_slave_raid,yes,Allows ships to perform slave raids.,Constant
Navy,may_perform_slave_raid_on_same_religion,yes,Grants the abiliy to conduct slave raids against nations that share the same religion.,Constant
Navy,coast_raid_range,1,Adds to the amounts of sea tiles a country can raid in.,Additive
Navy,sea_repair,yes,Allows ships to repair in coastal sea zones adjacent to owned provinces.,Constant
Navy,movement_speed_in_fleet_modifier,1,Modifies the movement speed for ships.,Additive
Navy,max_flagships,1,Adds to the number of flagships a country can have at the same time.,Additive
Navy,number_of_cannons,10,Adds to the number of cannons for all ships.,Additive
Navy,number_of_cannons_modifier,0.1,Modifies the number of cannons for all ships.,Multiplicative
Navy,heavy_ship_number_of_cannons_modifier,0.1,Modifies the number of cannons for heavy ships.,Multiplicative
Navy,light_ship_number_of_cannons_modifier,0.1,Modifies the number of cannons for light ships.,Multiplicative
Navy,galley_number_of_cannons_modifier,0.1,Modifies the number of cannons for galley ships.,Multiplicative
Navy,transport_number_of_cannons_modifier,0.1,Modifies the number of cannons for transport ships.,Multiplicative
Navy,hull_size,10,Adds to the hull size of all ships.,Additive
Navy,hull_size_modifier,0.1,Modifies the hull size of all ships.,Multiplicative
Navy,heavy_ship_hull_size_modifier,0.1,Modifies the hull size of heavy ships.,Multiplicative
Navy,light_ship_hull_size_modifier,0.1,Modifies the hull size of light ships.,Multiplicative
Navy,galley_hull_size_modifier,0.1,Modifies the hull size of galley ships.,Multiplicative
Navy,transport_hull_size_modifier,0.1,Modifies the hull size of transport ships.,Multiplicative
Navy,engagement_cost,-1,Adds to the engagement width occupied by a ship.,Additive
Navy,engagement_cost_modifier,-0.1,Modifies the engagement width occupied by a ship.,Multiplicative
Navy,ship_trade_power,5,Adds to the trade power of ships. Only works properly with unit scope.,Additive
Navy,ship_trade_power_modifier,0.2,Modifies the trade power of ships. Only works properly with unit scope.,Multiplicative
Navy,can_transport_units,yes,Allows non-transport ships to transport land units. Only works properly with unit scope.,Constant
Flagships,admiral_skill_gain_modifier,0.1,The monthly chance that an admiral gains a pip while he is assigned to a fleet that is on a mission and contains a flagship with this modifier,Additive
Flagships,flagship_durability,1,Modifies the ship durability for the flagship.,Multiplicative
Flagships,flagship_morale,1,Modifies the naval morale for the flagship.,Multiplicative
Flagships,flagship_naval_engagement_modifier,1,Modifies the fleet engagement width of the flagship's fleet.,Additive
Flagships,movement_speed_onto_off_boat_modifier,-0.1,Modifies the speed at which troops disembark off ships into provinces.,Multiplicative
Flagships,flagship_landing_penalty,1,Modifies the disembarkment penalty for the flagship.,Multiplicative
Flagships,number_of_cannons_flagship_modifier,0.1,Modifies the number of cannons for the flagship.,Multiplicative
Flagships,number_of_cannons_flagship,200,Modifies the number of cannons for the flagship.,Additive
Flagships,naval_maintenance_flagship_modifier,-0.1,Modifies the naval maintenance for the flagship.,Multiplicative
Flagships,trade_power_in_fleet_modifier,1,Modifies the trade power conferred by the flagship and all other ships within its fleet.,Multiplicative
Flagships,morale_in_fleet_modifier,0.1,Modifies the naval morale for the flagship and all other ships within its fleet.,Multiplicative
Flagships,blockade_impact_on_siege_in_fleet_modifier,0.1,Modifies the blockade impact of the flagship and all other ships within its fleet.,Multiplicative
Flagships,exploration_mission_range_in_fleet_modifier,100,Modifies the exploration mission range for the flagship and all other ships within its fleet.,Additive
Flagships,barrage_cost_in_fleet_modifier,-0.1,Modifies the ‘Naval Barrage’ action cost for the flagship and all other ships within its fleet.,Multiplicative
Flagships,naval_attrition_in_fleet_modifier,-0.1,Modifies the naval attrition suffered by the flagship and all other ships within its fleet.,Multiplicative
Flagships,privateering_efficiency_in_fleet_modifier,0.1,Modifies the privateering efficiency of the flagship and all other ships within its fleet.,Multiplicative
Flagships,prestige_from_battles_in_fleet_modifier,1,Modifies the amount of prestige gained from battles for the flagship and all other ships within its fleet.,Multiplicative
Flagships,naval_tradition_in_fleet_modifier,1,Modifies the amount of Naval Tradition gained from battles for the flagship and all other ships within its fleet.,Multiplicative
Flagships,cannons_for_hunting_pirates_in_fleet,1,Modifies the amount of cannons for the flagship and all other ships within its fleet while on the Hunting Pirates mission.,Multiplicative
Special Ships,has_geobukseon,yes,"Allows the usage of Geobukseon ships. It also requires the province to have the ""local_has_geobukseon = yes"" modifier.",Constant
Special Ships,allowed_geobukseon_fraction,0.5,Modifies the amount of geobukseon that can be recruited.,Multiplicative
Special Ships,amount_of_geobukseon,1,Adds to the maximum amount of Geobukseon ships available.,Additive
Special Ships,has_galleass,yes,"Allows the usage of Galleass ships. It also requires the province to have the ""local_has_galleass = yes"" modifier.",Constant
Special Ships,allowed_galleass_fraction,0.5,Modifies the amount of galleasses that can be recruited.,Multiplicative
Special Ships,amount_of_galleass,1,Adds to the maximum amount of Galleas ships available.,Additive
Special Ships,has_voc_indiamen,yes,"Allows the usage of VOC Indiaman ships. It also requires the province to have the ""local_has_voc_indiamen = yes"" modifier.",Constant
Special Ships,allowed_voc_indiamen_fraction,0.25,Modifies the amount of VOC indiamen that can be recruited.,Multiplicative
Special Ships,amount_of_voc_indiamen,1,Adds to the maximum amount of VOC Indiaman ships available.,Additive
Special Ships,has_man_of_war,yes,"Allows the usage of Man of War ships. It also requires the province to have the ""local_has_man_of_war = yes"" modifier.",Constant
Special Ships,allowed_man_of_war_fraction,0.2,Modifies the amount of men of war that can be recruited.,Multiplicative
Special Ships,amount_of_man_of_war,1,Adds to the maximum amount of Man of War ships available.,Additive
Special Ships,has_galleon,yes,"Allows the usage of Galleon ships. It also requires the province to have the ""local_has_galleon = yes"" modifier.",Constant
Special Ships,allowed_galleon_fraction,0.1,Modifies the amount of galleons that can be recruited.,Multiplicative
Special Ships,amount_of_galleon,1,Adds to the maximum amount of Galleon ships available.,Additive
Special Ships,has_caravel,yes,"Allows the usage of Caravel ships. It also requires the province to have the ""local_has_caravel = yes"" modifier.",Constant
Special Ships,allowed_caravel_fraction,0.1,Modifies the amount of caravels that can be recruited.,Multiplicative
Special Ships,amount_of_caravel,1,Adds to the maximum amount of Caravel ships available.,Additive
Diplomacy,diplomats,1,Adds to a country's diplomat count.,Additive
Diplomacy,diplomatic_reputation,1,Adds to a country's diplomatic reputation.,Additive
Diplomacy,diplomatic_upkeep,1,Adds to the maximum number of free diplomatic relations.,Additive
Diplomacy,envoy_travel_time,-0.2,"Modifies diplomat, merchant, and colonist travel time during actions.",Multiplicative
Diplomacy,improve_relation_modifier,0.2,Modifies the speed of the ‘Improve Relations’ diplomatic action.,Multiplicative
Diplomacy,ae_impact,-0.2,Modifies the total size of aggressive expansion gained during actions that confer it.,Multiplicative
Diplomacy,diplomatic_annexation_cost,-0.2,Modifies the diplomatic power cost for annexation.,Multiplicative
Diplomacy,province_warscore_cost,-0.2,Modifies the warscore cost for taking provinces.,Multiplicative
Diplomacy,unjustified_demands,-0.2,Modifies the cost in diplomatic power of making unjustified demands in a peace deal.,Multiplicative
Diplomacy,rival_change_cost,-0.2,Modifies the diplomatic power cost to change rivals.,Multiplicative
Diplomacy,justify_trade_conflict_cost,-0.2,Modifies the spy network cost to justify trade conflicts.,Multiplicative
Diplomacy,stability_cost_to_declare_war,1,Modifies the stability cost to declare war. Default is 0 with a casus belli and no truce.,Additive
Diplomacy,accept_vassalization_reasons,5,Gives reasons to accept vassalization.,Additive
Diplomacy,transfer_trade_power_reasons,5,Gives reasons to transfer trade.,Additive
Diplomacy,monthly_federation_favor_growth,0.05,Adds to the monthly change of favors with other countries in the native federation.,Additive
Diplomacy,monthly_favor_modifier,0.1,Modifies the amount of favour gained by the country.,Multiplicative
Diplomacy,cb_on_overseas,yes,Allows claims to be fabricated on overseas provinces in trade company regions.,Constant
Diplomacy,cb_on_primitives,yes,Allows claims to be fabricated on overseas provinces in colonial regions.,Constant
Diplomacy,idea_claim_colonies,yes,Allows claims to be fabricated on overseas provinces in colonial regions that are owned by another nation that is also overseas.,Constant
Diplomacy,cb_on_government_enemies,yes,Acts a visible script flag. Can be checked in triggers with cb_on_government_enemies = yes,Constant
Diplomacy,cb_on_religious_enemies,yes,Acts a visible script flag. Can be checked in triggers with cb_on_religious_enemies = yes,Constant
Diplomacy,reduced_stab_impacts,yes,Reduces the stability hits when taking diplomatic actions that cause them (i.e. 'Break Marriage').,Constant
Diplomacy,can_fabricate_for_vassals,yes,Grants the ability to fabricate claims for vassals.,Constant
Economy,global_tax_income,12,Adds to the base tax income per year (i.e. 12 equals 1 extra per month).,Additive
Economy,global_tax_modifier,0.05,Modifies the base tax income by a percentage.,Multiplicative
Economy,production_efficiency,0.05,Modifies the base production income by a percentage.,Multiplicative
Economy,state_maintenance_modifier,-0.25,Modifies the maintenance cost for states.,Multiplicative
Economy,inflation_action_cost,-0.1,Modifies the administrative power cost for reducing inflation.,Multiplicative
Economy,may_not_reduce_inflation,yes,Forbids a country to use the 'Reduce Inflation' button.,Constant
Economy,inflation_reduction,0.1,Adds to the base yearly inflation reduction rate.,Additive
Economy,monthly_gold_inflation_modifier,-0.1,Modifies the amount of inflation generated by gold mines.,Multiplicative
Economy,gold_depletion_chance_modifier,-0.1,Modifies the depletation chance of a gold mine.,Multiplicative
Economy,interest,-1,Adds to the base interest rate.,Additive
Economy,can_not_build_buildings,yes,Forbids a country to build buildings,Constant
Economy,development_cost,-0.1,Modifies the development cost for provinces.,Multiplicative
Economy,development_cost_in_primary_culture,-0.1,Modifies the development cost for provinces of primary culture.,Multiplicative
Economy,development_cost_modifier,-0.05,"Modifies the base Development Cost Modifier. ""Development Cost Modifier"" was called ""Development Efficiency"" before 1.34",Multiplicative
Economy,tribal_development_growth,0.02,Adds to the growth of tribal development,Additive
Economy,add_tribal_land_cost,-0.25,Modifies the cost of adding tribal land.,Multiplicative
Economy,settle_cost,0.1,Modifies the cost for settling tribal development into a province.,Multiplicative
