eu4_tag,eu4_name,ideaset,idea_key,eu4_superregion,eu4_region,eu4_formable
MYS,Mysore,Mysorean Ideas,MYS_ideas,India,Deccan,no
NAG,Nagpur,Nagpuri Ideas,NAG_ideas,India,Deccan,yes
VIJ,Vijayanagar,Vijayanagar Ideas,VIJ_ideas,India,Deccan,no
CHD,Chanda,Gond Ideas,central_indic_ideas,India,Deccan,no
GDW,Garha,Gond Ideas,central_indic_ideas,India,Deccan,no
AHM,Ahmednagar,Deccani Sultanate Ideas,deccani_muslim_ideas,India,Deccan,no
BIJ,Bijapur,Deccani Sultanate Ideas,deccani_muslim_ideas,India,Deccan,no
BRR,Berar,Deccani Sultanate Ideas,deccani_muslim_ideas,India,Deccan,no
KLN,Keladi,South Indian Ideas,dravidian_ideas,India,Deccan,no
KLT,Kolathunad,Malabari Ideas,malabari_ideas,India,Deccan,no
KOC,Kochin,Malabari Ideas,malabari_ideas,India,Deccan,no
MAB,Calicut,Malabari Ideas,malabari_ideas,India,Deccan,no
VND,Venad,Malabari Ideas,malabari_ideas,India,Deccan,no
GOC,Golkonda,Telugu Ideas,telugu_ideas,India,Deccan,no
TLG,Telingana,Telugu Ideas,telugu_ideas,India,Deccan,no
BHA,Bharat,Bharathi Ideas,BHA_ideas,India,Hindustan,yes
DLH,Delhi,Delhian Ideas,DLH_ideas,India,Hindustan,yes
GHR,Garhwal,Garhwali Ideas,GHR_ideas,India,Hindustan,no
HIN,Hindustan,Hindustani Ideas,HIN_ideas,India,Hindustan,yes
JNP,Jaunpur,Jaunpuri Ideas,JNP_ideas,India,Hindustan,no
KGR,Kangra,Kangra Ideas,KGR_ideas,India,Hindustan,no
LDK,Ladakh,Ladakh Ideas,LDK_ideas,India,Hindustan,no
GWA,Gwalior,Maratha Ideas,MAR_ideas,India,Hindustan,no
MUG,Mughals,Mughal Ideas,MUG_ideas,India,Hindustan,yes
NPL,Nepal,Nepali Ideas,NPL_ideas,India,Hindustan,yes
PUN,Punjab,Punjabi Ideas,PUN_ideas,India,Hindustan,yes
RJP,Rajputana,Rajputana ideas,RJP_ideas,India,Hindustan,yes
TRT,Tirhut,Tirhuti Ideas,TRT_ideas,India,Hindustan,no
PTA,Patiala,National Ideas,default_ideas,India,Hindustan,no
SRG,Surguja,Garjati Ideas,garjati_ideas,India,Hindustan,no
KLP,Kalpi,Indian Sultanate Ideas,indian_muslim_ideas,India,Hindustan,no
KSH,Kashmir,Indian Sultanate Ideas,indian_muslim_ideas,India,Hindustan,no
MUL,Multan,Indian Sultanate Ideas,indian_muslim_ideas,India,Hindustan,no
ODH,Oudh,Indian Sultanate Ideas,indian_muslim_ideas,India,Hindustan,no
RMP,Rohilkhand,Indian Sultanate Ideas,indian_muslim_ideas,India,Hindustan,no
SRH,Sirhind,Indian Sultanate Ideas,indian_muslim_ideas,India,Hindustan,no
DNG,Dang,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
DTI,Doti,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
GRK,Gorkha,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
JML,Jumla,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
KMN,Kumaon,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
KTU,Kathmandu,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
LWA,Limbuwan,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
MKP,Makwanpur,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
SRM,Sirmur,Nepalese Princedom Ideas,nepalese_minor_ideas,India,Hindustan,no
HAD,Hadoti,Rajput Ideas,rajput_ideas,India,Hindustan,no
BGL,Baghelkhand,Vindhyan Ideas,vindhyan_ideas,India,Hindustan,no
BND,Bundelkhand,Vindhyan Ideas,vindhyan_ideas,India,Hindustan,no
PAN,Kalinjar,Vindhyan Ideas,vindhyan_ideas,India,Hindustan,no
DHU,Dhundhar,Dhundhari Ideas,DHU_ideas,India,Western India,no
GUJ,Gujarat,Gujarat Sultanate Ideas,GUJ_ideas,India,Western India,no
BDA,Baroda,Maratha Ideas,MAR_ideas,India,Western India,no
MER,Mewar,Mewari Ideas,MER_ideas,India,Western India,no
MLW,Malwa,Malvi Ideas,MLW_ideas,India,Western India,no
SND,Sindh,Sindhi Ideas,SND_ideas,India,Western India,no
KHD,Khandesh,Deccani Sultanate Ideas,deccani_muslim_ideas,India,Western India,no
BGA,Baglana,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
CMP,Rewa Kantha,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
IDR,Idar,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
JGD,Junagarh,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
JLV,Jhalavad,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
KAT,Kutch,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
NVR,Navanagar,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
PRB,Porbandar,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
PTL,Palitana,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
RJK,Rajkot,Gujarati Princedom Ideas,gujarati_ideas,India,Western India,no
MEW,Mewat,Indian Sultanate Ideas,indian_muslim_ideas,India,Western India,no
NGA,Nagaur,Indian Sultanate Ideas,indian_muslim_ideas,India,Western India,no
JAN,Jangladesh,Rajput Ideas,rajput_ideas,India,Western India,no
JSL,Jaisalmer,Rajput Ideas,rajput_ideas,India,Western India,no
MAW,Marwar,Rajput Ideas,rajput_ideas,India,Western India,no
