eu4_subsection,eu4_modifier,eu4_example,eu4_description,eu4_effect_type
Special Regiments,local_has_qizilbash,yes,Allows Qizilbash units to be raised in owned provinces.,Constant
Navy,local_naval_engagement_modifier,0.1,Modifies the naval engagement width in a province. Only usable in sea provinces.,Multiplicative
Navy,local_sailors,250,Adds to the sailors value for a province. 1 equals 1 sailor.,Additive
Navy,local_sailors_modifier,0.1,Modifies the sailors efficiency of a province.,Multiplicative
Navy,local_ship_cost,-0.2,Modifies the cost of ship recruitment in a province.,Multiplicative
Navy,local_ship_repair,0.2,Modifies the speed of ship repair in a province.,Multiplicative
Navy,ship_recruit_speed,-0.25,Modifies the recruitment speed of ships in a province.,Multiplicative
Navy,blockade_force_required,0.5,Modifies the number of ships required to fully blockade the province.,Multiplicative
Navy,hostile_disembark_speed,0.5,Modifies the speed of disembarkation by hostile troops into the province.,Multiplicative
Navy,hostile_fleet_attrition,5,Modifies the amount of fleet attrition experienced by hostile ships in sea zones adjacent to the province.,Multiplicative
Navy,block_slave_raid,yes,Prevents coastal raiding in a province.,Constant
Special Ships,local_has_geobukseon,yes,Allows Geobukseon ships to be raised in owned provinces.,Constant
Special Ships,local_has_man_of_war,yes,Allows Man of War ships to be raised in owned provinces.,Constant
Special Ships,local_has_galleon,yes,Allows Galleon ships to be raised in owned provinces.,Constant
Special Ships,local_has_galleass,yes,Allows Galleass ships to be raised in owned provinces.,Constant
Special Ships,local_has_caravel,yes,Allows Caravel ships to be raised in owned provinces.,Constant
Special Ships,local_has_voc_indiamen,yes,Allows VOC Indiaman ships to be raised in owned provinces.,Constant
Diplomacy,local_warscore_cost_modifier,0.1,Modifies the local warscore cost for taking the province.,Multiplicative
Economy,inflation_reduction_local,0.1,Adds to the base yearly inflation value. Requires every province in a country to have the modifier to work however.,Additive
Economy,local_state_maintenance_modifier,-0.25,Modifies the state maintenance cost for the state that a province belongs to.,Multiplicative
Economy,local_build_cost,-0.25,Modifies the cost of constructing buildings in a province.,Multiplicative
Economy,local_build_time,-0.25,Modifies the construction speed of buildings in a province.,Multiplicative
Economy,local_great_project_upgrade_cost,-0.25,Modifies the cost of upgrading great projects in a province.,Multiplicative
Economy,local_great_project_upgrade_time,-0.1,Modifies the time needed to upgrade a great project in a province.,Multiplicative
Economy,local_monthly_devastation,-0.1,Adds to the devastation rate in a province.,Additive
Economy,local_prosperity_growth,-0.1,Adds to the prosperity rate in a province.,Additive
Economy,local_production_efficiency,0.1,Modifies the production efficiency in a province.,Multiplicative
Economy,local_tax_modifier,0.1,Modifies the tax efficiency in a province.,Multiplicative
Economy,tax_income,12,Adds to the yearly tax income of a province.,Additive
Economy,allowed_num_of_buildings,1,Adds to the maximum number of building slots in a province.,Additive
Economy,allowed_num_of_manufactories,1,Adds to the maximum number of allowed manufactories in a province.,Additive
Economy,local_development_cost,-0.1,Modifies the monarch power cost for development in a province.,Multiplicative
Economy,local_development_cost_modifier,-0.25,"Modifies the base Development Cost Modifier in a province. ""Development Cost Modifier"" was called ""Development Efficiency"" before 1.34",Multiplicative
Economy,local_gold_depletion_chance_modifier,-0.1,Modifies the depletation chance of a gold mine.,Multiplicative
Economy,local_institution_spread,0.1,Modifies the spread of institutions in a province.,Multiplicative
Economy,local_core_creation,-0.25,Modifies the cost of coring in a province.,Multiplicative
Economy,local_governing_cost,-0.25,Modifies the local governing capacity usage of the province.,Multiplicative
Economy,statewide_governing_cost,-0.25,Modifies the local governing capacity usage of all provinces in the state of the province.,Multiplicative
Economy,local_governing_cost_increase,-10,Adds to the local governing capacity usage of a province.,Additive
Economy,local_centralize_state_cost,-0.1,Modifies the adm and government reform progress cost for centralizing a state in the province.,Multiplicative
Technology,institution_growth,1,Modifies the annual growth of all institutions in a province by the specified value. Is not scaled by province development level,Additive
Culture,local_culture_conversion_cost,-0.25,Modifies the culture conversion cost in a province.,Multiplicative
Culture,local_culture_conversion_time,-0.1,Modifies the speed for culture conversion cost in a province.,Multiplicative
Stability,local_unrest,-1,Adds to the unrest value in a province.,Additive
Stability,local_autonomy,0.05,Adds to the autonomy rate in a province.,Additive
Stability,local_years_of_nationalism,-5,Adds to the base nationalism value in a province.,Additive
Stability,min_local_autonomy,-10,Adds or subtracts the base minimum autonomy a province has.,Additive
Religion,local_missionary_strength,0.01,Adds to the missionary strength in a province. 1 equals 100% strength.,Additive
Religion,local_religious_unity_contribution,0.1,Adds to the religious unity contribution made by a province.,Additive
Religion,local_missionary_maintenance_cost,-0.1,Adds to the missionary maintenance cost for converting a province.,Additive
Religion,local_religious_conversion_resistance,0.1,Adds to conversion resistance from Centres of Reformation.,Additive
Religion,local_tolerance_of_heretics,3,Adds to the base tolerance for heretics within the province.,Additive
Religion,local_tolerance_of_heathens,3,Adds to the base tolerance for heathens within the province.,Additive
Colonisation,local_colonial_growth,10,Adds to the colonial growth in a colony province.,Additive
Colonisation,local_colonist_placement_chance,0.05,Adds to the placement chance in a colony province.,Additive
Colonisation,local_colony_cost_modifier,1,Modifies the colonial maintenance cost in a colony province.,Multiplicative
Trade,province_trade_power_modifier,0.1,Modifies the trade power efficiency in a province.,Multiplicative
Trade,province_trade_power_value,0.5,Adds to the trade power in a province.,Additive
Trade,trade_goods_size_modifier,0.25,Modifies the goods produced efficiency in a province.,Multiplicative
Trade,trade_goods_size,0.5,Adds to the trade good size in a province,Additive
Trade,trade_value_modifier,0.1,Modifies the base trade value in a province.,Multiplicative
Trade,trade_value,1,Adds to the base trade value in a province.,Additive
Trade,local_center_of_trade_upgrade_cost,-0.33,Modifies the cost of upgrading a center of trade in a province.,Multiplicative
